mu1,mu2,mu3,mu4,tau1,tau2,tau3,tau4
-2.23780760417671,-3.35911654109546,-0.060557313052703,-0.0400541882847521,3.49314421098926,6.90241453493872,1.23220705761977,6.27471996559326
-2.23072961088369,-3.35806488044454,-0.0651769549222514,-0.0399472574011015,4.24725180031668,10.9676548819725,1.20456159558605,7.12118788873738
-2.28515070944144,-3.42951153446956,-0.0601579554049829,0.040671743018812,2.35736866348945,8.61850856903605,1.63780028477577,4.63216950105064
-2.21093990016139,-3.3293895025212,0.0516016915749562,0.132924864349785,3.04134792646099,7.61409426510801,1.89673134996296,8.96318025505118
-2.23326196655621,-3.36096443955612,-0.142187201330465,-0.0451661526545835,3.95371160548237,7.12026263627947,2.10945257379139,5.37672588148996
-2.275452093733,-3.38015464612075,0.0391746732675698,-0.0421350432792058,4.60717637027202,6.75381037338117,1.5588765604234,8.39007590782777
-2.25606293093505,-3.26329732807257,-0.185160341597494,0.0661579780627736,3.43008369928733,5.64699175587446,1.27564930910424,7.37510449210543
-2.23071758223581,-3.32687530357217,-0.328642794055586,0.0905288377398055,4.31741512557052,5.34192322796634,1.1170826384312,5.26784745234892
-2.24001176225156,-3.13215587494685,-0.098741269788395,-0.0429786678468234,2.85424357014395,3.27797056349565,1.25952040364409,7.98255038850327
-2.34377183158813,-3.2505053272188,0.0480368889873343,-0.0162215359266802,4.49112249202137,4.01917036271376,1.68967356534328,8.75540260784401
-2.17674275422164,-3.4345682174105,-0.305413276915749,-0.0388207585880788,3.62517564324438,3.37416370132205,1.33553298485328,7.39582176084722
-2.2648841401834,-3.25820555675083,-0.313783717784479,0.136154065229111,2.9763952333468,5.5673873491919,1.77145054533064,6.26632293249088
-2.30400884669254,-3.31104158734759,-0.138247786856316,0.0616922714140045,3.6391068877452,7.78559966518201,1.41806449078302,6.49281807559453
-2.32884097661649,-3.27372975129618,-0.170196806058506,-0.0211878173429223,3.18038395682704,5.77644789937284,2.49259672789981,7.63574262853371
-2.24879668355533,-3.26585911835789,-0.144862794653299,0.0443064525310398,3.83758036318097,6.08780456569969,1.80694982696312,8.75717543961609
-2.39491864313623,-3.35441434538151,-0.152515887262173,0.140639663080975,3.30754780609547,3.4304114233365,1.29912095549498,8.53249774166754
-2.32359532317753,-3.42330352961963,-0.163759117466172,0.00559877126789216,4.57542774631318,3.70747675448889,1.62019330641116,5.94750959447953
-2.19844761857584,-3.30866599077625,-0.00627215789055122,0.0886604000107741,4.07729986510603,4.54448073261228,2.46038262610583,6.88861588957633
-2.25621574646887,-3.28954975253405,-0.127571005713917,0.0403393025087814,4.40156534919448,4.13521348342034,1.66702893018514,5.44064587828106
-2.144508268477,-3.36015457191397,-0.0900843044544263,0.0765270428701023,3.56508599668397,3.97130890930623,2.24927760639061,6.97402618001626
-2.40916143852869,-3.281946063719,-0.270174287085311,0.0460411954756853,5.43366397658008,4.7256695585934,2.34576883151209,5.96286163861812
