kappa1,kappa2,kappa3,xi1
5.56056,0.370851,1.98911,-3.22036
5.69764,0.245794,1.95351,-3.20091
5.07201,0.836199,1.95352,-3.32649
5.12693,0.781521,1.95616,-3.23484
5.4763,0.437403,1.94025,-3.16791
6.02329,-0.14466,1.96632,-2.59956
6.33227,-0.406357,1.95073,-2.68113
4.23993,1.62024,1.94843,-2.55932
5.90899,-0.0175956,1.95783,-2.65805
5.75849,0.141324,1.94712,-2.76218
5.63813,0.242227,1.94843,-2.75242
5.64101,0.261307,1.94798,-2.753
4.59467,1.32512,1.95797,-2.62205
6.16638,-0.24812,1.95856,-2.51114
6.00793,-0.126425,1.96286,-2.68674
4.63565,1.25559,1.95437,-2.58101
4.90637,0.986238,1.94789,-2.66645
6.16489,-0.308867,1.96065,-2.63092
6.44799,-0.585109,1.94742,-2.51736
6.17995,-0.308936,1.96431,-2.57847
5.79172,0.133763,1.95735,-2.83882
4.61667,1.31233,1.95778,-2.53807
5.06144,0.814555,1.94798,-2.68592
5.36332,0.514185,1.94543,-2.63435
5.87325,0.00471357,1.94567,-2.60208
6.35874,-0.446922,1.96218,-2.60193
6.37794,-0.503443,1.96294,-2.60457
6.3956,-0.49593,1.96287,-2.46135
6.3651,-0.460641,1.96282,-2.47932
6.47597,-0.618436,1.94896,-2.6377
6.3257,-0.415739,1.9603,-2.52998
5.6329,0.253613,1.95154,-2.61803
5.66036,0.277973,1.9486,-2.6166
5.64605,0.241125,1.94956,-2.63263
4.95905,0.928131,1.96663,-2.55456
4.96371,0.926965,1.96774,-2.47515
5.49722,0.370267,1.96919,-2.45904
4.90673,0.971031,1.95407,-2.78567
5.70412,0.173102,1.94412,-2.66032
5.71591,0.192679,1.94407,-2.66175
5.8844,0.0415389,1.9434,-2.54382
6.13558,-0.247334,1.94446,-2.6638
6.07635,-0.178959,1.95809,-2.93913
6.12102,-0.235996,1.95495,-2.98114
5.27618,0.643793,1.95794,-2.74583
5.50334,0.356172,1.9607,-2.6532
5.91895,-0.0191606,1.95044,-2.70889
4.4634,1.44229,1.95741,-2.56441
4.87312,1.01479,1.96816,-2.65296
4.9079,0.990466,1.968,-2.62421
4.75741,1.14698,1.9696,-2.66494
4.8405,1.06445,1.96883,-2.65076
4.30745,1.59762,1.95571,-2.41855
4.31008,1.59635,1.95539,-2.42853
4.71652,1.18347,1.95578,-2.55389
5.70324,0.205062,1.95834,-2.53703
5.77208,0.122061,1.95563,-2.59618
5.32432,0.571835,1.94419,-2.7253
4.63896,1.21764,1.96033,-2.64163
5.96316,-0.122078,1.9433,-3.02074
5.62528,0.230668,1.93617,-2.95317
5.56466,0.261937,1.93416,-2.97211
6.20384,-0.37709,1.95488,-2.84433
6.2219,-0.345052,1.95471,-2.8448
5.1394,0.72204,1.95211,-2.81421
5.73522,0.191668,1.95717,-2.81618
5.35348,0.554585,1.94493,-2.78438
4.73805,1.19451,1.95214,-2.54858
4.73453,1.18878,1.94903,-2.54264
4.92561,1.01173,1.95245,-2.74438
4.91262,1.02867,1.94935,-2.77052
4.64696,1.29414,1.95441,-2.60801
5.28773,0.649868,1.95062,-2.58064
5.17138,0.754658,1.94439,-2.57207
5.36167,0.581065,1.94463,-2.52449
5.79652,0.0672591,1.9576,-2.60228
5.71338,0.242137,1.94865,-2.77602
5.95706,-0.00378425,1.94948,-2.93839
6.11652,-0.18398,1.9465,-2.87317
5.90022,0.0330699,1.95988,-2.89842
5.92627,0.0200925,1.96235,-2.89478
5.94645,-0.0119775,1.95123,-2.69023
5.19856,0.722684,1.94964,-2.7378
6.36182,-0.443561,1.95523,-2.62151
6.39239,-0.468088,1.95628,-2.55801
6.44073,-0.509301,1.95787,-2.53769
6.48339,-0.531955,1.96112,-2.55758
6.49805,-0.559951,1.9617,-2.52825
6.53098,-0.542734,1.96131,-2.53599
6.96287,-1.02232,1.94755,-2.93328
5.48921,0.466026,1.96857,-3.06414
5.10841,0.847027,1.94967,-3.233
5.18543,0.809022,1.94975,-3.21072
6.30345,-0.31192,1.96105,-3.0558
6.10671,-0.12455,1.96072,-3.01304
5.81769,0.163262,1.96089,-2.73239
5.81825,0.14208,1.94993,-2.71188
5.73366,0.247406,1.95357,-2.72187
5.52896,0.451771,1.95793,-2.68146
5.98524,0.00120046,1.95167,-2.51273
5.43931,0.554822,1.9474,-2.66466
5.60532,0.378828,1.95481,-2.71015
6.04715,-0.0152768,1.95525,-3.04422
5.33946,0.645688,1.94611,-3.05577
6.20603,-0.215529,1.96405,-3.07671
6.18069,-0.217151,1.96356,-3.06647
5.9724,-0.0121409,1.9599,-3.30568
6.16163,-0.202311,1.94965,-3.25849
5.23708,0.747436,1.95686,-3.3061
4.89805,1.0895,1.95836,-3.37803
5.02606,0.966448,1.95617,-3.35861
5.77729,0.167584,1.95429,-2.88328
4.66544,1.30225,1.95826,-2.68912
5.1951,0.786899,1.94866,-2.69119
5.25542,0.729566,1.96521,-2.67381
5.67113,0.3085,1.95313,-2.54805
5.04224,0.918082,1.95469,-2.72269
5.3553,0.584362,1.95262,-2.94489
5.66034,0.29082,1.96405,-3.02049
5.5539,0.392366,1.94983,-2.58991
6.099,-0.15457,1.95459,-2.5961
5.8604,0.0547562,1.95355,-2.5078
5.65686,0.251758,1.94643,-2.52085
5.75541,0.143584,1.95061,-2.55268
3.88608,2.06388,1.95435,-2.90633
6.07243,-0.155275,1.9512,-2.462
5.16084,0.752438,1.95128,-2.78153
5.18771,0.735976,1.95312,-2.74273
5.31359,0.606776,1.95144,-2.73525
5.2445,0.67223,1.94858,-2.79858
4.95832,0.961843,1.96029,-2.50968
5.2401,0.676456,1.95584,-2.62072
5.29294,0.628826,1.95065,-2.53398
5.62922,0.307327,1.94779,-2.79329
5.64039,0.301891,1.94887,-2.76619
5.25013,0.708265,1.95261,-2.62982
5.70709,0.219579,1.95062,-2.63027
5.54675,0.398017,1.95718,-2.64216
5.65968,0.271088,1.95067,-2.556
5.62016,0.293389,1.95263,-2.80075
5.65796,0.288497,1.95587,-2.79062
6.26888,-0.350048,1.95044,-2.79014
4.97429,0.926574,1.94294,-2.84734
5.61823,0.277866,1.94651,-2.89283
5.62095,0.299293,1.96265,-2.77341
5.70206,0.207,1.93705,-2.5617
5.71733,0.214445,1.93744,-2.5656
5.60066,0.310451,1.93856,-2.57168
5.61252,0.344377,1.94886,-2.61199
5.83719,0.113185,1.95411,-2.65056
5.66867,0.30527,1.95687,-2.60198
5.30751,0.614987,1.95378,-2.57831
5.34297,0.64274,1.95381,-2.5756
5.13601,0.812849,1.95281,-2.61784
5.6045,0.34389,1.95131,-2.67159
5.52205,0.407934,1.94751,-2.60442
5.51182,0.412374,1.94711,-2.59636
5.01471,0.912206,1.95228,-2.65466
5.96877,-0.0505623,1.95991,-2.61241
5.86043,0.0350549,1.95864,-2.53095
5.88571,0.0109374,1.95558,-2.70492
5.84148,0.0595796,1.95434,-2.51517
5.96835,-0.0943657,1.95753,-2.66894
5.50224,0.360541,1.9541,-2.60635
4.98884,0.856186,1.94852,-2.63826
5.55098,0.347189,1.95967,-2.58901
5.43195,0.440463,1.9614,-2.49193
5.39564,0.479645,1.96026,-2.52371
5.80676,0.051179,1.95785,-2.63111
6.01237,-0.113382,1.95384,-2.64506
5.79613,0.105623,1.9584,-2.67545
6.25903,-0.382401,1.94856,-2.73685
6.27946,-0.378768,1.94849,-2.73748
5.63623,0.257714,1.96216,-2.76002
5.17077,0.724484,1.95264,-2.58077
5.17616,0.749807,1.95268,-2.57931
5.89375,0.0316188,1.95235,-2.67357
4.7013,1.22836,1.96028,-2.60446
4.5539,1.38632,1.95965,-2.59416
4.46614,1.46731,1.95913,-2.60596
6.19643,-0.262226,1.95151,-2.76948
5.81106,0.092084,1.94399,-2.85826
6.33162,-0.424791,1.9558,-3.01928
5.1175,0.777448,1.95154,-3.32781
5.22368,0.732176,1.95191,-3.32
5.18287,0.719317,1.95148,-3.30576
6.44442,-0.531457,1.9564,-3.40095
4.61523,1.27714,1.95736,-3.39987
5.04363,0.844314,1.95513,-3.31356
5.13186,0.736064,1.95383,-3.33866
5.05757,0.857893,1.94689,-3.23488
4.9975,0.891384,1.94652,-3.23774
4.93235,0.974867,1.94233,-2.97908
5.23073,0.67788,1.95154,-3.05914
5.10376,0.817454,1.94904,-3.05692
4.86954,1.00968,1.94558,-3.09656
4.47891,1.40511,1.94361,-2.98848
5.73916,0.170035,1.94189,-3.07303
5.05262,0.851491,1.96194,-2.93783
5.28719,0.614651,1.9658,-2.90054
4.75224,1.16045,1.96647,-2.90901
4.46451,1.43568,1.94512,-2.68739
4.30763,1.59039,1.94819,-2.67745
4.07292,1.81537,1.96058,-2.65564
5.56941,0.354807,1.95827,-2.59282
