kappa1,kappa2,kappa3,xi1
4.98274,0.823836,1.98766,-2.83939
5.30292,0.507415,1.97389,-3.08067
4.91496,0.895517,1.9687,-3.51741
5.27217,0.497565,1.98343,-3.43757
4.25744,1.56391,1.98118,-3.17437
5.01108,0.854842,1.96544,-3.03191
5.50858,0.349476,1.97605,-2.88177
5.50763,0.318165,1.9764,-2.87858
5.15758,0.649176,1.98889,-3.05113
5.13925,0.616842,1.98871,-3.04938
5.18627,0.686394,1.98927,-3.05848
4.88329,0.887347,1.99345,-2.95934
5.36947,0.422728,2.00554,-2.82835
5.92253,-0.118958,1.98886,-3.00446
5.40136,0.440934,1.96894,-3.40357
4.9029,0.926792,1.97973,-2.83969
4.75202,1.10042,1.97607,-2.85203
4.86431,0.989547,1.96962,-2.70338
5.16577,0.687282,1.97953,-2.86406
5.35863,0.432736,1.97807,-2.78685
5.40173,0.453369,1.9781,-2.77925
5.84106,0.00766948,1.97835,-2.85397
5.39426,0.429219,1.97547,-2.72344
5.73081,0.112184,1.98238,-3.20099
5.96676,-0.141484,1.99425,-3.13048
4.42298,1.40647,1.96704,-3.19886
4.5708,1.29652,1.95138,-3.10375
6.24217,-0.419173,2.00777,-2.75502
5.29088,0.538145,1.97672,-3.04948
5.40465,0.403501,1.99227,-2.77595
5.45322,0.418084,1.99126,-2.77779
4.65965,1.2173,1.98366,-2.82448
5.04099,0.82682,1.97105,-3.05053
4.83081,1.00123,1.96629,-3.07052
4.79575,1.05561,1.98359,-3.03634
4.69585,1.11887,1.9816,-3.44178
5.64159,0.209159,1.96184,-3.33622
4.28898,1.56115,2.00374,-2.7972
4.51468,1.32345,1.99122,-2.84702
4.75006,1.14091,1.99663,-2.69508
6.44666,-0.546903,1.95957,-2.92388
6.43557,-0.575997,1.9579,-2.91453
6.39519,-0.577009,1.96579,-2.88748
4.87904,0.96843,1.97133,-2.8674
5.94,-0.119935,1.97189,-2.77095
6.29577,-0.439626,1.94378,-3.02143
5.4972,0.290078,1.97352,-2.86108
5.28062,0.473635,1.98147,-3.05374
6.24896,-0.478575,1.96352,-2.7921
5.83231,-0.0247756,1.9685,-2.87604
5.85365,-0.00461384,1.96958,-3.14308
4.20519,1.64705,1.9805,-2.89036
4.19508,1.62478,1.98026,-2.89039
4.97511,0.850112,1.98878,-2.85842
4.70987,1.12195,1.98655,-2.81955
4.98183,0.809934,1.95932,-2.95755
5.31303,0.466787,1.98197,-2.97911
4.36471,1.39274,1.96459,-2.83408
5.13766,0.68299,1.95896,-2.8401
5.11196,0.652264,1.95904,-2.83756
5.16029,0.676014,1.95895,-2.83961
5.65931,0.0499975,1.98556,-3.01495
5.70077,0.0758017,1.98553,-3.0159
4.98834,0.779917,1.98196,-3.04098
5.52091,0.270363,1.98,-2.8924
5.1862,0.597121,1.97377,-2.79629
5.27067,0.509937,1.98876,-2.82811
6.1482,-0.382071,1.98045,-2.83819
5.51696,0.250509,1.97807,-2.5655
4.132,1.67399,1.98179,-3.23081
4.23711,1.52752,1.99723,-3.03177
3.78313,1.9886,1.98531,-2.71513
4.61152,1.22464,1.97089,-2.82691
3.97125,1.79018,1.9822,-2.75626
3.99846,1.84095,1.98206,-2.75384
6.17289,-0.348434,1.97555,-2.98286
5.52723,0.337242,1.99254,-2.96541
5.40079,0.445477,1.98885,-2.84715
5.23522,0.59545,1.99816,-2.80175
5.95577,-0.103927,1.96132,-2.9585
5.42619,0.419253,1.97852,-2.74899
5.25506,0.670366,1.96935,-2.91363
4.13721,1.78846,1.97543,-2.88496
4.71607,1.17636,1.96336,-2.82106
5.1192,0.75991,2.00442,-2.60959
5.13641,0.721386,2.00018,-2.71897
5.68393,0.205857,1.95521,-3.0104
5.43053,0.475006,1.96589,-3.06372
4.35839,1.5198,1.9892,-3.03792
5.47234,0.413558,1.98346,-2.90182
5.22333,0.664695,1.98403,-3.06009
5.10174,0.799561,1.99154,-3.01375
5.24071,0.659015,1.99424,-3.12673
4.22219,1.63865,1.97296,-2.81912
5.52913,0.308758,1.98973,-2.83734
6.0819,-0.236689,1.98169,-2.80611
4.60636,1.23227,1.9783,-2.80119
6.13084,-0.235375,1.98417,-2.87598
4.5139,1.32793,1.9699,-3.18729
5.16844,0.688306,1.98857,-3.17634
4.89019,0.987861,2.00495,-3.10494
5.12972,0.676732,1.96283,-3.09744
5.02101,0.804453,1.99666,-3.1404
4.98974,0.782528,1.99674,-3.13976
5.10043,0.756329,1.99497,-3.12366
5.28125,0.506706,1.96718,-3.03555
5.49245,0.352949,1.96525,-2.97847
5.12654,0.651378,1.99821,-2.75697
5.2122,0.626983,1.99999,-2.75891
5.52425,0.28819,1.98836,-2.76991
5.56262,0.32848,1.98824,-2.77283
4.67758,1.07373,1.97563,-2.93955
5.44882,0.414653,1.97075,-2.92868
4.72094,1.13617,1.98232,-2.73352
4.61943,1.16244,1.98074,-2.68493
5.8825,-0.0736351,1.9655,-2.93881
4.75157,1.08414,1.99553,-2.79334
4.66663,1.08467,1.97213,-2.82972
4.48591,1.36813,1.97649,-3.18083
4.49794,1.26646,1.97798,-3.15693
6.02597,-0.265242,1.97857,-2.76647
3.93611,1.85224,1.99098,-2.92343
4.68962,1.05321,1.98218,-3.1069
5.77615,-0.0671708,1.99066,-3.12894
5.84854,-0.0818724,1.99181,-3.13933
