kappa1,kappa2,kappa3,xi1
5.95538,-0.147337,1.96195,-2.56083
6.86791,-1.06442,1.96745,-2.97652
6.87669,-1.04925,1.96181,-3.22803
6.82491,-0.998341,1.95675,-3.7477
6.20729,-0.366884,1.9489,-3.79912
6.10812,-0.279952,1.94463,-3.80805
6.07477,-0.249341,1.95109,-3.93713
5.75698,0.0756406,1.9496,-3.85873
5.70491,0.148381,1.94948,-3.6479
5.67966,0.136408,1.94649,-3.9223
6.06493,-0.237544,1.94351,-3.79291
6.01133,-0.178585,1.94375,-3.62709
6.00107,-0.195722,1.94375,-3.62883
6.1913,-0.392486,1.95739,-3.38841
6.22618,-0.426524,1.95069,-3.57489
6.08928,-0.284034,1.9469,-3.69381
6.46164,-0.649119,1.9544,-3.62638
6.9693,-1.14522,1.95465,-3.50621
5.80532,-0.0376922,1.95518,-3.92846
5.94637,-0.170952,1.95663,-3.74462
6.25248,-0.449399,1.94642,-3.84532
5.31863,0.471702,1.94736,-3.78996
5.87154,-0.0827042,1.94805,-3.83108
6.04183,-0.273374,1.94667,-3.81424
6.16509,-0.399076,1.95351,-3.86792
6.21852,-0.454258,1.95181,-3.8805
6.37197,-0.609556,1.96176,-3.84194
6.34156,-0.528602,1.96021,-3.80509
5.33522,0.453088,1.95043,-3.83167
5.58838,0.187683,1.94818,-3.49792
5.98758,-0.206794,1.94491,-3.37989
5.92266,-0.146328,1.94863,-3.44081
6.09611,-0.324942,1.95267,-3.76413
5.93421,-0.165384,1.95048,-3.81126
5.1779,0.59002,1.95473,-3.69546
5.76044,0.00256145,1.95513,-3.89433
6.04415,-0.280568,1.95601,-3.47489
6.0835,-0.316889,1.95264,-3.60992
6.29635,-0.576388,1.94346,-3.97863
6.09573,-0.36404,1.94496,-3.7942
5.47931,0.234971,1.95047,-3.64176
5.49727,0.250008,1.9506,-3.64526
5.55228,0.187169,1.95193,-3.73781
5.76636,-0.0470563,1.955,-3.87785
6.65832,-0.934784,1.94982,-3.66331
6.29358,-0.592863,1.95105,-3.5869
6.37633,-0.67166,1.95195,-3.81572
6.35841,-0.681478,1.95192,-3.81651
6.0633,-0.37749,1.94735,-3.67685
4.81045,0.886071,1.95108,-3.5744
4.87872,0.834647,1.95017,-3.66614
5.65762,0.00992791,1.95826,-3.66854
6.0747,-0.365966,1.94354,-3.81844
5.6501,0.0511622,1.9482,-3.82322
6.23503,-0.559411,1.9482,-3.79039
6.28207,-0.573448,1.94763,-3.88782
6.57874,-0.903916,1.94841,-3.75351
6.7043,-1.01264,1.94858,-3.8231
6.28562,-0.597022,1.94795,-3.79894
6.33167,-0.596374,1.9463,-3.80868
6.18955,-0.526754,1.95547,-3.60724
6.21706,-0.50926,1.95544,-3.61201
5.72854,-0.0448378,1.95457,-3.24809
5.27257,0.436424,1.95278,-3.55092
5.35077,0.362993,1.95915,-3.03633
5.43797,0.258288,1.95531,-3.36585
5.31745,0.371552,1.95783,-3.15416
5.26469,0.405374,1.95429,-3.28526
4.82356,0.853987,1.95406,-3.47393
5.17901,0.499154,1.9461,-3.9144
5.19261,0.518861,1.94604,-3.91866
6.40238,-0.728577,1.96191,-3.39068
7.16556,-1.49431,1.9552,-3.98119
7.29612,-1.60013,1.95534,-3.92168
5.3251,0.369718,1.96487,-3.23147
5.42,0.266898,1.94224,-3.84562
5.51784,0.187093,1.94624,-3.84084
5.45643,0.252075,1.94542,-3.88826
6.01661,-0.309971,1.94594,-3.6455
6.02552,-0.307083,1.94604,-3.65016
