qu0,qu0025,qu005,qu095,qu0975,qu1,time
1.74121886358049,1.87265497858727,1.89102478065752,2.06983778127095,2.089282192574,2.23715893959361,0.166666666666667
1.73411902087397,1.87110517254792,1.89032779832426,2.07027012544419,2.0891189711328,4.84641574546275,0.333333333333333
1.71197999978448,1.87255365611064,1.89221654921197,2.08851128605827,2.56275124980609,6.29709435085797,0.5
1.74897348566085,1.87315003673971,1.8929943251151,3.5713802296138,4.38494616923746,6.78704133950029,0.666666666666667
1.73148753598638,1.87791021448449,1.89702601235389,4.79352092571994,5.03676455263631,7.10872981017255,0.833333333333333
1.7314747535769,1.88480753150223,1.9049598764843,5.3205053795389,5.58727838471676,7.227236439637,1
1.75242319951305,1.89706341994793,1.91995312300352,5.72762323718585,5.98652999984319,7.41090361485618,1.16666666666667
1.69714884603027,1.91216327575062,1.93624332683436,6.04495544603716,6.2781963256099,7.58583846104378,1.33333333333333
1.75527555934606,1.93642940466681,1.96717922441461,6.29219789929982,6.5106824881526,7.6648589866782,1.5
1.77249802771133,1.96401173908147,2.01763341133659,6.48882235521973,6.70272225518306,7.79735971389547,1.66666666666667
1.80671009455735,2.09947240212243,3.13362688570074,6.65300095809746,6.84942276961873,7.77852228581427,1.83333333333333
1.74302400535863,3.31617418535658,3.71016566104667,6.78884112168988,6.98524632366129,7.85103172854989,2
1.81440673058652,3.76109271995951,4.03542221725612,6.90631211590622,7.10062730395012,7.95128922283017,2.16666666666667
1.83695227747626,4.02717740927769,4.25746133935652,7.01664083996538,7.20499197896075,8.1099433499936,2.33333333333333
1.90383108522095,4.22416514544669,4.42766195600517,7.10891928443665,7.29287443033578,8.26810406119584,2.5
1.94256149675449,4.38217688590178,4.5619281487284,7.19473531100221,7.3721161888784,8.17415680877594,2.66666666666667
1.93142612586262,4.51403362990423,4.67795272454552,7.27944150458581,7.44738148368193,8.34735786930113,2.83333333333333
2.01471347118308,4.62559305391801,4.77742787504158,7.35154844009881,7.51520001683348,8.46042608303553,3
1.9236066892116,4.72061504657288,4.86254960436249,7.41825563073552,7.58003845102023,8.4524118459035,3.16666666666667
1.9119826857564,4.80376492082277,4.94403446802892,7.48043055963539,7.64078315185985,8.44001662035939,3.33333333333333
1.97060969797077,4.87619010514109,5.01522334841355,7.54015183686931,7.69359399427728,8.5566193447668,3.5
1.91875894792487,4.94709659546598,5.07948086752476,7.59222552023198,7.74626337198063,8.61752385297168,3.66666666666667
