time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40
0,1.68615039826414,2.21888266724843,2.59082215114864,2.3647497083954,1.96055710391893,2.60492710381788,2.42238199294277,1.89549462203696,1.95656879688386,2.0972123918057,4.09445192047922,1.80836225161712,2.03269439952226,2.08871408988509,2.03959148127282,1.98089919782632,1.87611035796413,2.23858687342904,2.01960791799408,1.64748300330891,1.57496600786254,1.86659288045183,1.71267643529579,5.01270485200757,2.12557015870785,1.88243926567401,2.26724541201285,2.22777581808123,2.06628827466675,2.12410392378668,2.70541805252431,2.58173685869485,2.24893743506368,2.56026847907414,2.47958337154386,4.74278161476239,2.40837085175938,2.37897385172347,2.34664905823956,2.24049985167322
0.508474576271186,4.84271905381248,5.51936074904321,6.16225901805602,3.24320321203559,1.97363193873368,5.41114838165745,2.42793811134731,1.90735456154407,5.39212643624471,3.38929694846047,6.11367597858962,1.81407093332265,4.85666606882445,5.12216841140743,5.12365801346601,5.04678767715568,1.91332009856638,5.76604313480625,4.83749905394051,5.03326947671944,4.61769981625961,3.99524090818076,6.04179602012596,6.31107787470202,2.18570389108901,1.87505913533269,6.41344523801672,2.13122131156221,5.50697492373694,4.73424886667611,5.34639283009294,5.75414561619153,4.13194130748391,3.66462985262671,4.67208983150037,6.32154191409934,2.38632010372563,4.83295850183337,2.37089687762019,2.28119859693511
1.01694915254237,5.42819745020777,6.17188765566649,6.76660668668159,4.87387166654766,5.25423505266002,6.28088937357051,5.86602067096053,5.56450732280635,6.17497277308767,5.69128472485698,6.68048026483689,3.72023915142516,5.91523959674407,5.7975701930838,5.89944651193076,5.87012442638306,1.79643559546259,6.25622892971465,5.73256094512,6.01987575337209,6.77366932900448,5.37173439872259,6.84141328072162,6.78177261089205,4.43480962112831,5.06920102479642,6.89205727097143,2.22228665477969,6.56228834843803,5.83256497890591,5.94863713781318,6.56113235990511,5.2592541154117,4.87827051036566,5.62751420650326,6.59438529629523,5.44626606847766,5.74005475871802,5.28427785910843,3.48934663814673
1.52542372881356,5.62813178921637,6.55781399349237,7.05530780578389,5.40777687332458,5.83054218385686,6.61297634852853,6.37791232651419,6.09953149405586,6.58374725708237,6.25106105373099,6.90455863574638,4.74730583469129,6.46582571526025,6.06580807338865,6.13647128374139,6.15802473036279,5.74244352481374,6.60709242606703,6.05362066508463,6.40129322868692,7.23147189637927,5.87678268131066,7.14749548382351,7.03643131026763,5.35695512683435,5.72836814657084,7.20167200784997,5.06197170595742,6.89386068178449,6.28719929042367,6.39239972317372,6.90374863160988,5.64710827225174,5.36273521616381,6.13299071472796,6.80996794119688,6.14436563539973,6.10749243910286,5.86033263370492,5.24584433748468
2.03389830508475,5.79630266268276,6.80017080652467,7.1591359243459,5.67017103535909,6.25012145789861,6.75018054386044,6.67690158229758,6.34235835455205,6.66008161840734,6.4463628873802,7.11288483047089,5.05764300645719,6.55898646287686,6.34431675989536,6.39384432892134,6.39569536389101,6.28668108752024,6.83121356756855,6.22888960235646,6.47092789158452,7.52593256236143,6.03662143158136,7.2652231107903,7.15879496353118,5.83388872078677,6.04110897067928,7.34580832292401,5.70910736521428,7.08289887983665,6.49600998741177,6.66039350829247,7.07458766743977,5.90139358979772,5.45705758293197,6.34007854261342,6.99100971290185,6.41822164371289,6.35638908909024,6.07368335946157,5.63773088614418
2.54237288135593,5.94986241261077,6.80693398543822,7.34096218778291,5.91202484205242,6.44437438803092,6.84341402238544,6.7718493704514,6.52119807715136,6.87740747658846,6.44110516008035,7.15990854214856,5.31454906954135,6.72280954024044,6.639571068494,6.56949990221673,6.4495962516229,6.53262424796311,7.03802863187181,6.28662331751342,6.66018262104406,7.84430640183237,6.24543269861554,7.31450510972611,7.29138500708606,6.07715229540313,6.16067631247555,7.46843493431354,6.01365550859343,7.25873257710794,6.55481223165175,6.69189837252417,7.25632857783835,5.97232570696597,5.60000568506153,6.40607925675745,7.02749518967381,6.54836681240269,6.46641126003016,6.19196605049916,5.91244964105212
3.05084745762712,5.86817888806424,6.93696391327746,7.37225347258419,6.02778888099695,6.51467730547396,6.92183159456441,6.95968024210272,6.53422262519852,6.95393991773476,6.47758885051325,7.22003872739451,5.32510285871765,6.94947149348978,6.639522772595,6.6495658397927,6.55744685341382,6.60989933412813,7.10832716038327,6.32641391542601,6.83145232332145,7.85021383429584,6.47891519064069,7.34485585936083,7.3265240340911,6.20438725928666,6.20866863028458,7.45838497839286,6.14451038690856,7.28742865593462,6.6378159136529,6.74310129009615,7.27115747010747,6.08786318353772,5.62727231591666,6.36998331400335,7.01595584975478,6.6320036092318,6.57092903952909,6.29273641922273,6.06917022618942
3.5593220338983,5.95668005303897,6.98634792989476,7.41845862346161,6.19366537590604,6.56976539292506,6.86706580437259,7.06588714354852,6.61800652755971,7.05286299466638,6.56721748414831,7.27309517399048,5.33473780655101,6.88312299528493,6.6655681024007,6.82773437835605,6.63447100304878,6.69718004103315,7.11989323000468,6.35645408021869,6.86271547619515,7.99933726557658,6.49899404120264,7.36979409496046,7.39673427728316,6.37217225617696,6.3268953198625,7.50238940315264,6.27001633482698,7.34402719238369,6.6312589064787,6.8216363630307,7.37848484940128,6.12645087231274,5.73643776243598,6.42459770492143,7.12997427697407,6.60984078757763,6.65843027477953,6.31380037440941,6.04083275175627
4.06779661016949,6.01985062958098,7.08340381622882,7.42379649025452,6.25486922592055,6.53910932399633,6.8389110417437,7.08426785297049,6.58721426357444,7.14470411594666,6.5277548634433,7.29144002995159,5.37518830430117,7.01740968671333,6.60382184297959,6.81418222476454,6.67105627995825,6.67124976218983,7.16659607819243,6.38412376825863,6.96512100828414,8.05558978583632,6.57983155392264,7.36251919412014,7.43064018804602,6.40772685382888,6.33329476497215,7.51211524060021,6.31390270802903,7.41767271247509,6.64751239824084,6.8995651923606,7.39742656310102,6.15556463658182,5.71365149030501,6.39670571538611,7.20723998188301,6.68527773353292,6.70658032278081,6.31221083476855,6.141382986233
4.57627118644068,5.96595040268552,7.10408330232083,7.4544396555068,6.27096647312432,6.56567452669378,6.91988841396166,7.19307474577216,6.54301694089919,7.15170376593222,6.56432698822911,7.30909095760202,5.38911519365169,6.98050644858537,6.78852170698569,6.79496843638895,6.81993076415213,6.69708190203246,7.15467506935521,6.42854198417342,6.97079376987641,8.06813719229254,6.65611319638955,7.37376259047172,7.42743643454686,6.43652356371445,6.38121398010404,7.50658828119534,6.3395555750106,7.44551845524691,6.6622027102962,6.91250316122967,7.44112405781159,6.21094733565105,5.74661766347749,6.33393921375166,7.01226388176589,6.66948786793016,6.69978178170579,6.29923032105234,6.15211160890483
