mu1,mu2,mu3,tau1,tau2,tau3
-0.835214340095448,2.36899125967459,-1.08305256741484,5.11349114618845,9.14526360886759,1.49854709480425
-0.590238275583638,2.40786704064879,-0.992084169926673,3.87689529183949,6.32699898524524,1.03433703378298
-0.73421607024488,2.41650668577128,-1.2884363696678,3.8282786623098,9.00066586154083,1.3552557719585
-0.651377286594738,2.45853732395459,-0.987809222690838,3.2987863326577,5.71943577806242,2.01006791437018
-0.758846134168441,2.34850545153544,-0.953536607056585,2.92355456447561,6.22819078692793,1.83180438788702
-0.674854810453453,2.3593747183476,-1.33104994531232,3.41460792713713,7.97289087316445,1.59052177168329
-0.743931114239045,2.41232655309881,-1.17489224090674,3.90371068542676,7.48145820743966,1.69010655187242
-0.636233083989128,2.33859075571601,-1.09402707031604,4.13966494868746,8.88680284258906,1.52411212984412
-0.71740496042817,2.37774547660115,-0.724704523234592,3.6139871131544,8.7166094719147,1.47754268182924
-0.77359958965518,2.47015473489088,-1.12269442425244,4.18051356878486,9.72491081656245,1.45683447207955
-0.70574243301661,2.51248541122006,-1.04541411610214,2.4635687666949,6.51944974563767,2.2944836267211
-0.820139392904117,2.44278915401458,-1.25012324007425,3.25090117193778,7.32957926487028,1.97111967739298
-0.651039562040571,2.34698875835331,-0.923188777984672,3.86516285418482,7.37807684108525,2.16170399050382
-0.690050041140508,2.44764070982846,-1.07438447131573,3.26483988629427,5.96085057949784,1.99857383585332
-0.630438182865953,2.34114905414466,-1.0006095160401,4.02343219496502,6.37423089000942,1.95421796061935
-0.821947447174927,2.41963410735483,-0.952908727809055,3.6556281222223,9.5732466148543,2.30103950400643
-0.675908841239739,2.26534801452888,-0.935354624297633,3.74695949024891,7.48952347776529,2.21968237410117
-0.651661831781394,2.41583133820049,-1.01388735742389,3.13331421752807,7.19185951968778,2.34032631005357
-0.842584562340589,2.39443682318436,-1.01794152513448,2.89704576797529,8.85363989060108,2.13850965608626
-0.824719118746232,2.32441832834865,-0.957755162357867,3.64215579832447,8.74652245773898,1.96499211203042
-0.805844143949751,2.3495341371765,-1.11611786088007,3.57518180193806,7.99640941593062,2.51898432923131
-0.671434487557263,2.3293137505043,-1.06944309261326,4.17501270767079,8.0180282118804,2.33667765826664
-0.710627302540153,2.43680836526131,-1.06009413522783,3.90321666323353,7.40241583800164,1.95413115073094
-0.597517940795678,2.31644993781749,-0.89281495190283,2.52083633824829,7.77310712928505,1.55205312963536
-0.647034408327066,2.41056324720127,-1.12987789294635,2.39275068936145,6.95253711183974,2.11941819788266
-0.716433573935418,2.43030908763715,-1.16809715772188,4.46010604194353,5.56772805177591,1.74601703217769
-0.698164664523301,2.44837520895913,-0.872158321064445,4.06129093129209,7.71934814773583,2.11931017313805
-0.604699927732459,2.25289246622895,-0.725494187601353,2.96585760548468,8.91959176639357,1.37659999016228
-0.757798447534634,2.38171172850722,-0.856355981776783,4.01511127691592,6.32428948596842,1.71602001428468
-0.65381381873315,2.33207956518035,-1.16291316499935,2.72478857097604,7.11891759826053,1.69040634199568
-0.703648547287998,2.35763241382185,-0.868398644054338,5.11514833246411,11.7281019059421,2.00055266826066
-0.750679317433114,2.32763651592181,-1.05254028447382,4.85141292118183,10.768959586848,1.95898282520903
-0.71146492545457,2.36275666664895,-1.18343318922277,3.8308973238299,5.89873602035039,2.40323215625781
-0.742453289656434,2.34423476301012,-1.0274827265091,3.61040503463353,7.10227356002137,2.39024129135958
-0.803764647326076,2.2819675595908,-1.01748278950017,2.58372630294542,8.49393359845353,2.34391311711839
-0.733340818214517,2.40982647534288,-1.18626082423549,3.83185437287322,6.54371341030747,2.18573552438617
-0.744182372222006,2.25895149837898,-0.966301107531947,3.89153244934258,12.7941141300426,1.68937129463919
-0.709656163762338,2.40925665293957,-1.11458658317791,3.29043464399632,7.99846020547396,2.13685370839255
-0.691093394815905,2.36280128972797,-1.32673055487487,3.01636453580803,8.86624536148389,1.31342654800119
-0.706857879086467,2.37365357132652,-0.996418125477399,4.07415535542437,6.93473089143783,2.7846031143251
-0.752350831128345,2.39199548719494,-1.04781182673227,3.69217544075895,7.81524309332118,1.77329878864359
-0.684536031341741,2.440288330454,-1.03588545110761,4.17120011718306,7.70616649899828,2.24282772647602
-0.869552717197522,2.414970839569,-1.15155146781752,4.24013704718755,9.63694443361622,3.02451712140461
-0.695735080250675,2.4318384628153,-1.09388252681514,3.3543954261138,8.04074135748992,2.34880265046699
-0.76653963515908,2.42507791152741,-1.37871027648683,4.48700304347811,8.41052943560246,2.67783758812381
-0.703429438417689,2.33015382915225,-1.17046495101826,4.99404246853163,8.68283126278046,3.40588292516727
-0.806008858862616,2.36987568241318,-1.07958036638316,3.89781490039833,10.8862517555747,2.4912391583897
-0.699429801079074,2.49994592781266,-1.11734249379045,4.29291492377542,5.41722595339708,2.85405694918292
-0.637385253559068,2.36870689704582,-1.05023517608584,3.06785445691881,6.8310137428964,2.75226418811834
