kappa1,kappa2,kappa3,xi1
7.15538810462085,0.624782725201339,3.04570038516823,-2.19707275250938
5.86229782979701,0.672932567393251,3.59357995733606,-1.36040071714916
4.96082276493632,0.289692566719305,1.52119485677239,-2.27350878395808
5.9451009396858,0.06869403598016,1.79912411527347,-2.59669292862502
5.46145475245988,1.47472471194891,3.75598847567246,-2.4608822273158
4.56539851689871,0.838032507118977,3.32786425393931,-2.23971514049245
5.80876833187207,-0.0181518024663336,2.28891994729035,-2.64722474761819
4.93337067371477,2.02102126351931,2.6551160639292,-0.811026275808284
4.59757482835104,1.4995950375379,2.49494350892801,-2.28759029091245
4.23649588512018,1.95530700532018,2.31947333290238,-2.2891915908308
5.60055850804608,-1.58497713441166,3.04198469692152,-2.49360239765167
4.77467132735261,0.389351984545125,2.66778841016178,-2.73738958755986
5.23517096322319,0.682383790863728,2.42595097968,-1.81327511468927
4.51235844621953,0.534474594121872,3.30382856246556,-2.77675666201627
5.24652881475149,1.83194302862671,1.31573624539174,-1.71944259864617
5.41325964261297,-0.702660355374919,1.70432200788352,-1.85470795901098
4.81806483658945,1.58941333414894,1.9598604959857,-2.76833664794348
4.60711118576941,0.450697404072768,2.99738861665673,-2.58329974427153
4.77490610271939,1.85614074917974,2.01592791635108,-3.14461401049419
5.41021457158326,0.659352863769583,2.50611969579191,-2.24644034049478
4.8603838144909,0.780296416494442,1.81075607897304,-1.72791887967264
3.98170211026906,2.30773999637377,2.8558327650279,-2.05543472484774
4.67351105694822,0.0954515911914876,1.76764949000504,-2.83994311727203
5.11712448233217,0.746374516513988,3.39530896533139,-1.95828064116091
3.61976917055908,2.59443029268011,1.98632930789542,-2.30547169203789
4.46625817883437,-0.548428328002327,2.85465738173552,-2.05123276798664
4.52615235966527,0.351375142673386,3.52851743654913,-2.24465244278622
3.7120911262345,1.37573695260289,2.20649658900632,-3.22408264117909
4.15001875016642,1.16921546103794,2.08802355023007,-2.3248304126264
5.33826874921996,1.85311638635147,1.71066625352398,-2.37574408700579
4.58315352893482,1.19372247938404,3.15941943976863,-2.14097385665473
5.74785349034704,1.87406190329956,2.74365958806368,-2.20038205794672
4.42020415307527,2.33596798549176,1.12075488512018,-2.50316511190814
5.37986177149485,0.216798948494065,3.74242284780263,-2.81663599456088
4.8571598930879,1.87334587136214,1.9880748355654,-2.88976545088825
4.89593196413579,0.868878115083819,3.3069021043573,-2.50848032798847
4.49174464941334,0.74840280580263,3.87223241461068,-1.47690740873713
5.22420100835631,0.991870059329867,2.01349090750455,-1.8409546529401
4.22337402343957,2.41951409809465,3.35693755915091,-2.64788776356804
5.85657646146601,1.24605949548915,1.85787818825865,-1.8882028930955
5.42118750780806,1.38251580593105,1.47909472039418,-2.76127215094298
4.32823160494179,1.1308276921019,2.64478160568954,-2.8869326959021
6.30147962754965,1.9270576754673,3.22614189078914,-2.66315964342349
5.87526131789025,1.27011584488537,3.37548775485984,-2.18974603027869
5.35417820499273,1.55164905961851,1.66344834058929,-1.70002197254302
3.80312083886193,1.18970496787686,0.993486050984278,-1.90189187526627
4.12975569306525,2.0072502347528,2.40460984092877,-2.45320587709763
5.21755506676352,2.55304516901474,2.16704664879534,-1.96288818003534
5.08708244652905,2.2280335024479,2.31298179300754,-2.65329043507364
5.21495252037401,0.501279814106693,2.52025658098522,-3.22726610150681
5.3760701181819,1.5002635281158,2.94152028781614,-2.25910358800346
5.85611278215593,0.993932055075465,1.45092854395222,-3.4495467163433
6.290099080543,1.37732520539535,1.87212010537598,-2.01501294216858
2.40605798978928,1.59013835988985,1.31820373661446,-1.77409288311863
5.497568812984,0.202766120463933,3.57977875145876,-2.84189377031822
4.79891023750797,0.971005440011307,3.01804865577463,-2.00690905316316
4.46367781367314,0.628083736571553,1.82773632652952,-2.29473968161444
4.68549157295558,2.58102445031094,2.61670840014015,-2.10797356366807
3.69722431819315,1.00132427050205,2.42374158131637,-1.81731639146961
5.77170414234843,1.61693873865106,3.18684356239586,-2.22584522495812
5.90372393716772,-0.217555589055339,1.74421405027135,-2.43448087449158
6.39503259501959,1.51055725114038,1.90776823728337,-3.24553216169096
4.56506213691321,2.67887687121602,2.64069286403343,-1.7554998232309
6.26866536744912,0.531909493084899,1.89719844743906,-1.60916676688278
4.18784966133832,2.48190567646905,3.06091603076849,-2.07398999515966
4.80700477617419,1.18599667594048,1.49476806151272,-2.08218058091837
6.01429526076794,1.04482157750541,2.93061513783898,-1.70128451385319
