mu1,mu2,mu3,mu4,tau1,tau2,tau3,tau4
-0.583819234376479,-3.38985557018169,0.379251758119676,-0.0305715763107316,0.983366457832308,0.39016972569568,1.45079779810758,1.90208869191146
-0.561816708144174,-3.32186135253457,0.359100630038229,0.0112591279306356,3.5293085950826,1.01953692832945,5.45976007881625,7.11283673397629
-0.675400273141987,-3.34841597097206,0.296307837624083,-0.0455404248149209,5.8906128020517,1.39424323135847,8.02563889802628,7.26020436493375
-0.698413447881576,-3.3121859263195,0.324988353334046,-0.11064347307929,7.59160696319873,1.67967221473869,8.69092205514128,9.44928971983421
-0.730632870401173,-2.99951826743599,0.295500284469083,-0.0853703997202282,7.88256028298701,2.73364102609439,10.4376245692129,10.4184028898819
-0.687940511508513,-3.04946974405008,0.281787868890379,-0.0306390017983216,5.22088559491688,4.29132587563618,11.3450274894511,8.1747456985999
-0.738146698066403,-2.91002357735642,0.297361317757199,-0.183982543834086,5.92711823998869,3.6777262968226,13.0184736488072,9.63939921308229
-0.658059355199374,-3.00011703632834,0.295035386159975,-0.133964890159872,6.00604948208548,3.3470126113547,12.4465514517204,9.51248969152003
-0.761607394240107,-2.97439990888715,0.289882803870378,-0.176058556677808,5.8375351756413,3.18828003951872,14.4391606291397,7.17493644557299
-0.710474819880723,-3.07785104176998,0.318004940843343,-0.0666324629448941,10.0137229050378,3.42915352752062,13.2050719941839,8.06451143754597
-0.664821432151468,-3.00009066452337,0.36381054602382,-0.0421005286481902,11.2241208330187,3.12774137936966,12.1370063461823,8.3129396415661
-0.657426308995313,-3.20866074461527,0.313240283340289,-0.105224037049859,12.9177875618271,3.6621658366165,13.5521812942098,7.20115805000062
-0.679512056826952,-3.08000107794542,0.308646702375291,-0.177113228244191,10.3803907091136,3.48933512940967,14.3657316003209,7.77603659744894
-0.652407522538299,-3.09483059260315,0.322307660448548,-0.203374174745922,8.9910553667849,3.48365526774322,11.6432712605644,8.3583866262867
-0.717614861129643,-3.02733618265185,0.298421361899288,-0.0843124752216569,10.8739486710011,3.83829385516317,14.2736932225703,8.36244876436443
