time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20
0,1.1576355913608,1.56885314034172,2.37054644965701,1.99405758863767,3.16222249880695,2.37968872476746,2.30480915051933,1.90124940240659,2.29019135084715,1.60956757207907,2.08278961172898,4.31242276609101,2.49423414435984,2.32941484180741,2.01954554873804,2.27217475512519,1.62359701206694,2.2974065115962,2.43113016465206,2.25235617577455
0.508474576271186,6.09599470011187,5.00308937462605,3.88244769439649,4.51014221110547,5.54777813759588,4.75956969720509,5.60518115570673,3.64781678604704,5.62645837613755,3.65858156327626,4.30967398563383,6.43880271882791,4.38491847650758,4.95411997161199,5.16375611688198,2.28901979470661,1.57609099624799,2.06508128399846,2.3759439345189,3.13739768569597
1.01694915254237,6.73277408880507,6.18486053187584,5.8315284492991,4.92980431534838,6.00992006241184,5.80973410446039,6.68945233285098,5.57763121011539,6.30330969705251,5.80689429651664,5.81795883124848,6.82247728705903,5.88290788057375,5.6918654362011,5.97377644925661,4.57630077939381,4.57371080499879,4.8518813807427,2.3815026594201,5.85499667230735
1.52542372881356,6.92706520182882,6.64202891576824,6.1572563164127,5.35803396720128,6.06466985872737,6.31030708358681,7.04412561981795,6.00037356331154,6.57794419515537,6.24077470688864,6.30860315283867,7.07232781370583,6.19798161468218,6.07320528196354,6.431011583552,6.32215804673248,5.60663322749895,5.70563608036344,5.28260549744011,6.32635138310169
2.03389830508475,7.09934514636663,6.85677908244493,6.3246127955386,5.5209514484188,6.15245532479124,6.49411351107496,7.39814653285033,6.2169211522206,6.73473585886691,6.52230223708075,6.52028587161224,7.20545629455622,6.24809599066747,6.2486492132084,6.59571762269327,6.81338555320553,6.09155826962864,6.06192400146604,5.98598209675788,6.57671805758868
2.54237288135593,7.16885669946504,6.99141204607905,6.4160825947059,5.57906945019891,6.23906813908529,6.66993931815596,7.46849599326418,6.28565586573126,6.82952420016685,6.64427097175569,6.62531089874963,7.26826021496468,6.36389965365749,6.35336268525805,6.81187162577033,6.99965393824,6.45680893154279,6.15921628568969,6.27431493398118,6.70667882536364
3.05084745762712,7.12869111818366,7.16888891950298,6.46451058107436,5.62941051803523,6.27059874821293,6.79938093018595,7.57374103330644,6.35445430218048,6.89215222751756,6.82170604575792,6.68402110855576,7.27196346029252,6.41126963370198,6.22510347259932,6.93118636459513,7.16815617745405,6.50693852399594,6.340253045622,6.41153979283243,6.78051973462124
3.5593220338983,7.19835608126876,7.18550595679535,6.58143570138254,5.69237688036321,6.3227752408474,6.86719726034948,7.57368307185052,6.36626870601652,6.88381845072051,6.83134378690163,6.84391773862686,7.33009679384923,6.44155782821573,6.25871513194284,6.93656195495743,7.27195834599552,6.63147292098684,6.43472550990576,6.52307687738549,6.95376851264732
4.06779661016949,7.19351032341897,7.25541398072852,6.57894886634482,5.84236059606361,6.33603605523138,6.93704001168613,7.56655751424589,6.44476744704446,6.88604380733005,6.8680323050862,6.82456110371965,7.22072834629051,6.3744586986321,6.36270032542152,7.00278909202784,7.27027388663077,6.73674781144446,6.54939139169425,6.55139152032822,6.90537688218844
4.57627118644068,7.22219883515091,7.26696122760431,6.56968885413267,5.92718379301856,6.27495078816254,6.96762385826968,7.61427882727239,6.39870113660469,6.96400756539407,6.94523132020591,6.79987186914951,7.27443019623805,6.35211590267324,6.34033776457122,7.07863477481657,7.28969089794386,6.80943293733379,6.57834745899104,6.59646811107963,6.97455981733594
