scale1,scale2,scale3
8.378700251846011,8.578834424713195,10.55994753528278
7.124169214024317,11.064583152522767,10.859110648573013
13.697313997272659,9.194352309961502,11.029135118617717
12.346062296786048,8.943029760141814,14.365783465493115
4.4922284296809964,11.272379481011772,7.6328333832571875
5.036676608338164,13.800202265205579,10.258974631204277
4.9972509715666185,13.60238570588234,10.342707978683897
7.432961574126422,9.864327454906135,9.857056427821917
7.445914330797962,11.250094001561363,10.954895828226483
8.51439853171746,11.6179872677955,10.579982687316214
8.569921619782011,9.918559712693275,10.838968143289998
9.644710240166878,9.659100651772398,10.154176478074941
9.332035349170585,8.670421800164236,10.59660362131091
8.496037076434899,10.490554829831217,11.682457828941041
8.815878379825246,10.894951695784007,10.721570546451696
8.21594542154366,9.723212513852502,14.29871155924354
7.423770380741921,10.243865552315945,14.65160337453416
6.98412587119087,9.830125698610983,13.25951415055191
6.839323995754218,10.120580264079937,12.85846386828242
6.941114677073292,10.839601322118765,12.591564363498739
6.029774312446155,11.59578452175463,11.85493555438871
9.24825331229749,8.936277251705809,17.64600067030776
7.417598147572064,8.8486334483882,14.378865252520693
7.050809404986344,9.512546349511075,15.644839798118182
7.910973975674809,10.449969936709078,11.318969447354435
8.335105773602336,8.715206712207245,19.17336569551526
6.979185513978915,9.882580004833917,10.164526284674707
8.706276128848407,6.776517707500339,13.744740862323846
10.23257392025143,10.175484075581362,14.145406588669895
10.723914944762129,9.03885862557513,13.348785575118365
10.895755679768719,8.803942568914799,12.971929316079274
9.407343225808138,9.527087150045096,11.946260296327077
8.774863292302932,10.761858128717032,15.699100961620086
7.901266634879668,5.993780555662374,11.523213383817163
7.898527443972244,12.159509508086627,15.262039990206198
7.898527443972244,12.159509508086627,15.262039990206198
7.579008560116321,12.617315804129763,13.174023296294573
6.099485631353647,14.75204842760522,10.773497514426872
6.154910667470815,12.847822395706086,9.89144281747399
6.33593216034595,12.428354463599206,10.02993383929396
7.532179245819474,5.86853356721261,15.593976061193557
7.990118685016235,5.588287397496857,15.578937654599581
8.392922856072436,6.355544671261997,12.622997979110071
5.422051349109386,12.419569037150524,13.871105543366218
5.4294348300951265,11.742148194179864,13.543798314389448
10.65251995916412,8.437848478214917,13.600478681830257
10.65251995916412,8.437848478214917,13.600478681830257
8.321005295732055,8.91667277127594,13.478378475483579
5.296981223451421,8.956215174363846,12.095366568569931
3.910815277935778,6.739081392212998,11.09474741204905
3.674078970928536,8.642938219867018,13.050790057088834
11.137707586933525,10.260697512756932,12.815293300797048
10.508860348868781,10.532947688418917,13.797974079427402
7.176777883521909,9.698842887610173,15.309471140139147
7.3655409566984344,10.22647264553262,17.333529205780586
8.180027187243919,10.327372490827935,16.67155823277686
6.714644542802793,9.219467785765962,10.973371316476282
5.648487396309923,10.960613233047352,8.535829959305927
7.75733712394371,7.692635004429867,14.459003166633487
6.296803224898718,8.435417062069192,9.313978431446657
9.15067787676613,7.134667430905841,14.217246555614487
6.941132476300843,5.644004026809761,10.405343958342106
11.298057007256528,8.571247425468234,11.82224618277065
10.643014658317203,8.380380477975615,11.755454288936795
9.974103648774744,7.806654141885076,11.346403497515679
10.66212085913372,9.893294284627796,9.631713955251294
9.755535859517963,9.859068141078204,11.168184010526796
9.533490197230359,8.495422481730351,14.665927322545885
4.983507531270151,4.90499503430787,13.401229074449214
