mu1,mu2,mu3
-0.6196754964014534,-2.8960448281808118,-0.054472833178586616
-0.6016724039222618,-2.893590362038414,-0.09110937900973975
-0.6745617212571047,-2.8700119281182634,-0.04737355451803993
-0.6287659341039994,-2.8816871197382237,-0.10647550890338014
-0.6529153586580584,-2.9254019356968173,-0.046256329914029205
-0.6986208374313547,-2.893658782827553,-0.03761059009945621
-0.6018240496583149,-2.9250946010926087,-0.17922922983765327
-0.6053284474869146,-2.9731898003566064,-0.17410016638196812
-0.6273922798415705,-2.941531005099491,-0.19490922647203918
-0.6424476306215194,-2.893624354577028,-0.0718204581875333
-0.615814312683835,-2.8650284684678375,-0.060060083180570316
-0.6150405820808051,-2.958691642810753,-0.028770186528495084
-0.6521401186709039,-3.0263848873456554,-0.06769064086821314
-0.6350294713070995,-2.917575226596431,-0.03938781771316236
-0.6374007538393138,-2.8711131665377514,-0.03887938002728221
-0.625752683109722,-2.8260637235181862,-0.002315612977938995
-0.6301082626328935,-2.7684867408837417,-0.009209818121203459
-0.6690794525401962,-3.038670767315211,-0.07648495484849706
-0.5959746045112323,-2.818245358879673,-0.03772088289858878
-0.659524354059129,-2.9849357070986176,-0.028936310354554757
-0.6065743853134397,-2.8371628046279196,-0.052873568698203866
-0.5817816905865919,-2.835305756812359,-0.011087883343067269
-0.6608817934349891,-2.926482552844868,-0.03780467656211285
-0.6226727330634962,-2.9324572553703603,-0.0864773671995849
-0.584091107825637,-2.94664141724841,0.01892226224993588
-0.5479218928310658,-2.957007068246297,-0.07755826484936582
-0.587951118299572,-2.8919469808067797,-0.06645353717761152
-0.6024871644505931,-2.9170628716201774,-0.0640258663541469
-0.6609022001862539,-2.9134925059928456,-0.0764173780845472
-0.622573094265153,-2.8560040658835857,-0.02293359364639925
-0.6111977246550891,-2.9075823258624776,-0.18523308098041558
-0.584673599372697,-2.94963267924307,0.10079120395285493
-0.5877298800587634,-2.948643412359592,-0.22637436283329182
-0.6192236289585251,-2.8807441404401906,0.09768993499590156
-0.5150830898609119,-2.884702702197992,-0.06589741109212827
-0.6819434784636597,-3.0132868431348787,0.021872895016172178
-0.5608478434638483,-2.854999331753311,0.05744522403623892
-0.5816974335037192,-2.9624917437566523,-0.10077278453403776
-0.5561622801282502,-2.974302349370929,-0.029212200425952822
-0.6087186054735183,-2.951181763425153,-0.059577315365188385
-0.6269556377524294,-2.934722569298387,-0.09921879592098809
-0.6197517679753269,-3.0062340808628107,-0.10459773431462654
-0.6516307425955031,-2.9659885929588614,-0.04181508715724743
-0.614164925092796,-2.934482778934944,-0.1336945357212679
-0.7030654327140732,-2.9002902700563316,-0.10062854313062737
-0.6144318413655739,-2.8455042921657685,-0.10184226757244416
-0.587691817971532,-2.9212838877408327,-0.13527864558299543
-0.6721540553836137,-2.866193494062502,0.018435758265577484
-0.6318986586145866,-2.892227973571465,-0.1053335622599694
-0.6616841118057011,-2.946170692927277,-0.06686963273744856
-0.5921300939631992,-2.884360777096461,0.019389067084488953
-0.6066839624291746,-2.851172343117852,-0.10393582464228304
-0.6225498308840257,-2.943453820174802,-0.02593359320417824
-0.6110990921088225,-2.9411094441766648,-0.0444116981629167
-0.5685888025617855,-2.819194357636488,-0.02823027137377048
-0.6249396983474949,-2.9246141914847197,-0.06715935969776857
-0.5176030999484866,-2.878981371059864,-0.026581350614237054
-0.6773589063455134,-2.8862104921823883,-0.076181755856552
-0.5469906916271411,-2.926144025211557,-0.0717572126067694
-0.713363490957069,-2.918170122556651,-0.15642095237977294
-0.5916490017333476,-2.9295518509755087,-0.045023535263428144
-0.5621638064483298,-2.9068758735128286,-0.04781074106924145
-0.5122114576823257,-2.9638608888256095,0.013772672152727351
-0.6356473538348947,-2.8637257806715755,-0.07405063915947707
-0.6166535571493987,-2.9088731865957813,-0.09574803619338233
-0.6120366217982683,-2.8885727775805274,-0.028103249575661945
