mu1,mu2,mu3,tau1,tau2,tau3,xi1
-0.7,2.3,-0.9,4.0,10.0,4.0,-1.2039728043259361
-0.8213611839086167,2.248156132593207,-0.7529438886723993,1.9348818313329759,6.112601945187701,1.6915493803304302,-1.2039728043259361
-0.8057393494973004,2.247178432096804,-0.6446756846287186,1.5878319450366989,5.1825437179066745,1.6962108495824009,-0.8223511588663346
-0.9611723124922287,2.161512220657409,-0.597806565842835,1.3617767604273854,3.8490653941991955,1.2568857481200884,-0.8223511588663346
-1.0989724102539669,2.1061395384645274,-0.49280316096116883,1.3812415192543657,4.68158763197128,1.4184345162977012,-0.8223511588663346
-1.1354265189008927,2.19212007348692,-0.4187971179218924,1.1821723224176486,3.457688410162869,1.2484204328086486,-0.8223511588663346
-1.097527420780538,2.3267802734797067,-0.2842605413306358,1.1997837430742586,4.177782539971368,1.7402373524037758,-0.6758165186415245
-1.2073594960043046,2.1091349879212054,-0.31965299611543085,0.9539998945236,4.750301927208734,1.2836382918576088,-0.6531209526700776
-1.0536662703472088,2.185653430066419,-0.3661242849385007,1.0548123509427738,2.8495023980278162,1.374373046181984,-0.6531209526700776
-1.2612039488057503,2.2106542044472994,-0.3008421280733288,1.0942022910540559,3.9280163073386873,1.676169442170186,-0.6531209526700776
-1.0867068830485804,2.254667828953152,-0.33260032498424624,1.1625069873683602,3.9644035518602156,1.50286434457265,-0.6531209526700776
-1.175663004334698,2.2865313962544174,-0.16446882027920376,1.2920867663483855,3.0105614283613917,1.3831939917135543,-0.9866402323436778
-1.2891884109107181,2.365257493098189,-0.22407457784928772,1.3743091584568854,3.853612946746359,1.6972587007765676,-0.9866402323436778
-1.1538355768066573,2.3785244005241766,-0.26697515230584273,1.4749627202053746,2.6903826671853777,1.530171605924492,-0.9866402323436778
-1.233846160096287,2.298010537222407,-0.35309917804458885,1.4232786550752372,3.455430706170189,1.7826525659419203,-0.9866402323436778
-1.496873838387078,2.1783857655254857,-0.44132196994719586,1.0969171449486506,3.6728808294356705,1.6064585323474896,-0.9866402323436778
-1.2821281034919676,2.201309549242995,-0.42490771475836336,0.8706039552943542,3.1804578254504503,2.1974150407199553,-0.9866402323436778
-1.1632617091590962,2.2167169497375974,-0.4071817130813166,1.2434676498338204,3.090208117854484,1.8081783566966045,-0.9866402323436778
-1.3933515333523698,2.365680829207974,-0.3437850838082814,1.1638214548080124,4.430854567046614,1.6623815581314139,-0.9866402323436778
-1.3978121544787336,2.4297896197122832,-0.3460649026086456,0.8945279728990939,3.807108745691089,1.9593330260620487,-0.9866402323436778
-1.0905855721791387,2.279130114956664,-0.4274477801087994,0.8974616143672125,4.0702279094795095,1.5322092927459394,-0.9866402323436778
-1.208851247266358,2.3588556872182336,-0.43282772685262905,1.1829079448382882,4.304094157501446,2.5485844699166065,-0.9866402323436778
-1.2019598327603738,2.334582756284871,-0.305732728024507,1.1445170969949634,3.4121318308382134,2.008204433683292,-0.9866402323436778
-1.4147498757366463,2.270411887403641,-0.45259109635795297,1.156667881808787,5.00272980968286,2.3746336766038483,-0.9866402323436778
-1.234527286471008,2.33413050246209,-0.2866342356001645,1.2707814593872322,5.691267072652898,1.9818357217667122,-0.9866402323436778
