kappa1,kappa2,kappa3,xi1
5.7415,0.390858,2.14548,-1.58599
5.32248,0.819564,2.16772,-1.59057
5.37807,0.760289,2.18614,-1.58187
5.71586,0.424001,2.13332,-1.60168
5.79745,0.340424,2.13841,-1.60236
5.62144,0.597941,2.16633,-1.55659
5.3913,0.72908,2.13073,-1.57459
5.29033,0.84929,2.15344,-1.5942
5.15206,1.00547,2.11952,-1.61044
5.14451,1.00675,2.11887,-1.60988
6.14957,-0.00554265,2.20664,-1.58507
6.1482,0.00365202,2.16194,-1.62185
6.13856,-0.00429756,2.1616,-1.62235
6.08445,0.088858,2.15366,-1.597
5.51606,0.624953,2.14832,-1.60355
5.54408,0.618547,2.15435,-1.60989
5.42138,0.736421,2.10802,-1.5621
5.4119,0.770679,2.10758,-1.54232
5.39328,0.799757,2.12612,-1.56124
5.39993,0.783102,2.12657,-1.55918
5.24417,0.893978,2.13877,-1.58945
5.96286,0.216054,2.12234,-1.58225
5.60986,0.545594,2.15424,-1.60379
6.21907,-0.0636636,2.16406,-1.5258
6.00034,0.147257,2.13109,-1.54929
6.17373,-0.0376629,2.10918,-1.58356
6.43402,-0.296371,2.13879,-1.60091
5.67922,0.478945,2.1258,-1.5849
5.38681,0.782673,2.11992,-1.62461
5.40904,0.759877,2.10015,-1.60377
5.92102,0.256886,2.10082,-1.59541
5.42617,0.73662,2.11729,-1.6328
4.43231,1.73203,2.13584,-1.56605
4.69504,1.45714,2.13764,-1.55534
5.27493,0.875078,2.13734,-1.57082
5.12384,1.03932,2.1202,-1.57531
5.26069,0.905903,2.15587,-1.59497
5.36951,0.761194,2.15077,-1.61323
5.6548,0.491759,2.16616,-1.61822
5.27,0.864373,2.1275,-1.63619
5.54305,0.596693,2.12177,-1.63498
4.96224,1.19579,2.12551,-1.62377
5.25113,0.894137,2.1459,-1.60986
5.25119,0.894062,2.1461,-1.61015
5.06804,1.06929,2.14268,-1.62564
5.24507,0.875388,2.08106,-1.59469
5.83303,0.290794,2.10487,-1.5648
5.08427,1.01141,2.14238,-1.60282
5.4266,0.663713,2.12177,-1.61522
5.03996,1.09484,2.10852,-1.60965
5.23607,0.893389,2.08946,-1.60703
4.91679,1.19734,2.16824,-1.59174
4.88509,1.26372,2.09572,-1.5834
5.10315,1.04339,2.13291,-1.62322
5.36167,0.791167,2.11627,-1.63211
5.13739,1.00475,2.12717,-1.58038
4.93881,1.20365,2.12876,-1.59675
4.38083,1.7715,2.13634,-1.57869
6.36153,-0.222169,2.15145,-1.59265
6.53844,-0.436362,2.18746,-1.59951
5.59624,0.579791,2.18737,-1.5785
5.57135,0.571478,2.18664,-1.57826
5.60985,0.504144,2.17661,-1.57553
6.25831,-0.132673,2.14059,-1.61592
6.23671,-0.16712,2.14085,-1.61648
6.41702,-0.290247,2.13432,-1.59925
6.15686,-0.0352589,2.16411,-1.57234
5.91001,0.154483,2.18852,-1.64876
5.9592,0.112132,2.18733,-1.65036
5.9019,0.205933,2.19121,-1.64479
5.36715,0.736046,2.11284,-1.57498
4.89626,1.18088,2.11778,-1.6396
5.03406,1.06371,2.13575,-1.64447
5.19238,0.872325,2.12099,-1.64214
5.61828,0.467426,2.16595,-1.58854
6.08876,-0.0038267,2.09862,-1.56243
6.15534,-0.0689042,2.11107,-1.58129
5.66383,0.441816,2.16102,-1.58962
5.42011,0.673328,2.15736,-1.55219
5.79946,0.295381,2.1814,-1.62136
5.97517,0.113435,2.17883,-1.58895
6.19617,-0.0937146,2.17811,-1.513
6.50958,-0.381822,2.21722,-1.53691
5.86039,0.283095,2.06572,-1.63351
5.60805,0.532675,2.10071,-1.55503
5.65676,0.49579,2.10436,-1.57005
5.67609,0.509956,2.18771,-1.62117
4.35753,1.82166,2.07428,-1.57339
5.70805,0.439767,2.13757,-1.6207
6.10464,0.0649238,2.1477,-1.62556
5.42991,0.723465,2.15468,-1.53099
4.71419,1.44113,2.208,-1.59936
4.79583,1.3538,2.12682,-1.61082
6.40898,-0.27019,2.12723,-1.60066
6.46957,-0.273185,2.12334,-1.60602
6.44387,-0.268215,2.12418,-1.60506
6.2695,-0.118123,2.13564,-1.60944
6.63255,-0.448151,2.12861,-1.56254
6.03177,0.153584,2.06969,-1.56648
6.09191,0.117382,2.11993,-1.66833
5.79199,0.40293,2.13654,-1.64467
5.55502,0.637346,2.11063,-1.60823
5.20311,0.982592,2.13982,-1.61819
5.34126,0.838148,2.15661,-1.62334
6.44154,-0.28508,2.12654,-1.60709
6.49476,-0.315271,2.12877,-1.60816
6.73871,-0.548724,2.12962,-1.59755
6.69126,-0.49677,2.12917,-1.59621
4.88759,1.29566,2.16863,-1.61113
5.95737,0.208877,2.10207,-1.6026
5.26825,0.943526,2.09789,-1.6045
7.46134,-1.26995,2.11945,-1.58075
5.3654,0.798974,2.10058,-1.56329
5.91566,0.251706,2.09687,-1.5962
6.17315,0.0150397,2.13969,-1.58937
6.38131,-0.194118,2.13501,-1.59134
6.35763,-0.139803,2.15584,-1.53859
4.60908,1.58484,2.12444,-1.65442
