qu0,qu0025,qu005,qu095,qu0975,qu1,id,time
1.27911153012487,1.72457024933643,1.78923678468102,2.46152973027123,2.52555611474977,2.88900508399682,1,0
4.26150202450142,5.01765518937701,5.10663637628351,5.95735715761838,6.03694314848759,6.52932666182589,1,0.5
5.0249508865746,5.57208290942776,5.65150540669407,6.46633268351794,6.5461618003913,6.99186117999191,1,1
5.2093008437483,5.83350871211809,5.9152186008841,6.71145422397329,6.78981593397013,7.33354230681157,1,1.5
5.45238684567499,5.98503271167719,6.06389663435848,6.85894010312636,6.93230575491495,7.46411529423682,1,2
5.37270613882429,6.06914957413599,6.14784778203852,6.94849859956656,7.02287989415041,7.52192495864046,1,2.5
5.45328043920922,6.11727505046575,6.1951259735808,6.99916684836841,7.07200491010711,7.71609236903838,1,3
5.41029117056264,6.14448725294689,6.22066363857812,7.03019895187151,7.10776489569403,7.57473627437864,1,3.5
5.51235648116635,6.15076359744369,6.23210956486643,7.05083377665344,7.12822305426211,7.6262713461282,1,4
5.61256734837945,6.14403440664149,6.22754224044206,7.05668420797298,7.13348490780293,7.66460760167142,1,4.5
5.53303173868867,6.13883768483453,6.22099620351249,7.05481319594976,7.13240288415028,7.63501214708332,1,5
5.58955506467405,6.12404058012027,6.20992374206049,7.04600837771549,7.12498598013445,7.70680699023696,1,5.5
5.44227919920902,6.10867074932196,6.1954749380188,7.03850105491927,7.12051239379957,7.70067924188022,1,6
5.4310844059721,6.08418185317521,6.16658354103299,7.01846689120655,7.09924127348696,7.65709316465069,1,6.5
5.44683391651741,6.06526269850578,6.14688935468422,6.9996500462564,7.07685375901398,7.6244772383164,1,7
5.47139815371635,6.04284379135462,6.12119180126124,6.98223120502394,7.06067321440204,7.6810773526099,1,7.5
5.36899461889126,6.01285794477414,6.09473089445363,6.95921804793822,7.04129633652689,7.83098242608258,1,8
5.29539040733256,5.98209582614492,6.06949975004509,6.93849753386437,7.02211381215129,7.60173910432796,1,8.5
5.26518797941901,5.9474936097348,6.03614575155705,6.91451197054083,7.00116883773183,7.58079046479922,1,9
5.32817783745712,5.92487347903444,6.00946143104989,6.88901204142824,6.9707584405967,7.51169885783748,1,9.5
5.2526674457868,5.89028130985288,5.97958241433436,6.86210983999402,6.94619751634462,7.69624125235861,1,10
5.25162882712092,5.86451806243355,5.95124719602524,6.83542063019395,6.92224427149062,7.48418861941751,1,10.5
5.17561464540832,5.84037086837981,5.92869364415444,6.81099294374676,6.89294284208929,7.61723689153254,1,11
5.13324775214342,5.80965795532601,5.8917492921947,6.78798658403968,6.87500117482029,7.63871815079915,1,11.5
5.01678607960799,5.76902251413684,5.85998695989499,6.76367985312747,6.84553396910279,7.48875257490524,1,12
5.05545295124372,5.74505079013313,5.83482789563525,6.73434528365717,6.81953923939625,7.43106368851858,1,12.5
5.15047709467266,5.71557011865558,5.80375393203384,6.70726404375243,6.79304044790399,7.39261294998319,1,13
4.73946022116628,5.67836699139814,5.76881770903005,6.67965002683901,6.76397345103279,7.61572129561505,1,13.5
5.08482680898233,5.648762983953,5.73641009529887,6.65235344800253,6.73718004927123,7.50538785474355,1,14
4.92092984843091,5.61653780557776,5.70891007504115,6.62938850463878,6.72053597784384,7.53583488687236,1,14.5
5.01618009255308,5.57698063001312,5.67306273965106,6.60376368136734,6.68991934323991,7.3836720566655,1,15
4.83208266942431,5.55218396853634,5.64442944007321,6.57464562908159,6.66496647757101,7.28390893272175,1,15.5
4.84039752243927,5.51241144992374,5.60634067216178,6.54954754966643,6.63352687263726,7.26048256712591,1,16
4.68451953871728,5.48109067620076,5.5793075114545,6.52459842996907,6.61245585362098,7.44027727978812,1,16.5
4.473207182906,5.44631058243875,5.54401043040726,6.49822452044742,6.5858445457363,7.37434717176636,1,17
4.74676238160117,5.40700295491817,5.50475541360157,6.46876762398322,6.55649623695893,7.17885081343682,1,17.5
4.54261334402002,5.37952952261038,5.47993059537482,6.44995194640548,6.53840430360182,7.07642678219158,1,18
4.49083270286329,5.3412241560901,5.44425044755161,6.42176824671929,6.50835392768217,7.06437122225801,1,18.5
4.5413443450224,5.31022438219423,5.41174044822233,6.39873547005366,6.49030780651205,7.15253376733338,1,19
4.38070640938191,5.26833484026043,5.37118931788713,6.36776402005779,6.45908097458159,7.34530245632297,1,19.5
4.45502263933936,5.23060594283857,5.34089948201758,6.34752451213505,6.43636914198304,7.10711635785361,1,20
4.28197437324496,5.20300035354429,5.30714537202683,6.32184083180923,6.41442030286984,7.04761779617656,1,20.5
