K,seconds
2,9.26252579689026
3,25.743515253067
4,43.0550694465637
5,84.8443648815155
6,134.476139783859
7,164.248752593994
8,224.298384904861
9,277.723357439041
10,348.00917506218
11,413.723309993744
12,503.182015895844
