K,BIC
2,7960135.36288783
3,7528667.87916131
4,7507046.60003933
5,7037055.16073744
6,6973359.45698375
7,6997705.7525155
8,6957385.41422259
9,6910967.6569851
10,6880834.7109175
11,6952659.63084808
12,6893061.00895103
