kappa1,kappa2,kappa3,xi1
5.58638,0.5663,2.13002,-1.58276
5.55209,0.601469,2.14663,-1.52841
5.88064,0.300722,2.10391,-1.54336
5.71418,0.466159,2.11192,-1.53701
5.69048,0.481645,2.19744,-1.58072
5.6443,0.48949,2.1108,-1.71053
5.67655,0.517385,2.11003,-1.70927
5.7052,0.481481,2.11792,-1.71697
5.93749,0.245489,2.12444,-1.66611
5.46887,0.704341,2.05692,-1.6027
5.39248,0.778859,2.08116,-1.59886
5.7783,0.396077,2.16044,-1.7036
5.29118,0.897217,2.12803,-1.63521
5.24523,0.914664,2.12841,-1.63052
5.32771,0.851747,2.14989,-1.57711
5.24173,0.922045,2.14233,-1.69566
5.13705,1.01823,2.14851,-1.67396
5.10605,1.04842,2.1346,-1.70784
5.2081,0.952672,2.16272,-1.69113
5.06021,1.10394,2.0877,-1.6561
5.03654,1.10417,2.09117,-1.65224
4.87838,1.24707,2.16374,-1.64714
5.65099,0.473392,2.13533,-1.68553
5.11421,1.02902,2.12833,-1.7135
4.69009,1.44771,2.107,-1.61743
4.80574,1.31911,2.13037,-1.62591
4.92884,1.17153,2.12653,-1.63807
4.9978,1.13334,2.12343,-1.62877
5.19251,0.913933,2.13346,-1.57896
5.76987,0.335238,2.10082,-1.58467
5.54798,0.56399,2.08433,-1.57234
5.53571,0.543395,2.08416,-1.57318
5.5508,0.56226,2.08459,-1.5739
5.59794,0.545756,2.09936,-1.5876
5.61513,0.521984,2.09852,-1.57362
5.57138,0.562694,2.0915,-1.57553
5.91992,0.190499,2.17403,-1.59875
5.66279,0.45893,2.1161,-1.58552
5.64606,0.457449,2.116,-1.5861
5.58495,0.50749,2.13863,-1.58471
5.27962,0.816417,2.14503,-1.67057
4.94158,1.16575,2.11169,-1.55731
4.39327,1.70606,2.14908,-1.67505
4.71171,1.4108,2.1456,-1.69321
4.95497,1.14507,2.12639,-1.57893
5.0563,1.04953,2.11369,-1.53744
5.53529,0.565995,2.16522,-1.65748
5.56066,0.529753,2.1542,-1.63072
5.3014,0.793629,2.16904,-1.54805
5.43946,0.646367,2.15221,-1.60573
5.25511,0.833436,2.07829,-1.67566
5.6008,0.492296,2.08537,-1.69196
5.52154,0.553822,2.07881,-1.62348
5.53654,0.562122,2.09726,-1.67583
5.74377,0.383004,2.13315,-1.60358
5.60798,0.544924,2.12295,-1.62094
5.68389,0.43835,2.11063,-1.61085
4.67284,1.4624,2.13141,-1.54086
4.69863,1.45783,2.10118,-1.54543
5.30919,0.854737,2.1182,-1.52939
4.94714,1.22604,2.12908,-1.59618
4.57797,1.57339,2.06999,-1.59374
4.73682,1.45764,2.09864,-1.59168
5.26517,0.924497,2.13699,-1.50309
4.18968,1.98938,2.11076,-1.59493
4.7745,1.38574,2.11867,-1.61034
4.71319,1.46628,2.11936,-1.64655
4.64243,1.51216,2.12819,-1.66904
5.02655,1.11219,2.16941,-1.68465
4.81752,1.33944,2.15475,-1.65884
5.35254,0.791435,2.06309,-1.60551
5.80825,0.324351,2.15953,-1.47928
5.79531,0.316548,2.16915,-1.52845
5.73033,0.331081,2.16491,-1.51914
5.71659,0.381406,2.16903,-1.50613
5.72999,0.390034,2.16915,-1.50663
5.69162,0.428073,2.16771,-1.48488
5.68915,0.429188,2.15709,-1.50864
4.44353,1.71147,2.14134,-1.66902
6.13358,-0.0168384,2.12481,-1.63177
6.24875,-0.113287,2.11762,-1.59187
4.47381,1.66556,2.16833,-1.60896
4.53999,1.61891,2.16797,-1.61815
4.8018,1.35192,2.20493,-1.63845
4.20011,1.94818,2.15707,-1.61752
4.11518,2.01866,2.15431,-1.58834
4.13653,2.00865,2.158,-1.58532
4.52342,1.60823,2.10378,-1.60793
4.41246,1.7252,2.11714,-1.67079
5.30163,0.817546,2.14001,-1.63251
5.29862,0.832922,2.12961,-1.69188
5.12752,0.960745,2.13626,-1.70262
4.6105,1.47652,2.16822,-1.57262
4.6105,1.47652,2.16822,-1.57262
4.6385,1.44223,2.12508,-1.62123
5.04038,1.03635,2.10681,-1.56631
5.09248,0.991422,2.10229,-1.53565
5.22513,0.859718,2.11629,-1.54523
4.56488,1.4871,2.12767,-1.58552
5.28467,0.774958,2.11081,-1.52411
4.90028,1.1569,2.11048,-1.57045
4.894,1.19,2.11362,-1.56974
5.42491,0.649348,2.1076,-1.67314
5.53511,0.514408,2.11548,-1.63687
5.18027,0.877239,2.08527,-1.67047
4.6322,1.43976,2.08597,-1.66218
6.75783,-0.683173,2.16915,-1.60653
6.67202,-0.590749,2.17073,-1.6697
5.7987,0.287346,2.13919,-1.49133
5.47301,0.606431,2.14575,-1.68258
4.75516,1.31181,2.16328,-1.6632
4.65253,1.42589,2.14369,-1.58809
4.98422,1.0743,2.17767,-1.5109
4.99391,1.07674,2.17697,-1.51226
4.68085,1.36567,2.15156,-1.54258
4.52567,1.53401,2.15168,-1.57649
4.68237,1.37981,2.14154,-1.59498
4.8261,1.23515,2.1559,-1.63873
4.52135,1.53099,2.1664,-1.66161
4.31896,1.74404,2.1456,-1.68212
5.20704,0.848332,2.17527,-1.53637
4.60261,1.45203,2.12919,-1.52972
4.86448,1.19297,2.13352,-1.5373
5.19078,0.866615,2.11588,-1.6426
5.09777,0.950384,2.13121,-1.50184
5.0822,0.966462,2.1208,-1.50551
4.79696,1.22493,2.15416,-1.65474
4.98949,1.02032,2.11601,-1.61126
4.95847,1.06539,2.16276,-1.59833
4.99432,1.01966,2.13882,-1.61106
4.64722,1.3614,2.13759,-1.64584
4.62767,1.3594,2.1079,-1.67721
4.85479,1.14104,2.13176,-1.63897
4.86396,1.14044,2.12573,-1.63829
4.89793,1.10212,2.12354,-1.59641
4.94219,1.07431,2.12355,-1.58094
5.24719,0.766153,2.15087,-1.63443
5.26648,0.777901,2.15085,-1.63394
5.2582,0.747543,2.12094,-1.696
5.11739,0.888712,2.19441,-1.62082
5.00358,1.00232,2.19698,-1.60894
5.00931,1.01728,2.19689,-1.60883
4.8847,1.1502,2.21219,-1.60221
6.46035,-0.43557,2.04525,-1.58895
6.47073,-0.423813,2.04509,-1.59112
6.45591,-0.43189,2.03552,-1.60099
6.78921,-0.781465,2.05317,-1.60371
7.28575,-1.26283,2.12714,-1.7206
7.45664,-1.41911,2.09793,-1.63247
6.79508,-0.749969,2.07737,-1.62945
6.29602,-0.268818,2.11176,-1.6266
4.85153,1.18108,2.13663,-1.50296
4.87086,1.18694,2.13023,-1.50417
4.73786,1.31394,2.14558,-1.55115
5.47246,0.578735,2.11912,-1.55956
5.34311,0.746169,2.14052,-1.67246
6.4456,-0.363667,2.11892,-1.60314
6.42144,-0.391657,2.11957,-1.60476
6.56252,-0.50922,2.16028,-1.60414
6.58541,-0.511817,2.18029,-1.62529
6.01841,0.0506755,2.08878,-1.61413
6.36388,-0.303788,2.12381,-1.6855
6.3934,-0.339219,2.12898,-1.72255
6.35523,-0.290552,2.11095,-1.65216
6.21934,-0.145187,2.10238,-1.64234
6.23815,-0.183138,2.0923,-1.65842
5.72926,0.321928,2.1303,-1.69416
5.1079,0.949666,2.09845,-1.56226
5.08292,0.967671,2.10985,-1.58988
5.26789,0.761705,2.17967,-1.69907
5.44376,0.598434,2.14524,-1.6984
5.44545,0.584437,2.14978,-1.69298
5.42818,0.589685,2.15154,-1.70299
5.43055,0.596992,2.15223,-1.70129
5.2914,0.747043,2.12578,-1.70171
5.24293,0.792126,2.13762,-1.56915
5.44109,0.60585,2.08086,-1.68743
4.82387,1.2056,2.1897,-1.53939
5.02699,1.01191,2.18879,-1.58285
5.61495,0.425166,2.12749,-1.56607
5.82409,0.210002,2.14357,-1.53857
5.97459,0.0793279,2.15138,-1.49891
4.91817,1.13976,2.13183,-1.61253
4.9032,1.12373,2.13157,-1.6136
4.89315,1.12423,2.1324,-1.61489
5.44855,0.611391,2.18962,-1.59858
5.15191,0.894388,2.17248,-1.59512
5.11059,0.958089,2.15411,-1.60642
4.80204,1.23369,2.16077,-1.59304
4.79288,1.22804,2.16086,-1.59332
4.64376,1.39829,2.17171,-1.64299
4.76433,1.27755,2.15055,-1.65784
5.57619,0.456365,2.15186,-1.58752
