qu0,qu0025,qu005,qu095,qu0975,qu1,id,time
1.31977739738965,1.72391224817961,1.78784325526634,2.46184332185554,2.5262478439299,2.91026930637121,1,0
4.41210116324984,5.01889939804861,5.10448793074885,5.95643751303609,6.03576645430996,6.59389145140241,1,0.5
4.97644360833436,5.56765000280052,5.64959257236625,6.4673353455588,6.54358709807513,7.17035211335298,1,1
5.32924447396099,5.82743343210735,5.90886356067427,6.71108719507123,6.78776478375367,7.48586471539587,1,1.5
5.3893945616111,5.98069317422235,6.05637018482808,6.85345807855836,6.92804986770747,7.45598086794622,1,2
5.50064324431118,6.06200580964095,6.14080174643961,6.94589798535269,7.02224442734925,7.68635869072767,1,2.5
5.51972894016351,6.11593096107775,6.19319556434538,6.99581271680429,7.07134797718668,7.72375890995753,1,3
5.41095164853216,6.13474454649293,6.21685255397835,7.0276499267206,7.10560280788392,7.6372943436398,1,3.5
5.50640276494352,6.14534537680706,6.22748896671218,7.04680021688867,7.12636397366574,7.60142487581415,1,4
5.4324107799837,6.13681859377394,6.22434953042797,7.0511190601834,7.13006085364396,7.68109643054734,1,4.5
5.3847791477733,6.13812508591415,6.21801559384009,7.05265145538384,7.13298509192793,7.65479750369773,1,5
5.58627925812359,6.12273218148237,6.20543216770309,7.0439008697479,7.12021270819393,7.81950201055471,1,5.5
5.58928703184841,6.10192948490907,6.18400552273355,7.03351599715514,7.11903979620937,7.73623723093954,1,6
5.50036233214954,6.07800677076892,6.16352282855767,7.01733408860395,7.10079134427227,7.61741996723667,1,6.5
5.52677629918673,6.05495353931356,6.14046171713308,7.00049518581975,7.08112237982133,7.70772940712093,1,7
5.3703784705046,6.033002714526,6.11622866894997,6.98284911824754,7.0668754170453,7.5520003559645,1,7.5
5.21164502215851,6.00281427590754,6.08680781352043,6.95561513911595,7.036963150862,7.69496508000973,1,8
5.41498016047927,5.98386893205742,6.06598719597342,6.93440616252122,7.02054832089692,7.54902347463994,1,8.5
5.32427048883829,5.95134020658963,6.03437999717991,6.91284155021135,6.99982227478634,7.73269438943814,1,9
5.25492481082402,5.92050351102028,6.00908226349603,6.89013157063679,6.97246421167671,7.55954850300562,1,9.5
5.09038491500609,5.88854943891316,5.97707157920982,6.8592485021543,6.94451569199333,7.63810374371465,1,10
5.10109694354232,5.86020263546376,5.94869958931765,6.83425796306888,6.92238738599759,7.57112387875066,1,10.5
5.28975705553963,5.83595443903388,5.9225030751639,6.81160588423422,6.89430513456104,7.52023795353221,1,11
4.95728241747201,5.80093755385856,5.88765091546787,6.78769052575957,6.87320266729569,7.4660422646951,1,11.5
5.13425909343003,5.76844574146315,5.85507614291258,6.75722789965574,6.84552609422403,7.57288147879572,1,12
5.07040588979343,5.74276818914787,5.83330096291709,6.73165107091497,6.81732968982323,7.59232644066345,1,12.5
5.0422074385538,5.71182399177935,5.79878975343493,6.70743583429269,6.79591303820673,7.42252290937349,1,13
5.02762966753294,5.67969045432206,5.7669345669391,6.68060536545738,6.76524761652102,7.36534626665444,1,13.5
5.02995915202902,5.64391546997191,5.73534535625298,6.65887659755511,6.74565480730989,7.43214062984692,1,14
4.86492549378039,5.61446692711283,5.70228874722966,6.62816596305826,6.71505567469042,7.40478280721056,1,14.5
4.74115131673853,5.58614984510014,5.67395964453653,6.60045074882054,6.68557240778356,7.29128391414488,1,15
4.80545944187664,5.55099496932374,5.64307641745349,6.57670971015051,6.66425506023272,7.27185201094898,1,15.5
4.78179218711519,5.51657405370864,5.60841002494673,6.54920108682803,6.64147052593866,7.39947014035001,1,16
4.64753758816999,5.48617905916271,5.5812124456843,6.52355618074451,6.61340671064733,7.33861734866429,1,16.5
4.67811599116391,5.44873611858854,5.54680904680018,6.49582872165245,6.58692139975192,7.20733546818209,1,17
4.56845422077736,5.41260264383957,5.51142028699747,6.47367799935634,6.565404270959,7.13973741766921,1,17.5
4.64341064737427,5.3791851169153,5.47870983873394,6.4466673707096,6.54035125739903,7.20823490819533,1,18
4.58615328140905,5.34609254867522,5.44162259021878,6.41927957321593,6.50987851666156,7.13123019518449,1,18.5
4.47401417231013,5.31358535351347,5.41501730517594,6.39521507217083,6.48766085514627,7.32410039004862,1,19
4.34066709679317,5.2730560580276,5.37653685327671,6.36845468345737,6.45707405765838,7.10877950950788,1,19.5
4.14554613968363,5.24367983361325,5.34666976677189,6.34386946867022,6.43444352037044,6.97751639699614,1,20
4.43236592643213,5.20443936821779,5.31152754053657,6.3177746441619,6.41250606906526,7.06978610001404,1,20.5
4.25957534647942,5.16934811636484,5.27702611499198,6.30064648212463,6.39384595775052,7.07429899019551,1,21
4.35630599597384,5.13846646622549,5.24638170087614,6.26952481393767,6.36420143692228,6.96178680647518,1,21.5
4.20587381957697,5.10450064804687,5.20820716002154,6.24522617394124,6.34109873154843,7.07897678445558,1,22
