kappa1,kappa2,kappa3,xi1
4.25308,2.00253,2.13377,-1.61878
4.31971,1.94152,2.15662,-1.6126
4.24439,2.00433,2.15699,-1.61556
4.64322,1.60234,2.14641,-1.53518
5.71777,0.519603,2.12641,-1.56119
4.76008,1.48224,2.10632,-1.59407
5.96238,0.275386,2.0822,-1.61818
6.13783,0.0985969,2.17988,-1.6565
6.12971,0.105161,2.17964,-1.65673
6.12583,0.110208,2.17955,-1.6552
6.26063,-0.037675,2.1933,-1.65459
5.40204,0.816558,2.13876,-1.64726
5.40856,0.812065,2.08412,-1.66035
5.54244,0.669501,2.1844,-1.61909
5.61879,0.600011,2.18186,-1.64284
5.83828,0.386575,2.15258,-1.5617
6.08209,0.125275,2.18335,-1.56453
5.81447,0.392558,2.15326,-1.51504
5.30582,0.917205,2.15842,-1.63264
5.33722,0.852309,2.16144,-1.63025
5.31573,0.875438,2.15348,-1.57884
5.58935,0.540597,2.10003,-1.54916
5.46143,0.697118,2.11565,-1.54392
5.69532,0.46924,2.13614,-1.55192
5.74664,0.420138,2.09886,-1.63598
5.71203,0.455298,2.09917,-1.62343
5.32021,0.847324,2.08988,-1.59519
5.63482,0.53029,2.08137,-1.57327
5.05209,1.15806,2.08435,-1.53517
5.00473,1.20407,2.07403,-1.57088
5.10556,1.09381,2.16294,-1.66156
5.74001,0.470291,2.12621,-1.60839
5.79362,0.42242,2.14663,-1.66181
4.56323,1.65654,2.1329,-1.55918
4.30256,1.92027,2.1764,-1.64399
4.93222,1.2792,2.16506,-1.53291
4.99596,1.22391,2.1648,-1.53631
4.8908,1.34359,2.16438,-1.67727
4.88275,1.33169,2.16427,-1.67718
4.92498,1.31984,2.16941,-1.66077
4.50645,1.69569,2.10505,-1.57287
5.26759,0.93631,2.12355,-1.55996
5.27638,0.939058,2.12409,-1.56057
5.33805,0.840159,2.13551,-1.54532
4.64632,1.53875,2.16127,-1.57737
4.56862,1.59961,2.16049,-1.58056
4.28123,1.8759,2.17851,-1.6131
5.1938,0.965156,2.12499,-1.5415
5.18824,0.9743,2.17108,-1.57846
5.19868,0.984784,2.1706,-1.57896
5.41696,0.766543,2.18496,-1.58044
5.40207,0.764198,2.18972,-1.58062
5.35308,0.817962,2.12177,-1.60885
5.45232,0.704509,2.11551,-1.59036
4.8987,1.25797,2.15242,-1.53841
4.99072,1.17276,2.14224,-1.58047
4.97464,1.1933,2.11583,-1.59649
4.90185,1.2563,2.06196,-1.63937
4.80843,1.34803,2.07459,-1.61508
4.90597,1.24674,2.11513,-1.5567
5.237,0.942453,2.17912,-1.54912
5.21981,0.949289,2.17917,-1.5483
4.26304,1.86584,2.18214,-1.65003
4.79778,1.37702,2.16873,-1.62186
5.8974,0.291856,2.08307,-1.63018
6.46029,-0.284518,2.10474,-1.65013
5.70059,0.47841,2.09961,-1.56478
5.87073,0.30408,2.13005,-1.66176
5.69074,0.498402,2.11628,-1.61304
5.29773,0.900763,2.09728,-1.62195
5.36878,0.832011,2.10747,-1.56465
5.46338,0.74489,2.11154,-1.60298
5.3082,0.89764,2.12258,-1.62443
5.80067,0.401485,2.14754,-1.59799
6.0012,0.20009,2.16272,-1.54674
5.75881,0.42979,2.13877,-1.60444
5.68294,0.498338,2.11476,-1.61831
4.88335,1.31387,2.15494,-1.62948
5.86379,0.330306,2.11258,-1.56897
5.87909,0.322004,2.11559,-1.56989
5.7757,0.400183,2.16707,-1.5578
5.44091,0.729132,2.17093,-1.57582
5.3284,0.855686,2.17066,-1.52876
5.31715,0.84717,2.17069,-1.52832
5.59942,0.563936,2.12155,-1.56872
6.07858,0.0809691,2.14593,-1.59057
5.74068,0.423407,2.15615,-1.53234
5.97279,0.18337,2.17612,-1.55342
5.17239,0.998394,2.12817,-1.61513
5.16814,0.991752,2.12767,-1.61532
5.02104,1.13335,2.12719,-1.59461
5.09605,1.06245,2.12837,-1.63377
4.83437,1.32413,2.14411,-1.66359
5.33293,0.833602,2.17533,-1.64978
5.14566,1.0206,2.15403,-1.65951
5.58726,0.587212,2.16451,-1.60286
5.58783,0.593663,2.09636,-1.53709
5.51817,0.655073,2.08837,-1.54262
5.2336,0.939987,2.17742,-1.53269
4.6796,1.49389,2.08605,-1.60016
4.77263,1.38062,2.12488,-1.59909
4.69067,1.47687,2.13522,-1.61104
4.38968,1.79774,2.1352,-1.58956
5.09399,1.05792,2.09997,-1.55616
5.06803,1.10168,2.1006,-1.55766
3.75953,2.41977,2.09483,-1.56478
5.85977,0.303872,2.17595,-1.62405
5.15471,1.02492,2.06514,-1.64908
5.63695,0.54099,2.0881,-1.58946
5.28071,0.916098,2.14823,-1.61704
4.8635,1.3339,2.13238,-1.65851
5.27089,0.914709,2.16339,-1.66823
5.27594,0.89117,2.15434,-1.67357
6.17921,-0.0210934,2.16217,-1.57971
6.17835,-0.0385019,2.16191,-1.57954
5.18636,1.00247,2.14396,-1.64526
5.76301,0.426113,2.13784,-1.65631
5.16098,1.03169,2.12089,-1.64622
5.71724,0.477234,2.12831,-1.65481
5.58943,0.557424,2.12699,-1.66987
5.66199,0.528495,2.1306,-1.66636
5.51922,0.668676,2.13136,-1.64731
