mu1,mu2,mu3,tau1,tau2,tau3
-0.630553846792083,-2.98196083598401,0.317395885081528,8.99435929676491,7.91773591594298,16.1605734171072
-0.562626452991844,-2.95339839110046,0.298114731338112,7.65851440157875,6.95059552599829,6.93601149859247
-0.707362061890302,-2.90232818112805,0.350035992354037,5.51814501292238,8.90434523655136,14.3926858856903
-0.620532901650684,-2.87242612158795,0.386515662789793,8.9219460156443,8.17970313453959,9.55983220966436
-0.666678000590593,-2.89586350722043,0.295258184131102,6.42829096531034,7.52546629347494,12.2209446926234
-0.563353838493721,-2.91236988096914,0.376516870137517,8.58970453027158,6.74376060547991,10.0496255155925
-0.680168740420011,-2.81394441881855,0.224681029732534,7.64843741051908,8.32453105967895,7.76233191802565
-0.729714207277877,-2.86306131627739,0.281315362809592,8.39272351143307,5.73233245072688,12.0886061617334
-0.625660151545506,-2.8380127735513,0.26753433935224,8.64695815708059,8.6606454894429,15.7086083536069
-0.726050562059814,-2.85021588813668,0.260855965746258,5.44534185715917,6.9126755729133,10.410291146053
-0.764395858296992,-2.8925580721738,0.259130126277215,9.0305158598019,9.24553736221815,16.7868182556162
-0.579972883963192,-2.91225242737771,0.305427413685641,5.83474903954129,7.97790255296351,12.4559809799823
-0.658962778538442,-2.92682071859345,0.249499657944143,7.89347863779264,13.912439239867,13.6436398346172
-0.666563991404489,-2.83683008413174,0.293939275998258,8.2982683013042,14.1371035924412,11.2786139203443
-0.693846543933836,-2.83033035434552,0.346961742756371,8.86301242543641,9.61433492925451,14.4311574957908
-0.723266462958079,-2.93352171251943,0.301571584757376,10.7498839585411,7.40586036148044,6.80308430221036
-0.76273170794288,-2.93935602058167,0.391709262705248,9.55195734483571,8.4863133209452,8.53272605665727
-0.636460903724131,-2.85303736450513,0.227732702794117,9.14059398132892,4.99200472282273,8.06538733059996
-0.747866555500383,-2.87588327396795,0.332096675978128,11.4765445339417,9.92041917579418,10.5670911759399
-0.617866703793364,-2.93256278848236,0.258536430599703,7.28762506085866,10.2390828752117,9.68122351020942
-0.761393927149943,-2.79679477355946,0.293923414672867,9.537896728056,8.02827440246363,10.8668825250394
-0.675570879655948,-2.89714855842954,0.297325463446138,11.3951074141007,10.4169820920968,9.87038686638396
-0.677390847452989,-3.0784255488438,0.341876073131694,5.4194528432601,5.20198785639383,15.0371015613759
-0.64550092857804,-2.9059055644003,0.403822309379271,8.16533624065971,10.3159472975443,11.141363620226
-0.630588022983424,-2.83719320426169,0.300162959188799,15.8182331947898,6.41549273988503,13.7228275530441
-0.598097473242891,-2.98189365031523,0.38964846383468,10.2846806294305,10.7459473241445,14.0027943555195
-0.558869078659183,-3.01276753109039,0.337738525885943,6.91162902230279,12.4139254506004,14.7074385675299
-0.721334918865012,-2.94224140141848,0.390328502355989,9.11869496102653,9.62255691004704,13.3450728873243
-0.673627027916766,-3.02075688801865,0.335535043235281,5.98467248380643,9.13392405418344,12.2874418538536
-0.56700323173206,-2.94231749637465,0.387179358867903,6.47497451648234,8.37212143386544,11.7997440531519
-0.607518239253183,-2.9623822482932,0.353985917828779,12.7299883395335,6.97951515218649,15.0026850272408
-0.590105161849492,-2.87248145992683,0.372064187414456,12.3167875201623,7.01001404332604,12.8121905280126
-0.646690916245181,-2.96156931507922,0.429844391269657,9.25638682064514,5.84640315156016,9.24004175719411
-0.538074070618187,-2.94667459600018,0.377042704043536,8.06370073341245,9.94712776131984,10.4687005144569
-0.626084972265461,-3.01384452981685,0.214945619769212,8.24103534236253,7.00526428083206,9.41031806422727
-0.647701609870557,-2.91810374314075,0.243234947360289,9.19742365628973,14.8625701366672,12.9523581045867
-0.658118139003262,-2.94512839365029,0.308542703713243,5.39324753278559,10.8425484602814,9.59704984901868
-0.617336865655276,-2.88954661673025,0.216049502200589,5.40031103851894,8.92661665891793,13.1858196136202
-0.686400446823055,-2.94794139260057,0.33980196330899,7.5435109206198,10.4533838431654,7.46893606752558
-0.637379571684081,-2.95907911603554,0.25965848639341,13.1052722939097,10.5881055920918,7.05666542539111
