qu0,qu0025,qu005,qu095,qu0975,qu1,time
1.06498057196951,1.72694016699612,1.79123985654195,2.46376240794134,2.52799492970214,3.16122247974546,0
3.39428845263767,4.97952840838708,5.09925409796081,6.23279946565119,6.34541402041022,7.41468373352584,0.5
4.43536927907393,5.52504222288228,5.64662591538536,6.76812641674238,6.88012326786302,8.02911679597162,1
4.41521505293514,5.78525952376005,5.91161573724868,7.03712081603124,7.14997811086773,8.20825094779055,1.5
4.67285287177963,5.92819993660651,6.06126866538578,7.1995235621164,7.31239178702015,8.5298452808969,2
4.09606653998357,6.00960059931979,6.14961928643472,7.30651121451881,7.41904460332413,8.45691540306145,2.5
4.69461599049982,6.05193958042015,6.19951552426451,7.37752197477264,7.49310519379555,8.64846914845696,3
4.63689161097075,6.07344473424964,6.22569576005545,7.42760273977156,7.54333645297917,8.73137108468017,3.5
4.89290428775105,6.07801608456721,6.2359520074202,7.46018887123361,7.57810081887258,8.81736174062983,4
4.65680753370621,6.07358172013548,6.23365433236987,7.48168492066365,7.60257402838096,8.61660824781515,4.5
4.8160043501162,6.0629786879393,6.22524929993741,7.49444392879585,7.61661181972286,8.94483039690877,5
4.31853621787642,6.04263144414853,6.20823530284492,7.50050788038332,7.62472907068713,9.02772819672835,5.5
4.57489560868614,6.02059542065523,6.18768694781688,7.50052060444556,7.62833777577664,9.05489927840809,6
4.48503893355012,5.99722471144024,6.16273130229791,7.49669575532225,7.62577113505007,9.26297391316219,6.5
4.62462290654639,5.97116829752292,6.13744262674945,7.48960640233836,7.62140460011738,8.7111342498077,7
4.33446672584865,5.94331367013827,6.10857342053115,7.47850692373646,7.61263011554596,9.18156950402699,7.5
4.31826002988611,5.91210101160985,6.07805217393144,7.46480499083143,7.60241539324586,8.98148391410302,8
4.21920565868704,5.87980977227549,6.04595946060632,7.45135948656968,7.59043966547376,8.97675802100351,8.5
4.36350878252311,5.84597926592585,6.01414471553178,7.43460662629015,7.57599507436634,9.30804931578782,9
4.08238902397519,5.8119703999815,5.98019138730375,7.41706026232354,7.56209734917016,9.19999616137467,9.5
4.07693479435241,5.77586734074164,5.94500311407895,7.39780635163284,7.54430908456315,9.26724840266215,10
4.12441605010901,5.7397042471831,5.91008150973728,7.37900926554816,7.52819235938646,8.85079863483136,10.5
3.801417092547,5.70142677179456,5.87445643317254,7.35918835801509,7.51080115423591,8.80785157135379,11
3.64895349838064,5.66538015033058,5.83936728007254,7.33744132116134,7.49066710402297,9.24966108175429,11.5
4.01376083690947,5.62553402611923,5.80273040893553,7.31605960506317,7.47233157768483,8.95512741300614,12
3.96099994032604,5.58820414487855,5.76567210469278,7.29505256767316,7.45253139183226,9.3416231418588,12.5
3.62252832622258,5.54711740003242,5.72942354398202,7.27292698349522,7.43371099702394,8.96888683705911,13
3.47826749874231,5.50784743858196,5.69193128633095,7.25124184052689,7.41374462993982,9.03539560633803,13.5
2.97051687394892,5.46723175635021,5.65461551010252,7.22942746587157,7.39292065114598,9.37145941966377,14
3.38268232194267,5.42545257991035,5.6173453521756,7.20701466031092,7.37202184886223,8.9877381272525,14.5
3.36248767427419,5.38590679280511,5.58174208047189,7.18348217690683,7.3518864500262,9.15635905569751,15
2.71861790306246,5.34471453630718,5.5438257969412,7.16171642254761,7.33100964611835,9.00280364529313,15.5
2.71378980768705,5.3013841897995,5.50601494712427,7.13833493557926,7.30988077748483,8.95318372174741,16
2.63735577175604,5.26131003701929,5.4697390536457,7.11571930371125,7.28774172878163,9.06683363979615,16.5
2.27728389104504,5.2167971195718,5.43125255537343,7.09450023648132,7.26829670637823,8.71591804188449,17
2.5350110619413,5.17532281753406,5.39372264956549,7.07094708560084,7.24701346252634,8.72451394848022,17.5
2.45268025102472,5.13178861114269,5.35618383275276,7.04969076252014,7.22701342445133,9.16245778776634,18
2.22072382568515,5.08681519071535,5.31732827462839,7.02682698527188,7.20490282316775,8.5010324341582,18.5
2.02537010050137,5.04434779046236,5.2799732001626,7.00460273995421,7.18486804462399,8.70834788553293,19
2.09134556416755,4.99998594852226,5.24271561340299,6.98200714697138,7.16375616470525,8.59059645017038,19.5
1.72167762277948,4.95589496154451,5.20478843997705,6.95977923012713,7.14231088241052,8.79194492512456,20
2.08638751166957,4.91027782033623,5.16566695042915,6.93779783598392,7.12270890412165,8.75629109979464,20.5
2.0145348273305,4.86392481261348,5.12823420646249,6.9153210288253,7.10154474683368,8.53177700029888,21
2.07134274345552,4.82067652666839,5.09033471479828,6.89421283877668,7.08088427621179,8.55634769298124,21.5
1.75407342960851,4.77301866028039,5.05093212607157,6.87182636329238,7.05896995212722,8.80396982768235,22
2.00160749844885,4.72600910207865,5.01356650431886,6.85052174513414,7.03952943989125,8.49181421425638,22.5
1.72799823151872,4.68017702631302,4.97484815409283,6.83012126944463,7.02022644118298,8.5006686653631,23
1.85651318148534,4.63358104700864,4.93544464060296,6.80793493229381,6.99829932972657,8.70526353755801,23.5
1.74363119520363,4.58476373344047,4.89580949119646,6.78558879286941,6.97858754561405,8.63747438045187,24
1.85108796299466,4.53765637739881,4.8569015249023,6.76395949510309,6.9564322594728,8.63537595071904,24.5
1.6895136701251,4.49151806801835,4.8183054586056,6.74357486792594,6.93844438790889,8.39452388605,25
1.83107392243956,4.44425028360537,4.77866545056155,6.72260814219415,6.91807519632915,8.55999786080189,25.5
1.79252467782441,4.39336933273089,4.73901035964182,6.70097669506155,6.89712589386478,8.40087749499706,26
1.75487148055371,4.34731866154556,4.70045399434568,6.68106482233015,6.87702475420766,8.31866729196252,26.5
1.6510050766524,4.29934896583479,4.66031852215648,6.65979707152748,6.85697626410352,8.11221740138513,27
1.61390431901059,4.24929911907363,4.62055784149885,6.63900543025215,6.83651258431792,8.41701118635463,27.5
1.55655305933738,4.20367689455457,4.57908694319577,6.61758668485527,6.81503329585343,8.51743803108531,28
1.56934585309051,4.15660153527836,4.5411405412674,6.59859475052647,6.79745444219672,8.26294202528188,28.5
1.45666443272997,4.10634672854515,4.50036511339643,6.57697433238532,6.77744104014622,8.30117789052123,29
1.61663781015132,4.05670624362052,4.45955741912736,6.55613816636264,6.75755540610957,8.43421438366202,29.5
1.66904204437992,4.01058833821279,4.41955068842789,6.5362348454039,6.73794321335798,8.12530207362588,30
