time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100
0,2.06164683817695,2.05836370846161,2.09807834325529,2.10552010876002,2.06974579272688,2.0779758759666,2.12748621457282,2.10059266751944,2.07385368496189,2.09740250685964,2.0825014947306,2.02990285352974,2.90723643866462,2.11064351612291,2.09820861216383,2.07441887722356,2.09659734391344,2.11276083069895,2.05610605825354,4.02983848335216,2.99701180458089,2.10825198255466,2.02387010731773,2.09751277563442,2.04245234479466,2.07139938167829,2.07049478578277,2.11660412061906,2.04170403704411,2.09756829358613,2.15072366762176,2.14114257918834,2.08450915157034,2.08321264238368,2.09169848707859,2.08398677460258,2.04970388705035,2.04311718818401,2.08066912653158,2.09351428128576,2.15557153940051,2.11454601212561,2.10111841194088,3.31934062265029,2.047823651143,2.09025810635361,2.10990613601493,2.10377236132426,2.08745849684099,2.08618527354881,2.0712848643169,2.08157601443235,2.02857355897096,2.05464462436766,2.0837866080856,2.114219508351,2.06325910226331,2.04738869358905,2.03714842097016,2.05017224177123,2.11415615473534,2.06735734188076,2.01234023959942,2.1459760131707,2.03334655580156,2.07919139065895,2.068329669486,2.06567142446881,2.14919107833266,4.66627485326666,2.0403743787186,2.10197068159216,2.07861684201104,2.1027901941258,2.04337600701466,2.14804964844307,2.1428333593266,2.12310280264413,2.08985902048765,2.06876551338849,2.09490263304085,2.09469819872385,2.1163095268674,2.11927530381829,2.04067088617257,2.0557897458955,2.10543509101741,2.11544241535375,2.04656762591521,5.01479872393728,2.07631855067317,2.02749310846269,2.07099413964376,3.3389945464117,2.10189580294204,2.07929628913507,2.10606367787817,2.10216188222082,2.09186478451187,2.09387457211339
0.508474576271186,2.09328662271551,2.06131554337121,4.3931176718794,4.77236892682309,2.06808724996581,2.08600185689071,3.84418319487774,2.03949553381042,4.60127474411928,2.02995174121899,2.06718239916855,2.10951229172768,5.53716144437019,2.04113615462024,5.84871699327286,2.08044227689397,4.4711281733569,5.73734006658033,3.98796952735976,6.13295315433868,5.45617924361518,2.05290668765152,2.10125885734949,2.12891195229101,5.18862999392832,2.21743965878243,4.49307414134457,4.52252278501352,4.17166741492025,2.03938158010646,3.38780438587651,2.09341650238368,5.13937764661623,3.47951081892832,2.89517318185547,2.10430315058131,4.97633426941125,2.06434788881213,4.98324844523945,4.21037026654541,2.05033354947027,5.15814435607819,4.22677464255605,5.54044804141889,2.06480112852196,5.16211010369505,4.85282694513163,4.90632183394624,5.84719903101012,2.0577338418357,2.14169545205252,5.34494852647108,2.07591896527864,2.13492032349278,5.24355684441496,4.02764606040667,5.83962707553864,2.09786757826481,5.11266332826046,4.44358200565613,4.94731192147715,5.23898376270729,4.95860384138953,5.24776579880272,4.75209026401687,3.75416472836511,5.67876453320425,3.54326262316157,5.63592501946697,6.02288722335739,2.08964162726064,4.90020132383303,5.53476841244753,4.74580747880022,5.80134003139803,4.96221980986814,3.91050871662164,5.6000750621713,4.13631340051051,2.06829030689411,4.74723996822614,2.09890667652837,2.10671083114387,5.14878373295755,4.81805449232042,2.10346445786522,4.45318268048458,2.10638418207872,5.62115079239837,5.98264052234781,2.11064289492004,3.41937687515153,2.09785729678312,5.60470390568604,4.04872362960013,4.84438988039141,5.25907430910418,2.07165892903362,2.07000650098038,5.17407261001837
1.01694915254237,5.26163547331604,5.55071252217034,5.93644054491013,5.97183827446097,2.09547896500317,5.66868977655288,5.68928071372418,3.07863778797696,5.74027926268465,5.53373800847521,5.10566667200298,4.83594145819401,6.06386947559413,4.61517807698215,6.62925622030896,2.05841311214322,6.04192641905378,6.30508076552285,5.39591242618633,6.61387481151622,5.8449027612303,5.62101475451569,4.41935016731867,2.08518324071573,5.81096651240649,5.11376569456174,5.76951391414236,5.87434001714836,5.77718700463376,3.90232500714529,5.42527860995125,5.2359093626716,6.03203452660413,6.10490968703603,5.6632131855721,5.74182490347916,5.84084614504331,4.01731964888347,5.94400924223769,5.79834571651054,5.45986970437187,6.0380508207058,6.04318364718975,6.13612918058956,2.09569434581151,5.94625013903912,5.9899573442689,5.88337217625468,6.63413617682813,5.0890257645395,5.89726619661636,5.91212320509507,6.13134317478703,4.49046124750503,6.27334461980341,5.92887323248574,6.41859765520896,6.00928985024184,5.97049101029963,6.07103576253592,5.55829076979802,6.00873859992948,5.78765667240572,6.06395663414042,5.82639355326465,5.36242969675981,6.39524563555051,5.88870231841365,6.25243261807604,6.61831514972891,5.49117859368618,6.15605728765023,6.3304583941224,5.53882525818703,6.34395437529043,5.82934367833122,5.74893569101491,6.40756721938776,5.61485895768503,5.52471093939492,6.03177951928364,4.99723934396076,4.57440590661958,6.1551439253429,5.46563954400083,5.69677571411934,5.69700742590388,4.9205227934259,6.4969713348731,6.35266216738118,5.42819548876434,5.08564182124068,4.26676623159336,5.99827075605465,5.42871512350501,5.84309980531864,5.90411146633438,4.94462064840667,4.92189988396824,5.91341999307067
1.52542372881356,6.04508298102415,6.06761856495037,6.48698805624208,6.39873797293916,4.90471202924864,6.26797532887657,6.08152817393292,5.75456786794788,6.23475824017091,6.23942173876424,5.49539693593424,5.79022710051713,6.29517750045443,5.32706048575589,7.01461656807438,4.24793467986122,6.49796124559426,6.6372099064535,5.81547122026116,6.96557444617273,6.0887131628774,6.24753310217423,5.72711765763335,4.17496698236784,6.13140255684853,5.92197288972166,6.24007250487497,6.32090930458594,6.24353124479652,5.72712419935561,6.06094177164666,6.09785156630961,6.31835909554813,6.64839535850686,6.19625979549342,6.27862345351368,6.30139553523205,6.0200066545914,6.45190396338622,6.2705965544715,6.17941937156569,6.47665497643221,6.47344526077133,6.52717791261361,5.77905122253301,6.41942605213825,6.26872501033311,6.2138935393474,6.91860319326091,5.73635111670485,6.56749544307399,6.23799312779766,6.75222121933156,5.62286468573658,6.70499086471001,6.40026472529542,6.73932781120419,6.38486984710451,6.34248736498612,6.46320513481653,5.89902450077236,6.30987053483848,6.23006381016743,6.43173995144405,6.14213326783183,5.82643902340379,6.6409231418667,6.33187935805565,6.65798016261867,6.77676934282432,6.28470760685464,6.57356723546971,6.70727888497666,5.90879285690869,6.5965370639849,6.2685945111164,6.25950378582771,6.92713471586545,6.21387620860059,6.02181186841467,6.53211178742514,6.03823711989063,5.36998525743132,6.51259183844459,5.71291927675659,6.22107209159115,6.14504510732959,5.9125564620222,6.86355674307481,6.63196077731772,6.32128204698754,5.46763562506541,5.7736814877875,6.25869106255731,5.88719153686535,6.22008922831524,6.40870635196236,5.75112413076528,5.8713308804137,6.29371055003707
2.03389830508475,6.37763597788053,6.37143449603794,6.75610197085129,6.62470146524389,5.68951001210526,6.64611171158984,6.29976130949008,6.17067351998254,6.39649231204778,6.68127028795332,5.86541095838284,6.18432762802752,6.5339319718189,5.66056116479616,7.23623404738204,5.85249015038103,6.75530759406344,6.80289543015478,6.03161839327735,7.22181781757921,6.23112430261913,6.49332099763172,5.99180350747463,5.621328360424,6.36433694851115,6.17978379234813,6.49700615573242,6.50299759459401,6.53624991768026,6.07312594630931,6.31962778171353,6.44260906584083,6.51164168951878,6.81155999047501,6.47474481308195,6.5810254790904,6.56590939944388,6.58118360684846,6.66496177167255,6.57154215163517,6.47908316586501,6.63499240676911,6.73608525920255,6.59621669579149,6.53640402552656,6.74207277325113,6.36756022417714,6.55668126976282,7.16900586830075,6.02068524030135,6.71551007897357,6.35185149117212,7.06858515683047,6.03082920374188,6.87767262960392,6.7095577086487,6.84062424677744,6.65194238131901,6.56344610799956,6.79209286089863,6.11184518267619,6.47287604700164,6.36126264093499,6.67953227018466,6.33563670750042,6.06965241095216,6.77452018876994,6.56511426543743,6.72524946422593,7.0566129787321,6.65535721485326,6.72814475050952,6.82608458909935,6.10247570462882,6.78316504734018,6.44392867839522,6.47934402145574,7.0927412446666,6.44422709912971,6.32144800108078,6.69806389649528,6.47464841580328,5.69136700081806,6.69681861193303,5.96887449204137,6.43268418846635,6.39936751024045,6.21882884348169,7.02295490070286,6.67640841484451,6.73052696578799,5.74807199717737,6.34314636190162,6.37407282436601,6.10786581907892,6.41713477925925,6.59509410867583,6.08837643833234,6.16936105744924,6.55261890834553
2.54237288135593,6.62805080083558,6.44731121523702,6.88516826808388,6.74905547365802,6.03632303168637,6.77604590277764,6.53074256892078,6.55427671508681,6.6379747259429,6.83605855463259,6.0095208603442,6.40142774058409,6.60769913304686,5.83011768857873,7.29047178036864,6.29272860811781,6.92835634144905,6.86682425601804,6.15609252791912,7.27967947926055,6.3766799457575,6.69742108218916,6.17489760285056,6.06739475611304,6.42239178698683,6.43771103048999,6.66069861131736,6.58743376603082,6.69096061569204,6.35100604373379,6.472948681288,6.68988238711422,6.64124147436086,7.00327222706366,6.68073123684206,6.79332685097032,6.75110321350845,6.86352249473568,6.77573467735175,6.65167681189843,6.57933394900683,6.78112659780591,6.84176740562002,6.69480947743016,6.90369187586872,6.86902746785172,6.52068327681345,6.73578085457174,7.17877786713627,6.07928421260112,6.95244341869534,6.45366023355196,7.27487207883042,6.19942403225991,7.02313869474965,6.91148416170741,7.02602809848635,6.69287884455312,6.72662035746654,6.93797657493956,6.23434047851342,6.51877961032234,6.46899404845038,6.8582303972259,6.48491631923129,6.21720658477874,6.8652072012494,6.72516519708112,6.83675838152385,7.07508145321957,6.73790977904171,6.81566584814606,6.93110863230123,6.33433003081299,6.79710421651944,6.57600334074792,6.63936148402792,7.34045299448683,6.6064219467002,6.43486503260149,6.94162853826193,6.60856916940736,5.88366188297573,6.83021850565274,6.06064521406535,6.56731873005549,6.63868172785003,6.30204421066577,7.13381391150206,6.71818751871659,6.99793176149577,5.77534134062025,6.50886886152773,6.37564807188109,6.2585463711634,6.59498848134971,6.6640839675021,6.26281614397818,6.34056836875836,6.68836616026038
3.05084745762712,6.87450005129029,6.4922410035723,6.96746873641612,6.83833269871417,6.27440937763262,6.84984107536769,6.70794563154143,6.79066330551933,6.71067272808195,6.99641948256265,6.10965634679649,6.57500470010334,6.71050144923337,5.96389735694539,7.45874656574276,6.4863001570208,6.92669240702124,6.91512849647986,6.22482265882247,7.33570027155779,6.33299698004424,6.73243847781474,6.27683762003169,6.42644243025106,6.54051072097995,6.60318701236589,6.77522498999507,6.65426782374774,6.78944741887317,6.46630183110975,6.65960718091402,6.81416987256614,6.73304312371788,7.09872728956632,6.71787014369106,6.87256906760141,6.84479718942795,7.01412284374862,6.91478971436495,6.76924237258876,6.73830507848751,6.77218728228394,6.95492178349561,6.74543730897346,7.1193528179222,6.97608461453953,6.50995905648984,6.86192602283336,7.26508488182817,6.13150317159197,7.02559481902462,6.48792682508985,7.42940491734374,6.36259988381189,7.08457022509982,7.01191808406654,7.02820310491292,6.82300322371628,6.8410748747816,7.03918190769347,6.23725242051057,6.58349668781025,6.54313197924256,6.94042338751679,6.67066759055614,6.29045246772493,6.85717966074824,6.89878935581131,6.93779386732022,7.15318954692313,6.98106230813151,6.9127032054178,6.98702107733125,6.4357668463167,6.84659037922752,6.65749367333146,6.71510649898449,7.40357464226386,6.74500979444587,6.63079770596976,6.99341494497385,6.68485493054154,6.1084769661628,6.95045460651255,6.27976698898713,6.6653301907573,6.74528066380628,6.43688741089319,7.2189557729531,6.67791724396715,7.06311414425365,5.89760659066691,6.6484603990655,6.44478539768396,6.25984546262385,6.76799217908279,6.76739877495607,6.36089000090851,6.39001535688453,6.86198940469139
3.5593220338983,6.91074904679966,6.52413664128996,7.10687373417082,6.86219614726108,6.408342664239,6.97224189426198,6.74227532673542,6.94179771095894,6.74832975183783,7.13513709599277,6.11495981919653,6.63004128602544,6.71893694824977,6.03021604178258,7.5534353571917,6.67479800314444,7.03813559932719,7.00921292596246,6.34332966970568,7.40793769795521,6.44231285675861,6.78080432438923,6.26776424996228,6.55549246538559,6.61162261054642,6.57427859287835,6.89679245296117,6.64101306121334,6.9059558027286,6.50729857831071,6.77906629590179,6.91611285419324,6.82784402562808,7.18304186727066,6.76614138464148,6.95615733862562,6.92656948231201,7.0260175019144,6.92723298859986,6.89092137339197,6.78320896125382,6.88499412305774,7.00666975424435,6.74574171905121,7.16633772437781,7.08603413960132,6.56973860138845,6.8733142147847,7.36409402438182,6.23114169914643,7.05760486392194,6.58827475161188,7.4785782063709,6.47448948760212,7.19658423027285,7.11977125610788,7.12532373708704,6.81167332817238,6.9207907819892,7.01414217232127,6.29741878620575,6.56627399793211,6.55324868449669,7.04931456337179,6.71541592789724,6.38508461736207,6.91237619198677,6.89723416879189,6.95478154430052,7.18529336088045,7.00869692380438,7.02448528016209,6.95929778986606,6.49365358742973,6.91652564186167,6.79728164035949,6.80780770453006,7.52060454732432,6.77701959013978,6.67062416290318,7.09101645952973,6.67430133026458,6.1783762206264,6.97207093144925,6.25067375800779,6.62812315614113,6.77294175307076,6.51115061715907,7.26821023446314,6.78017630102938,7.18659728896362,5.98351419535063,6.72328086100618,6.4020524335124,6.36966705101902,6.79792950310177,6.87633211097904,6.47168897846092,6.49413672518837,6.8279121673261
4.06779661016949,7.04718902959926,6.65767045374995,7.11318891153009,6.8932812842515,6.46465006187315,7.07787789367543,6.88469009436031,7.00167698875371,6.77794554346303,7.09069472177792,6.18468784724562,6.72765228565891,6.76291255034925,6.14255714662144,7.52381289093869,6.76008346987735,7.05285413865581,6.97536481684666,6.4277967264672,7.39716409410151,6.47950448484071,6.83594751473746,6.38145220997218,6.75202012121022,6.68049242603304,6.66870921065336,6.93957989260904,6.64391944315875,6.98103782079851,6.58510170365101,6.74202419282662,7.02963603973035,6.81957179288642,7.19743789646382,6.94358584123803,7.11412303632107,6.94303392112455,7.16128890015718,6.91675119477911,6.81735290891781,6.85123228838383,6.83133596710733,7.09715325945992,6.81456798524188,7.21095716538891,7.1517473184628,6.58005912786091,6.93758231225306,7.33074441797128,6.19693696862222,7.11771070739502,6.51420647894826,7.66058020262557,6.61557996152313,7.26014642804478,7.10701371714126,7.07551858821053,6.84607984205458,7.01057555853911,7.07929259380375,6.35546530591757,6.56453282179542,6.55341367157677,7.09096251714681,6.80218923482427,6.49979528571614,6.92285566533124,6.87655665867929,6.91230510123957,7.16280464321873,7.01955780720862,7.00656259617767,7.00309161949799,6.51582788614274,6.93551108646054,6.91839218408705,6.80442009122393,7.52431227872018,6.81559556177299,6.77525649362764,7.11162146121121,6.71813169653234,6.2248713292329,7.03686182771169,6.2728739337995,6.68445458306336,6.85176092484848,6.52278709431518,7.28477177359694,6.77934566984019,7.19728135231779,6.02667326430416,6.73515849448919,6.43553260373204,6.3523208748763,6.79359744860394,6.96088815984618,6.45881937790803,6.57090348935731,6.96646403989359
4.57627118644068,6.99854083120219,6.62341648973208,7.15423608449971,6.99246303489101,6.50679383558547,7.08787988277222,6.88200519896197,7.13260333370235,6.79015073392499,7.10593169260744,6.19875198009797,6.71261582125564,6.74037053866602,6.04597968709281,7.53587046495261,6.80911923813846,7.1438095745322,7.03406134788675,6.52962686965529,7.46153533663193,6.40885102272591,6.89290719931739,6.32801473161257,6.76084295126431,6.62354215225822,6.67717073905392,7.06451983466243,6.62352885670176,7.00346509806838,6.57978072738575,6.79125330571558,7.08655102176463,6.82089360756138,7.17934269557135,6.88870145288688,7.11504891592915,7.01778396692836,7.16459888224453,7.02062633984685,6.94258328587272,7.00179382416979,6.89362755156917,7.03622856395529,6.80912795980854,7.22979450174161,7.15516294762622,6.61454503484724,6.96392977532319,7.39319821667845,6.21206855247323,7.11334295873017,6.55542494393007,7.76557493655493,6.71966642639489,7.2694914672328,7.15383341725659,7.14886620280869,6.79734072199836,7.07002387000169,7.13346794377679,6.34002130909374,6.56018246495124,6.58099391533401,7.0872871967629,6.80575532920258,6.3939602465431,6.94304865700078,7.00551454350834,6.97717592364121,7.15457545270208,7.06239389322411,7.019843155357,6.9743265123569,6.53420460969318,6.89715470753595,6.9824821577192,6.75148976152333,7.65650365926139,6.91439926601512,6.86828261222035,7.19363469152543,6.67686971981067,6.17919779402241,7.02970834618502,6.26762256895829,6.72376238308489,6.87358905788141,6.49760085686066,7.3551689214011,6.76290585453197,7.17764188778018,5.9691094585008,6.88045509840115,6.47892673578141,6.30497508666157,6.883068018898,6.90721998670184,6.58096488609496,6.59911085667551,6.95955257365552
