qu0,qu0025,qu005,qu095,qu0975,qu1,id,time
1.58846471661164,1.78887522170523,1.82093287502311,2.13446969064963,2.1559751501994,2.46285138027273,1,0.166666666666667
1.50988412486803,1.78215833599657,1.82171871947805,2.13436422601761,2.1544193932954,2.42336003835807,1,0.333333333333333
1.58369377937763,1.78594163400876,1.81987334602041,2.13420862110903,2.15455937915554,2.47640714711584,1,0.5
1.5349210999194,1.78838512253827,1.82443247256401,2.13895614245279,2.16459548573562,3.44418862171702,1,0.666666666666667
1.57793345836471,1.805501404759,1.83779123362053,3.31385561587989,3.49604096919016,4.30699668081891,1,0.833333333333333
1.55098585448328,1.85117580802266,1.88881130167842,4.21014501598664,4.32774944556004,4.87556638125799,1,1
1.64263356462654,1.88859599812694,1.92535182956077,4.69410402734098,4.78636189685641,5.21551841987503,1,1.16666666666667
1.6953929206384,1.9541387515495,2.03107832076957,5.03078113104138,5.10564436316278,5.46359713375767,1,1.33333333333333
1.81617769860211,2.04282043540119,2.27709817751598,5.2838925567139,5.35040328975459,5.73577034900689,1,1.5
1.85870004447082,3.65806870347738,4.04411108178612,5.49184312912722,5.54518457248272,5.86626096275233,1,1.66666666666667
2.13593431131913,4.3363250050043,4.56256273311164,5.67217044247081,5.71927573915071,6.03325478669766,1,1.83333333333333
2.20517786060323,4.71837273944526,4.8133203815373,5.82156432030531,5.87526143605274,6.17641176445395,1,2
2.91816002654525,4.94283158057931,5.03293484756382,5.9509758313352,6.01441028190189,6.41012291231125,1,2.16666666666667
4.01925072353088,5.11035029162146,5.21785882449791,6.06800947769613,6.12957608422113,6.56016122094685,1,2.33333333333333
4.61647375077187,5.24322155404236,5.3835852429204,6.16842260432961,6.23587092933053,6.73965053063097,1,2.5
5.04001173842725,5.34958640200728,5.5123814012336,6.25556507646109,6.32462672616761,6.79232998644286,1,2.66666666666667
5.2268528489463,5.43327722297769,5.61868420747038,6.34494960796288,6.41254317685481,6.97596717453857,1,2.83333333333333
5.29878252468445,5.52146603723117,5.71361128016888,6.41871933497175,6.49053410041959,6.97140883659441,1,3
5.41905025906372,5.5925173727428,5.79208276769628,6.48645839863099,6.55907877850338,7.08505785509833,1,3.16666666666667
