mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8
-2.08829139656001,-4.83350601603674,0.472655054596615,-0.0107213139822871,4.97941023655088,0.897075790773782,2.27330570111956,-2.58242063854836,0.663704093175794,0.384794387384055,0.830858257529443,1.34339342576112,0.561895405790069,1.25332267325117,3.54636601608844,2.7299003925158
-1.84875031657533,-4.74766312807918,0.302919313982193,0.102092820285976,4.8282867999368,0.548904535520892,2.14208551172231,-2.79453087769713,1.21248677154934,0.911069228271868,1.53103250842363,2.48457587431903,0.775285548072927,2.0746645145386,5.07254945951622,3.70062825723453
-2.1770532405976,-4.46962409578863,0.566210895152038,0.314126978906601,4.6064652780023,0.582169437368879,2.00493862744986,-2.79109122789019,1.35690108850894,0.539414303652118,1.75423512852312,8.68148744374761,1.8961747363513,2.1989461025057,12.5224251750891,7.00757396191246
-2.05227063024182,-4.44020487566083,0.346753547506637,0.241894714922752,4.75675941613751,0.550012452416078,1.99405252784302,-2.72181894989542,1.94342333640216,0.817612235907801,1.6625168515472,5.34240712103866,1.97870787091046,1.49328307673424,19.6190214859977,5.92873066098873
-2.12300347069678,-4.32986361978792,0.465444574207235,0.209236121042956,4.75386897385868,0.513549809537547,1.98794272564061,-2.79806725319816,1.46455026169188,0.913971552903503,2.44575456391448,7.95828239143633,2.74226229482713,1.62385564029689,25.6513469399916,5.30382551446585
-2.23183843111248,-4.14881443527977,0.1695463382999,0.136220723950873,4.59392268147208,0.636542476471374,1.99249565057792,-2.83132243330673,2.26207872501505,0.789954621221147,2.5495077278921,9.97548635795156,2.20500208259698,2.07392231609136,34.1681320205768,4.03566865057708
-2.26355569062749,-4.17236570279578,0.363146495973438,0.208341109757147,4.83536709048602,0.807990056809324,1.98965508143806,-2.92993186916159,2.14439840071552,0.970835790212062,2.58053456515919,9.60650057328019,2.37030202645891,3.48733821317555,20.985339577018,5.83641337149718
-2.07997845607609,-4.43915551280278,0.329191634644182,0.203177591005731,4.67513364337216,0.730364351064208,1.96217780721797,-2.83218155549049,3.23515711403463,0.728948090005276,2.92243057462327,10.9442436227559,2.77895512668322,1.24838203339206,16.164456157176,9.01396736632957
-2.38690633344804,-4.13002330467442,0.273712288054269,0.129088451252694,4.74569948645159,0.634580624347727,2.03237400453316,-2.80574141683606,2.81142644604267,0.745738024131396,2.95584395725017,6.47068003154532,2.69387791481607,2.45416700652718,19.333298381907,9.58839817386296
-2.3267409374849,-4.42689123332636,0.494782491042673,0.253305821693736,4.88760528274641,0.44343470205018,2.02562774050852,-2.88286008565096,2.24932103034379,1.09204218968213,3.56358932314163,6.87037702584905,2.8878838526057,2.32885537417456,30.3024842481606,10.8297083351239
