qu0,qu0025,qu005,qu095,qu0975,qu1,time
1.20709833753262,1.76051721988659,1.79344556313704,2.192895679981,2.29405711029829,4.18786937802914,0.166666666666667
1.25302626928118,1.76018202904694,1.79334311115604,2.19325082920388,2.29844503542528,5.73264260041663,0.333333333333333
1.44391697248887,1.76049255224478,1.79343109207231,2.19717404587673,2.31536841616972,6.35000077547779,0.5
1.39245709799227,1.7622793184296,1.79523918720375,2.32303982366999,3.30569709039346,6.50515986905538,0.666666666666667
1.48329261371182,1.76971435489916,1.80394074219097,4.24651621816773,4.73486163750201,6.95248844887467,0.833333333333333
1.44855747631714,1.78656837336877,1.82516972339828,5.10068042594473,5.40387643306872,7.05980376740249,1
1.5083195679135,1.80951577783203,1.85135919361126,5.62687730688089,5.90668224125752,7.77227183503281,1.16666666666667
1.4910009772274,1.84596404978237,1.89213244708303,6.02122394015909,6.25618548485711,7.85839319570067,1.33333333333333
1.57297994761932,1.89077312003753,1.95355070123941,6.31934648648089,6.53230050567457,8.14676569819222,1.5
1.5147870992356,1.94870001064485,2.0424826492758,6.54702293524784,6.7476530040755,8.35083222551615,1.66666666666667
1.59800495113443,2.07180097829418,3.08449043687895,6.72671823866648,6.91939007764559,8.47621802959985,1.83333333333333
1.69443086152605,3.24412408769118,3.74801158882922,6.87608705921378,7.06392147874231,8.5511948376096,2
1.70267481405546,3.78413428235438,4.0720330544766,7.00364098817661,7.18848587239348,8.69488437012497,2.16666666666667
1.76063664547316,4.07594022957853,4.29589753254248,7.11517812249509,7.29597303292203,8.72034773008438,2.33333333333333
1.76522252018535,4.27703692788186,4.46318518567329,7.21589117069269,7.3929420378576,8.90039257775001,2.5
1.87177110497367,4.43350590689038,4.59890561661482,7.3070323672011,7.47854407369559,8.97083349563678,2.66666666666667
1.85014097990867,4.55944354466011,4.71306369433019,7.38928419156005,7.55592278491798,9.00934497502604,2.83333333333333
1.94945732769932,4.66804605977461,4.81026445713952,7.46537740627696,7.62694046248336,8.95429685663514,3
2.0250670724315,4.76245484794551,4.89651776277937,7.53503833260729,7.69298017114431,9.11222612312124,3.16666666666667
1.99275067637238,4.84349273820286,4.97276449873264,7.5978996118915,7.75255270880947,9.06776219218169,3.33333333333333
2.03742692177894,4.9170661492764,5.04198910200824,7.65747942749532,7.80835053098464,9.20675149882523,3.5
2.03235725888082,4.98220307899239,5.10376823710909,7.711333758842,7.86053385369055,9.29653588863761,3.66666666666667
2.08810080935589,5.04340469396006,5.16166276252055,7.76232565133221,7.90851651890022,9.15519555770302,3.83333333333333
2.0264887299766,5.0971178151878,5.21309077808159,7.81022538040802,7.95260760133434,9.29721659907744,4
2.05923859581092,5.14645467579282,5.26085572690991,7.85421684602443,7.99500283732016,9.31161902576583,4.16666666666667
2.04483025127856,5.19192375108287,5.3062270178141,7.89552238507565,8.03400309060198,9.27001840592861,4.33333333333333
2.03112657905241,5.23296965976324,5.34816354092761,7.93589367470315,8.07084794736405,9.44027898721114,4.5
2.0780115046732,5.27101206477088,5.38762800961672,7.97141112476864,8.10576847511912,9.39249549883247,4.66666666666667
1.97401657364222,5.30768448814844,5.42420535148039,8.0078632385661,8.13934248929151,9.36348613196544,4.83333333333333
2.03451760187348,5.3405421974433,5.45871629530981,8.04028843768828,8.17119481023511,9.46795972867645,5
2.01582214725644,5.37292672373916,5.49036669771582,8.07177135952749,8.20035576974656,9.35134481442389,5.16666666666667
2.04972039271734,5.40125048153838,5.52106258042606,8.10128756730455,8.2292656222917,9.47195523418169,5.33333333333333
2.05202200315895,5.42928508349322,5.54983124854681,8.1303500890893,8.25646910037336,9.54525518902778,5.5
2.01329727026347,5.45484262204547,5.57676621653798,8.15572840943445,8.28096128076348,9.49639808505476,5.66666666666667
2.48162692075087,5.47795407827773,5.60268163608641,8.18290752135769,8.30583546149877,9.55896808274349,5.83333333333333
2.91148319602646,5.50256262596044,5.62783166786535,8.2077932391862,8.32901039635895,9.59610661754323,6
3.15978508438343,5.52435452088262,5.65037936504032,8.23096272704274,8.35238719419408,9.56348772984408,6.16666666666667
3.01843477106094,5.54539884273402,5.67228474785463,8.25249516078811,8.37411242109734,9.60376363105193,6.33333333333333
2.30047384909758,5.56427573049064,5.69328484399704,8.27398929193948,8.39422716965753,9.60467595065829,6.5
3.62133092000673,5.58143928850359,5.71279091236501,8.29496062548188,8.41344884583789,9.52955686143178,6.66666666666667
2.84758047231853,5.59853523122783,5.73088374521756,8.31424722859953,8.43242523132895,9.67502481593652,6.83333333333333
2.74156404593526,5.6149856467701,5.74961240357274,8.33360547292276,8.45122232282596,9.61475575933876,7
2.73477899013113,5.63035224051741,5.76627830787532,8.35089103346867,8.46838356800358,9.57792070243113,7.16666666666667
3.1614572421608,5.6446194550007,5.78238762062978,8.36814623194893,8.48320257400466,9.62388078810852,7.33333333333333
3.14772938198081,5.65732836447785,5.79739475431238,8.38446855499154,8.50123780746297,9.50517402335788,7.5
2.65980046805409,5.67219611141558,5.81184437784057,8.40005524529405,8.5168970286077,9.79148932970816,7.66666666666667
3.12095896949244,5.68458302281969,5.82584375463693,8.41600551541835,8.53198845838334,9.58436087948047,7.83333333333333
2.61402737644515,5.69543034095269,5.84006001885179,8.43098879568521,8.54564685692775,9.63070616086366,8
2.29578237241662,5.70778663037572,5.85207040570479,8.44440441995394,8.55970118351702,9.52818899979629,8.16666666666667
2.8595973374774,5.71880739762661,5.86351465233747,8.45877047605743,8.57312155046869,9.64507977911168,8.33333333333333
3.06632511373048,5.72803714349438,5.87449217563301,8.47203394551294,8.58656319632446,9.80175311714324,8.5
3.12388472615321,5.73848795720623,5.8872766013373,8.48548451717932,8.59879713208407,9.83178413474712,8.66666666666667
3.42122529176816,5.74677695776907,5.89596497669927,8.49707537270555,8.61019466389665,9.71610977315476,8.83333333333333
2.9114801011766,5.75502796580469,5.90704035061406,8.50832568491792,8.62113911064286,9.70788384881251,9
3.99933526058133,5.7634568084917,5.91578035812654,8.52091279892876,8.63340242184353,9.7257672214201,9.16666666666667
3.92580346665617,5.77112485824565,5.9248040397512,8.53163996410635,8.64345414981262,9.63702817774185,9.33333333333333
4.37664698255258,5.77657300091992,5.93366555420325,8.54240385908714,8.65348148786564,9.66768576078651,9.5
4.30329515955324,5.78440663877101,5.94187282481166,8.55251053595428,8.66484428546909,9.67393784833045,9.66666666666667
4.29965102992681,5.79184488975461,5.9495511367042,8.5619289678433,8.6757276342697,9.80407496747085,9.83333333333333
4.49912508766226,5.79509525645808,5.9564854786472,8.57158630546537,8.68499490390618,9.82745904849547,10
4.53428816384772,5.80246577944657,5.96519044790278,8.58070690161752,8.69425286801589,9.6631736051688,10.1666666666667
4.69183551852027,5.80673854902781,5.97089253421453,8.59012165544578,8.70318309272251,9.706895722067,10.3333333333333
4.5903262340022,5.81006087508758,5.97780534373855,8.59845245590548,8.71191517198491,9.77925848313668,10.5
4.61695788175199,5.8167807305958,5.98549081697692,8.60517012534318,8.72049694949999,9.76796714369391,10.6666666666667
4.58229667535142,5.82027291993399,5.99004216175448,8.6127806376518,8.72770154382454,9.67039196091664,10.8333333333333
4.66158808342166,5.82314612006069,5.99699343288408,8.6210708597375,8.7376359588138,9.7099439419487,11
4.60153009741412,5.82746511838308,6.00236626674729,8.62833969266794,8.74474042307476,9.74466105646296,11.1666666666667
4.49638050572997,5.83021930874165,6.00679955870476,8.63493295974121,8.75212551820452,9.7653991634993,11.3333333333333
4.5127443469673,5.83219949809087,6.01081942918044,8.64140926592631,8.76024528565151,9.66448650608643,11.5
4.41736561350459,5.83497181767967,6.01687431014817,8.64809124162072,8.76737832260373,9.70922292252569,11.6666666666667
4.44952785581523,5.83748086155089,6.0226083326734,8.65420293914796,8.77413855704272,9.72945408748132,11.8333333333333
4.50610480077572,5.83934974625131,6.02621780544382,8.65967819243907,8.78135074858479,9.703997453176,12
4.49693625146482,5.84232167362419,6.03004215378434,8.66570514747364,8.78868291620228,9.73074305828295,12.1666666666667
4.48455586023489,5.84344885215683,6.03355940263491,8.67201839382395,8.79417178188153,9.77619529205921,12.3333333333333
4.42080584162131,5.84406784327546,6.03716589479872,8.67656980255127,8.79965722772225,9.84868574025009,12.5
4.39959030775699,5.8457176231683,6.04069207123818,8.68214106309207,8.80711445099999,9.80497198762314,12.6666666666667
4.34330306628193,5.84644639880154,6.04386993440621,8.68623552811633,8.81267179962884,9.76490075267867,12.8333333333333
4.28805867733474,5.84710147898727,6.04677657367159,8.69169235248976,8.81879298391758,9.86700889071256,13
4.35361396337226,5.84939917277256,6.04907094825476,8.69630651004771,8.82437958778522,9.71367955055763,13.1666666666667
4.24393994452576,5.84967896178744,6.05280718439548,8.70054222623895,8.82993763858232,9.81544115265282,13.3333333333333
4.21371901377354,5.8499170683343,6.05476154829094,8.70571906656401,8.83559522166546,9.6817053689606,13.5
4.03567810623725,5.84933583808627,6.05696484999978,8.70989885778588,8.84032352590324,9.80575738083744,13.6666666666667
4.27975672577076,5.84911511539061,6.0584249206997,8.71397797897722,8.84517242295566,9.70044251543583,13.8333333333333
4.34635813289602,5.84833192555399,6.06022896226681,8.71794320824868,8.850810939583,9.75613645152251,14
4.39309356299806,5.84946810883756,6.06302960348398,8.72229559181108,8.85485285046865,9.75669901359614,14.1666666666667
3.83864167727878,5.84956538550136,6.06511110380379,8.72510503695644,8.8596083892924,9.97781848688265,14.3333333333333
3.94736685354005,5.84819592979074,6.06441271851156,8.72991985582037,8.86434626515087,9.71832601685396,14.5
3.62070796027209,5.8468553960655,6.06657903195045,8.73316456302226,8.86851319737065,9.82315990457032,14.6666666666667
3.50614274661365,5.84637520433079,6.06764459183804,8.73564707754333,8.872762962083,9.89492335804389,14.8333333333333
3.2875183219294,5.84476147776697,6.06871667590842,8.7401419511139,8.87712689823299,9.72541889250896,15
3.70191026757116,5.84380747526214,6.06873571486414,8.74302829393393,8.8796624790013,9.66976690331472,15.1666666666667
3.68777652028004,5.84129365063106,6.0695327678905,8.74607456935842,8.88404075292762,9.72572111781347,15.3333333333333
3.35882658292666,5.84172616194377,6.0702836854527,8.74893714008414,8.88761900028794,9.80937185137146,15.5
2.98600346545638,5.84132286732566,6.06906781967207,8.75106679146108,8.8907636397388,9.79181042593157,15.6666666666667
3.04588253327517,5.83842157957126,6.06919482924164,8.75430624483779,8.89465374279426,9.840558050386,15.8333333333333
2.89252765261761,5.83797366017265,6.07108415973008,8.75720684542753,8.89745625800005,9.86562354245124,16
3.05848064133415,5.83563116152288,6.06941219617207,8.76055551275831,8.90041031484608,9.79043422455757,16.1666666666667
2.62830344439335,5.83381266333303,6.06958190160047,8.76278671804605,8.9039447864888,9.86255995867276,16.3333333333333
3.1672278787579,5.83310439491444,6.06918911018101,8.76454145709734,8.90637861452514,9.76005101082814,16.5
2.9664216805895,5.83127329493717,6.0688977919703,8.76793056507077,8.90858797446721,9.75310759555722,16.6666666666667
2.50777571073099,5.82931933934618,6.06831234303659,8.7692353576664,8.91247651940423,9.71387146732137,16.8333333333333
2.99565249860683,5.82807763336918,6.0682791929598,8.77169720580024,8.91545068720466,9.70901388460815,17
2.59595294549639,5.82528335993254,6.06740821982124,8.77258911535755,8.91650071671585,9.86411603274781,17.1666666666667
2.78894606497274,5.82372523410172,6.0660610156571,8.77560003690239,8.9194149802869,9.73833021388489,17.3333333333333
2.65628431064381,5.82060850911713,6.06471214516741,8.77735987601543,8.92210309374999,9.72412773089134,17.5
2.92426307017164,5.81818557270893,6.06412162649471,8.77899718084747,8.92455017427072,9.81505730873933,17.6666666666667
2.47528349532307,5.81499579303852,6.06299639051337,8.78149992156698,8.92543685181238,9.72385672324318,17.8333333333333
2.30672970961714,5.81136220409446,6.06124728192703,8.78192293528218,8.92791538723013,9.75643271345317,18
2.36243518347637,5.8082382302606,6.05886947975812,8.78466102133356,8.92953398021199,9.81687894462329,18.1666666666667
2.49781924194705,5.80469040374077,6.05832052999008,8.78641238053238,8.93227268474527,10.2217635292979,18.3333333333333
2.29465538265687,5.80132871214639,6.05621718047981,8.78590879015724,8.93249403180049,9.92998323199267,18.5
2.44703687566522,5.7991569169926,6.05412593410739,8.78899843042851,8.93393272744847,9.81845480073435,18.6666666666667
2.33722914155232,5.79751905470472,6.0535257549413,8.7900556229565,8.93665801619334,9.93792575100664,18.8333333333333
2.24107245757407,5.79322463389353,6.05095557096546,8.79116193541946,8.93802445994283,9.74333578218015,19
2.25421122073666,5.78902754192677,6.04900818915584,8.79181471806371,8.93959187563369,9.72819340970758,19.1666666666667
2.23624281196312,5.78803025728391,6.04638463821652,8.79303201285625,8.9409192854169,9.75261133785474,19.3333333333333
2.15611672747563,5.7850124947226,6.04479785971459,8.79410565464437,8.94255212431658,9.8255975010177,19.5
2.30274653246608,5.77864886251494,6.04261046522491,8.79579884572735,8.94265202273206,9.84140273506764,19.6666666666667
2.02366372746221,5.77551396974803,6.03981037483905,8.79631722200288,8.94551122959291,9.75885575026142,19.8333333333333
2.1584913967219,5.77214025384912,6.03794852857012,8.7977033910894,8.94707045215577,10.032266669781,20
2.15727340335628,5.7691916826559,6.03590857830128,8.79893382831325,8.94708668817463,9.77204054787646,20.1666666666667
2.40402035427217,5.76654195877437,6.03442683704048,8.80012289473637,8.94780289231706,9.8211305777866,20.3333333333333
2.11560355886928,5.76236139263322,6.03052278891604,8.80130409057309,8.94951601485379,9.74880540090646,20.5
2.17899721990167,5.75914804394775,6.02828343842461,8.80081830517877,8.94972076076852,9.80416814311748,20.6666666666667
