mu1,mu2,mu3,tau1,tau2,tau3
-0.739168177013271,2.25616852117935,-0.874472924935605,3.32694776772547,8.3006504584489,3.59844371159534
-0.723813785037178,2.35274081884737,-0.798306763649787,3.15486537017808,10.7731831609634,4.32427938602956
-0.646966171100771,2.29472001323526,-0.806311767341854,3.31909745435485,9.85521507686213,4.58067836962296
-0.788550480645695,2.28287689374423,-0.872283179761729,4.02527891109299,9.16061000397296,4.72120832757593
-0.758457932304842,2.29781023521061,-0.927713081952493,4.25950195665096,10.5409492924177,3.9573990158065
-0.683657651160558,2.29620838174324,-0.907840086247208,4.06444849580745,9.40883842293358,4.34191171123329
-0.762105093773552,2.27268688416249,-0.851799369380682,5.3004845849289,9.28483428713906,4.66191720742389
-0.754390002804588,2.28635774235561,-0.964273372601219,4.23705160658391,9.65451931961811,4.96552242825152
-0.783470991974958,2.33218001719039,-0.903325869749736,4.14485221575229,7.26783319410211,5.53899537904388
-0.807757158069335,2.35353962373579,-0.891413480068009,4.50970553419001,7.7064675055269,4.35935985636039
-0.903377965521835,2.3443589010835,-0.915196303305488,4.21938660387827,9.66770947619202,4.03472334314928
-0.702413646498354,2.30829643266654,-0.965229369531955,3.66486745088287,8.59393473538426,3.56114040852977
-0.857307404166653,2.31796941245289,-0.825720187608671,4.13881990249037,10.6766354717716,3.44642681136742
-0.729382661386646,2.31253052270793,-0.8470828507137,3.72323645900209,11.1012350417097,3.32757756563139
-0.816033215466785,2.30379264585399,-0.79258782328572,3.5772531296443,9.00785843929481,4.30470155158284
-0.763755343247609,2.33542412236384,-0.848840293590865,4.56586224927337,10.5937404770611,4.11160309011713
-0.714620228454564,2.28983819964507,-0.817852578932738,4.09049650736389,9.6604231789639,2.71493872916975
-0.639891448649801,2.33349078276454,-0.900173728605884,3.72515161613176,10.6577421702739,2.57939299603089
-0.709342157978809,2.34347855040971,-0.944891226997756,4.13048083253282,11.8801474315808,2.15079466494856
-0.781151719644288,2.32112975109067,-0.849944194187887,4.52391864928198,8.95640628421539,2.79013129919203
-0.894735497794643,2.3159567150898,-1.0144893456069,3.57866152854561,11.6123853460103,3.86471924221228
-0.776172471461267,2.25841178301387,-1.00765874265207,3.36630795129466,9.07381646270746,3.41997733920734
-0.722858138248279,2.33384551779995,-0.852805012633451,4.39373570115237,11.0366748308781,3.59246469522165
-0.794937453380623,2.34544609168006,-0.945226749498517,3.85309146299087,9.29368471450908,3.44279529989349
-0.761732443068449,2.36398145402406,-0.787706576761567,4.81383598905102,9.58830104375642,3.45566353371051
-0.741888381103389,2.2746386439479,-0.876498677343234,5.10474993476779,9.87128948533807,2.87456252868074
-0.618708319754661,2.28363403688378,-0.791898779203625,4.07105896340706,8.94261885543377,3.58749229433417
-0.772650683768384,2.28680848094926,-0.666746751335568,3.60107743322065,8.18090951707311,4.54810170260598
-0.6732579789819,2.28751097467033,-0.699611746596253,5.68067715847918,11.1173332206926,5.38150698728145
-0.711237354219063,2.35356600483192,-0.744946111184374,4.91539339923575,10.0600905442815,4.62328562898672
-0.768286042582645,2.32278760535022,-0.74591024002408,4.07338997887858,9.77808591063885,4.35545882439867
-0.729677539207901,2.32257139935035,-0.782750160091619,4.21026078422687,9.4510234342141,3.98861737598908
-0.735287274280661,2.28845795148151,-0.806282883740645,3.50104096267457,9.35019176274809,4.75301827729323
-0.781898299578914,2.33053030159098,-0.796559893431997,3.64171187757176,9.0698578115271,6.71134674893213
-0.767799338920127,2.35295654386292,-0.93888213915589,4.43969660497973,9.77253702483261,3.198232333953
-0.75637267527972,2.28629226601184,-0.860689740712566,3.98233309343629,8.14417459021869,3.82429572137699
-0.717701907836078,2.3871467429187,-0.795055158067975,3.87421326745341,9.4172658197884,3.40975699064781
-0.756774137218346,2.27651474614769,-0.827547872467984,3.90553776291162,9.91431119437089,4.05785305431872
-0.769887910266792,2.34025253683779,-0.846022038791816,4.11898345290914,8.90538251149956,3.66442755502642
