mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8
-0.601546382151484,-3.70248597950748,0.444408785072218,-0.130519668137197,4.95530270724399,1.26867957977967,1.85698330387895,-1.54287199509272,1.16417939954746,0.319009760306036,1.03074850589301,1.29392156293433,0.662872507494473,1.01309721226883,0.768946300041402,1.34691519601152
-0.714051139974497,-3.37808313698018,0.464540549592494,-0.243415874233043,5.1160710769245,1.19521694269217,1.95330775092413,-2.58045418118649,2.08636613093387,1.23077982977117,1.28634232983023,2.54041815827907,1.30226188129927,1.66617234221943,1.20566303349112,3.17060004063006
-0.717724018779206,-3.26947297863553,0.23884001575397,-0.23079385378815,4.97374808100838,1.29293763198737,1.84738565302848,-2.84347399665892,4.13844706196558,2.50434564637788,1.71213008034298,3.98362312649992,2.30939882792191,2.84398426509629,1.557232780799,5.94300922428186
-0.756287875446781,-3.24032451986898,0.385965190932268,-0.345262284765497,4.86895933834887,1.36177981944967,1.73029939883643,-2.95785028541199,5.54718973631965,2.94022578251103,2.52286411023046,6.78438253780234,2.66263552936641,3.36362031353659,1.78291062315492,9.13206495628095
-0.704843173793085,-3.15594185388843,0.351724190654669,-0.345103195782836,4.88284639322079,1.29352067572559,1.65605466202433,-2.98589812864789,6.2652894233069,3.54723318461355,3.24099687489142,7.85679312423419,3.25450544641859,3.76344954493909,2.88275694639425,7.97179942567138
-0.727229253878496,-3.15563276990108,0.441809944655523,-0.335440728530679,4.89550505134305,1.32274001657899,1.62605781861225,-2.94560576184684,7.63528391176687,2.95433995783126,3.45474399244228,9.37566620683046,3.69015845914658,4.84043594854815,2.63577959224708,6.36760000558628
-0.716877138670694,-3.19663391493776,0.397083515937896,-0.331038835900152,5.13148979401971,1.23271622272974,1.45568668453854,-2.98999277092232,9.4468125190366,2.6233691529108,4.44075757573463,15.3699730052449,2.43353300075781,4.78167298815017,2.97933329768552,6.63265497478737
-0.771916050544392,-3.3660467990353,0.297985800535267,-0.288669350348888,4.99702491018333,1.12544808729987,1.4790778109669,-2.89493940208861,9.35483807923698,2.30676967407209,4.90890153008444,13.4593762046518,3.97358923930863,7.24443113247583,2.38541919986545,5.80516412700666
-0.804358898357517,-3.30817356756276,0.340049069656794,-0.347274510030434,4.98365090230061,1.21623426812337,1.41675917478615,-2.85788587506815,7.65465287888716,2.89892892515573,6.7822852575449,14.4880855108146,4.49025415874143,6.68877323790464,2.85790408284395,5.17598362198226
-0.821962870805506,-3.24725000206533,0.265561167546563,-0.263961593063993,5.03659380211138,1.1994907821326,1.50511833612289,-2.91063096589405,7.204252768456,3.38619433448479,6.72384350944116,14.819042329326,4.92410222283284,7.15551483850657,3.84047590579014,6.00972562208004
-0.795477718885208,-3.15212863521225,0.343398938102497,-0.265537712099913,4.9877474671026,1.24309388978425,1.40137324730091,-2.93143077462853,7.49479702136358,2.83542831060312,6.97104285695374,9.40193733845766,5.35022434181896,7.36651606746214,3.02366476583088,4.68454148707741
-0.794552140536813,-3.12458853596869,0.322713570256517,-0.328567341257949,5.03291011064211,1.2777002926828,1.48642133625888,-2.88690277218699,7.23159049269774,4.02126505786134,8.42576448364594,9.33702793266493,4.04073990113943,6.55131471537133,3.86237092783063,8.98371490215079
-0.765727102951795,-3.11925524204341,0.34356348056658,-0.340945982476942,4.88322957471674,1.22177619757809,1.43124531943853,-2.86799646975548,8.20863192206079,3.6626917042066,7.4321422923433,13.7666457571915,3.92140217421924,5.8883604056864,4.49287586455909,8.63275454391579
-0.748781107007327,-3.14475294372465,0.293864521262457,-0.339243713029929,4.95612505673824,1.30921764371228,1.3920899283986,-2.91853192907059,7.82747624561961,3.8405881496884,8.32388107583191,17.5318207624241,4.96320214583023,6.10321584551514,4.01108262189649,9.95634500478954
-0.772026860198031,-3.11992311909788,0.308504161895052,-0.315746572306885,4.99860954981318,1.27341986541769,1.3573951322262,-2.90614714289576,7.55395034369401,4.66877181415155,8.28819355877856,11.3393673469465,6.46383155281851,6.24214973902072,3.72058980406432,9.65823723496252
-0.744991706651276,-3.26468626460557,0.259886308984849,-0.308414527716027,5.05580182076383,1.19137151221332,1.32539940684922,-2.88258232673224,7.35000737506727,2.86848371657606,7.06557260762695,11.7494324265146,6.94687199688417,5.17372850905372,5.34572573623081,10.6497696630597
-0.646283269417567,-3.10848572520721,0.329945132083022,-0.279721979389053,5.05989511606363,1.16859729561949,1.35818361002056,-2.85859586945077,12.665488981851,5.19610204097624,9.95137073782081,12.9711504586474,8.47060215277139,5.4551632347127,4.81946942481945,11.657120445816
-0.649422042865529,-3.18575699395343,0.42096871142838,-0.280208927041919,5.04896047860879,1.18837257460353,1.34210186571107,-2.91209858433275,8.38553516792187,5.18380208551152,8.74715856970676,10.3252770401833,4.30388153172877,7.43678642654031,5.59536803677935,12.2610300921953
-0.69317065299064,-3.11196004749764,0.44258418156819,-0.298992297979218,5.00860169456579,1.13838285131563,1.33536646897106,-2.88412997434782,9.38445848650458,3.644634360966,13.858708381731,10.6544528364341,6.64687539504634,6.78518463955837,6.28568382591402,10.2209100890492
-0.635014237036056,-3.13986314917623,0.413922205641805,-0.286305654962067,5.02944254988346,1.19991232785759,1.43842764682863,-2.84872934659842,9.25098173395476,3.0296880245162,15.3667540389478,10.3029652738177,5.11975212875423,4.75965989014173,5.2646592629118,12.404640876352
-0.649109924953883,-3.12954678673518,0.435303831099148,-0.276562075408587,4.93657859342557,1.20083935765808,1.3834793602082,-2.88539794177677,12.0937900415289,3.38544475180957,16.2079775485556,10.0793723821839,7.04467648559025,5.14715055471378,4.92878225362873,14.6440206081252
-0.726251303639469,-3.16392141197944,0.387335502076179,-0.269963183740201,4.99050466312471,1.10622763711133,1.41948336858101,-2.86392260266055,10.927337629709,3.57532375668003,16.6913474281897,10.3854189541611,6.9839423280065,4.96714759184582,7.36059848666129,11.9936060369908
-0.721070692485892,-3.1246208378975,0.409022104638221,-0.284072375108976,5.00462543498774,1.18657517614152,1.46522262387653,-2.91085122734579,10.4579744132719,2.99070598312454,10.9843518462809,10.8650896854927,9.26179703204194,4.9179614905493,9.71204464287805,9.44555449839678
-0.701607486014142,-3.13773038711434,0.326052366485799,-0.309909996678488,5.02286703714263,1.20515401945279,1.37694217737925,-2.9368833395971,9.39981546705618,3.8187078591837,8.49424740375587,13.8445132805149,8.83236805872319,4.18336425078012,6.38820224042264,11.1053762051006
-0.709982442157979,-3.12576602862004,0.326826132585733,-0.349340490322001,4.99541809712375,1.2258371116301,1.45567901093225,-2.87229084779538,9.6697699914389,4.23832699269486,9.95046924279568,12.4147610438007,5.72333937026917,4.46517173991949,7.73686661207734,9.30963389070559
-0.788482588474577,-3.05807338314111,0.317195017697443,-0.25464365198451,5.00500181621521,1.20974641311961,1.49777018008559,-2.95381713471582,10.1616375523212,4.79288114336001,11.4137101115916,12.454472887405,6.28061377838584,4.70117344515086,7.55063733106618,10.8539441072537
