time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40
7.5,6.39955662081676,6.83341983053235,6.93116660803603,6.96083520462062,6.6276002015437,6.57306094060353,6.82629310414762,6.51139008292467,6.72227040284053,5.99078955740259,6.8655137860487,6.45987176260987,7.51349272286672,6.73944642352839,5.7899258957494,6.90083753753878,7.066699611789,6.56631952854534,7.53720263699212,6.37167640807011,7.38009556337391,6.52083134285761,6.36172939460067,7.21550660992407,6.23920614378465,6.8163458683482,6.61462756982537,6.84488960431407,6.912908638795,6.39095389912898,6.90625951326027,7.84517684763697,7.22210796342242,6.73032896246389,6.63957177473281,6.92769060285946,6.74788395929344,7.21764186670775,6.73184857560021,7.04968241765371
8,6.32251575421667,6.94902996549909,6.98931283813447,6.76069859281934,6.91345890285519,6.85541944934508,6.98160016023009,6.50674134706397,6.75014330440879,6.35307477732263,6.54711537506234,6.48689749158441,7.09009850063638,6.45035205491909,5.92412397579559,6.76203707087175,7.3195746787296,6.52418680427585,7.28271703220724,6.43437339672729,6.69291530600751,6.49532036416657,6.83317499130032,7.48052992629753,6.41547637829396,6.91232389911205,6.42775830108088,6.46752375279976,6.69723800186862,6.31373588568066,6.71582246440874,8.01529077500431,7.18086339558199,6.85756111799386,6.50479781684849,6.35264863915799,6.83626689820993,6.85394046136925,6.74016240686275,6.79642777631503
8.5,6.39047849382688,6.70163702887677,6.95920838775799,6.63462172576089,6.41791787459386,6.61658521866865,6.80916322312459,6.66209839848242,6.73202479313884,6.22153751669516,6.64383936765349,6.21478473491477,7.43288231439249,6.55866025940957,5.74428970950622,6.67959295180294,7.24219321020669,6.59224416090101,7.21512094094251,6.56773827400663,6.87476932017734,6.69812330360583,6.84252117740838,7.29758654335147,6.28190076517213,6.68671393394765,6.71212121838295,6.43211296169077,6.53013634543787,6.36559398769315,6.84927361374378,7.93717304538684,7.21415748449556,6.46253522754901,6.12483329336001,6.83343308412472,7.17182945805298,5.97474532539648,6.91790513976983,6.48920645949806
9,6.08714873419185,6.9608294991512,6.56514181118844,6.7094996387962,6.45407884421033,6.19247291785241,6.89917754161873,6.21986254302135,6.75381542294728,6.27141375539884,6.46113841605498,6.12567033842975,7.14628598400503,6.75994150919325,5.66731180071266,6.86208710909138,7.16047818771184,6.54146245998089,7.41491767885461,6.71164339535496,6.92316563202337,6.60765561327849,6.86418239772813,7.11251306221191,6.72555971345904,6.74588111522184,6.52843439740811,6.34262667036639,7.1372830604444,5.99708391577959,7.0284314358671,7.68000040445773,7.13854329005564,6.25596997618297,6.27440294194283,6.6671304466141,6.91654195695977,6.46642399668503,6.95393088671665,6.50963576928327
9.5,6.61620845979197,6.68438077066338,6.75142731744634,6.53698136391241,6.70993839926444,6.74023425246939,6.67656466291941,6.51871453324227,6.58301095932061,5.97735403394029,6.58875860315132,6.44222147222643,7.05368183094865,6.89768153401591,5.64280420502949,7.08559951136693,7.05805918152328,6.36822321468055,7.49675466337795,6.84749284499495,6.91159775802917,6.91604216442641,6.3387813875928,7.19025252469246,6.61679751902077,7.02050649136439,6.08079343719148,6.53824438466758,6.95953830716213,6.15974093252655,7.0138909780797,7.52017649740159,7.08622387716512,6.89169628020172,6.15376723144675,6.92111166550648,7.28219522293497,6.47707235885476,6.83635367470346,6.67745573942938
10,6.29885906053132,6.60666841116472,6.70457149899014,6.79515953162009,6.47876009932088,6.45519441980323,6.71451508324538,6.4400376477927,6.47259521010742,5.89060602161953,6.50820539685585,6.12650775905491,7.34091667221627,6.28563463349025,5.3214239005151,6.79337119024761,7.20694090127116,6.50910947565543,6.97233185601682,7.01920679272319,7.03707312242359,6.32996916639254,6.39069622219231,7.37324111536151,6.07530170723545,6.24790388629311,6.20126904153851,6.89845747117471,6.84177851525059,6.1242211775251,7.18440357324312,7.57260391249548,7.30827503154569,6.73747754009913,5.98427008311195,6.51293661107659,7.04390195939729,6.96733030937953,6.75177054828309,6.29131390822632
10.5,6.03801626167807,6.75665579504529,6.57310098315961,6.83755331376744,6.31611662575921,6.08391175938813,6.91673439811541,6.14416775660179,6.61301747929067,6.10542745957191,6.40114426086553,6.39208288747201,6.74995494123832,6.56628673580239,5.66660067642149,6.37400498627242,7.26156551071884,6.27769736361221,7.25988701190065,6.7944485506426,7.02308635226552,6.94717325849503,6.68209630515968,7.06398318700156,6.58226392664202,6.7915096776935,6.16394476659923,6.24825208819123,6.45487677069319,6.07258403719579,6.97414365346178,7.75105656429433,7.31695072122518,6.9868022336755,5.79063691208553,6.41993026108701,6.91900440900568,6.43065737488401,6.57098043912254,6.69748154581883
11,6.59435168937798,6.99578682697217,6.79170951971875,6.97697914153849,6.6437805429412,6.37687280153995,6.46397729640785,6.36509264152336,6.85010277524361,6.00105300730013,6.64971197318211,6.37870235261668,7.18702080276967,6.37080880300447,5.68966324593936,6.63636319752252,6.7846567435124,6.66157059211832,7.14947613830507,6.32819412507394,6.6927454498151,6.51388965170205,6.42752240998622,6.98041447158505,6.28332572378324,6.67639648128541,6.2768532470608,6.16418217354658,6.61319692240025,6.22047235881896,6.74039421626266,7.61024116076741,7.17900061242139,6.56202171355106,5.90978700612559,6.75660273904536,7.06239907139142,6.59592179644242,6.58182079711348,6.47095101435805
11.5,6.44993388614888,6.9267688360529,6.46811796912755,6.65536664633448,6.37153876164669,6.40912079717984,6.69885060084785,6.03267070424286,6.59841774104977,5.89140384146968,6.50228276645482,6.60864421057532,7.37411865404593,6.71519431414502,5.75221679384357,6.31881416575612,7.23508093276543,6.46706821672489,7.03922818982527,6.63513379142566,6.74862518999568,6.48502082267556,6.86799634196615,6.89755586393625,6.26820782684235,6.34345674620842,6.54989949976733,6.42042992833177,6.90903053000408,6.22188418026227,6.5878952538485,7.30011190907239,6.98699548802891,6.72019727309793,6.00475790821945,6.83136429595267,6.86064702798324,6.29775833791507,6.47898601501528,6.4433767630257
12,6.00791556331019,6.46175253360251,6.83455273492391,7.29895712551011,6.41181529497878,6.14822274761264,6.45325520155526,6.31110227947288,6.5466766387035,6.13691619994468,6.36875949650055,6.09485400577459,7.07156594373432,6.39396773932693,5.60315791757222,6.76663553145028,7.03482191403251,6.36539229325523,7.46229990039563,6.62424104881579,7.27228273348412,6.72837553426213,6.83336141031647,6.53090879279316,6.1955339963951,6.91404475368311,6.09601996688873,6.27974076715796,6.88875148426016,5.98526458060256,6.71399402742085,7.7671118449213,7.5159414914103,6.71373465167931,6.18922328509839,6.38469590979025,6.50101960480043,6.34551722310149,6.71747405439561,6.53036533814613
