time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10
0,2.09911425062053,2.05479719270701,2.05627869194996,2.10768480535746,2.1328567235448,3.74924340392444,2.09079523801903,2.08737425018885,2.05560657265518,2.03921242512632
0.508474576271186,4.98905988681548,4.61765315563559,2.11143632454298,4.39746204187523,3.09722170501964,5.66727276814888,5.26161306381082,4.42509605289215,5.37633231977199,5.09646836339551
1.01694915254237,5.6956937423282,5.62381628716771,5.74274434534069,6.1530304558049,5.95912345259728,6.10420909085953,5.93395864537709,5.36393148598488,5.7502114591947,5.91665259668791
1.52542372881356,5.95722172195065,5.9880985408459,6.4749257214349,6.58275931237569,6.61769534760853,6.37725417048242,6.26624474590452,5.80583255738511,6.0118368612024,6.18444213538377
2.03389830508475,6.21083012876891,6.17329070939912,6.91086315647713,6.81730182418626,6.90464962489952,6.54674444314236,6.42116172797666,5.95174412619572,6.1087491184156,6.36917174193281
2.54237288135593,6.31647523535332,6.32924392319353,7.14771359131291,6.96793611170511,7.09436279691189,6.67325602912325,6.5753896357302,6.20558664840235,6.16601959911735,6.45241369665845
3.05084745762712,6.34337113773154,6.32283204120054,7.24085216349885,6.99429725116413,7.13680104628151,6.77536027645118,6.71755181911468,6.22766389597872,6.19830830940705,6.53522322904356
3.5593220338983,6.52111593217547,6.42306833224574,7.34596721924229,7.03982547235463,7.24635387121126,6.81857015141301,6.75508665430451,6.32849712059825,6.25532597853039,6.54650810499373
4.06779661016949,6.49509975393038,6.39313901860443,7.48307030135512,7.10490013560985,7.30440120095537,6.91573486641348,6.82720451024722,6.35809494072463,6.31276355255275,6.60546310039315
4.57627118644068,6.52273896575507,6.4019009752717,7.49382567966281,7.10850875303802,7.32732929989706,6.94905188307483,6.9238641851854,6.3313504735383,6.24550175721289,6.62536222291527
5.08474576271186,6.50770234405318,6.47273048431054,7.55295479134372,7.22073993686813,7.37562053000368,6.92689187129633,6.86354818330637,6.36535323768624,6.23845519727609,6.72024700820054
5.59322033898305,6.51855579790633,6.40249665019962,7.63377912349876,7.20980520626929,7.42256178540492,6.96289244893897,6.97829490757933,6.32170331492133,6.31457724375793,6.63413163051576
6.10169491525424,6.54144992947443,6.41024540025483,7.61316667083566,7.24928394521664,7.4034959196612,6.95616756253529,6.96690466227166,6.31022659446332,6.22704900893054,6.73627886413967
6.61016949152542,6.53848826513564,6.40540814049105,7.58826473535302,7.16296935246621,7.4426499225893,7.01962433908132,6.97842540405175,6.2797495956814,6.19020220423908,6.67500278748693
7.11864406779661,6.60321975864692,6.37433287820594,7.61991136472247,7.13879298947115,7.4022392599294,6.94734359530552,6.98831040090407,6.32979346390729,6.18622325592725,6.67203308423807
7.6271186440678,6.55670571617311,6.3878962208692,7.62937021799978,7.09005387920925,7.41123434728289,6.96387798589017,7.01519769489162,6.32103956864001,6.175118870809,6.68577139068618
8.13559322033898,6.45841281273348,6.29709968046678,7.62768364140572,7.09517724971508,7.46017981859845,7.01544976332313,6.97661955077015,6.27615745536246,6.06185886718459,6.66498508762419
8.64406779661017,6.53697026056105,6.25410917947891,7.62178003633085,7.10712008538079,7.45202610927719,6.88296482066952,6.91947433008045,6.31513139638559,6.14657146699816,6.67419449116893
9.15254237288136,6.52695247042193,6.30767076379536,7.58941722194869,7.04637843758032,7.375771067206,6.92182615262725,6.96382496851205,6.2731644020479,6.11413177256323,6.66633866046753
9.66101694915254,6.4689887550193,6.23972152544514,7.58951387791996,7.03114568885626,7.42591632477788,6.94731613400472,6.9234312632639,6.2064668354042,6.06372397054519,6.65152285760607
10.1694915254237,6.45763837992556,6.25639432541216,7.55261179468581,6.94987998349177,7.38676686628836,6.906846265363,6.79630640188696,6.20913629241765,6.06526210400033,6.59953303989296
10.6779661016949,6.41764324109441,6.24506350518832,7.5482493245315,6.9566175158351,7.47215471983641,6.85281844813065,6.81791608510548,6.17294211123406,6.07868270202297,6.55346698839837
11.1864406779661,6.40277434043575,6.21248349942952,7.56102508139376,6.95069137160304,7.30913160720336,6.86018191349791,6.86507848327724,6.08287072090858,6.04988999391637,6.6181639717172
