ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.636363636363636,0.454545454545455,0.454545454545455,0.636363636363636,0.636363636363636,0.545454545454545,0.454545454545455,0.727272727272727,0.818181818181818,0.454545454545455,0.363636363636364,0.454545454545455,0.818181818181818,0.545454545454545,0.0909090909090909,0.272727272727273,0.727272727272727,0.636363636363636,0.363636363636364,0.727272727272727,0.181818181818182,0.545454545454545,0.727272727272727,0.909090909090909,0.727272727272727,0.454545454545455,0.727272727272727,0.818181818181818,0.545454545454545,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.454545454545455,0.636363636363636,0.454545454545455,0.727272727272727,0.454545454545455,0.727272727272727,0.545454545454545
0.727272727272727,0,0.636363636363636,0.363636363636364,0.636363636363636,0.454545454545455,0.363636363636364,0.727272727272727,0.454545454545455,0.545454545454545,0.636363636363636,0.363636363636364,0.0909090909090909,0.181818181818182,0.363636363636364,0.727272727272727,0.545454545454545,0.181818181818182,0.545454545454545,0.363636363636364,0.909090909090909,0.636363636363636,0.363636363636364,0.0909090909090909,0.454545454545455,0.545454545454545,0.545454545454545,0.0909090909090909,0.363636363636364,0.545454545454545,0.454545454545455,0.363636363636364,0.545454545454545,0.363636363636364,0.545454545454545,0.454545454545455,0.545454545454545,0.363636363636364,0.272727272727273,0.636363636363636
0.181818181818182,0.363636363636364,0.636363636363636,0.272727272727273,0.272727272727273,0.363636363636364,0,0.181818181818182,0.363636363636364,0.454545454545455,0.545454545454545,0.454545454545455,0.363636363636364,0.181818181818182,0.181818181818182,0.454545454545455,0.363636363636364,0,0.545454545454545,0.636363636363636,0.545454545454545,0.0909090909090909,0.363636363636364,0.0909090909090909,0.272727272727273,0.363636363636364,0.636363636363636,0,0.363636363636364,0.181818181818182,0.0909090909090909,0.363636363636364,0.454545454545455,0,0.363636363636364,0.545454545454545,0.181818181818182,0.0909090909090909,0.272727272727273,0.181818181818182
0.0909090909090909,0.181818181818182,0,0.181818181818182,0.454545454545455,0.272727272727273,0,0.272727272727273,0.272727272727273,0.272727272727273,0,0,0.363636363636364,0.363636363636364,0.0909090909090909,0.272727272727273,0.272727272727273,0.181818181818182,0.181818181818182,0.454545454545455,0.181818181818182,0.363636363636364,0.272727272727273,0.0909090909090909,0,0.181818181818182,0.272727272727273,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.272727272727273,0.363636363636364,0.181818181818182,0.0909090909090909,0.272727272727273,0.272727272727273,0.181818181818182
0,0.181818181818182,0.272727272727273,0.0909090909090909,0.363636363636364,0.272727272727273,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0,0.272727272727273,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0.363636363636364,0.0909090909090909,0.0909090909090909,0.181818181818182,0.454545454545455,0,0.0909090909090909,0.272727272727273,0.363636363636364,0.272727272727273,0.454545454545455,0.181818181818182,0.363636363636364,0.272727272727273,0.0909090909090909,0.181818181818182,0.181818181818182,0.272727272727273,0,0.454545454545455,0.272727272727273,0
0.181818181818182,0.272727272727273,0.272727272727273,0,0.272727272727273,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0.363636363636364,0,0,0.272727272727273,0.272727272727273,0.0909090909090909,0.0909090909090909,0.363636363636364,0.0909090909090909,0,0.0909090909090909,0.363636363636364,0,0.181818181818182,0,0.272727272727273,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.363636363636364,0.0909090909090909,0
0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0,0.272727272727273,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.272727272727273,0.181818181818182,0.181818181818182,0.0909090909090909
0,0,0,0,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0,0,0,0.181818181818182,0,0,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0.181818181818182,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0,0,0
0.0909090909090909,0.363636363636364,0,0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0.272727272727273,0,0,0.0909090909090909,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0.363636363636364,0,0,0,0,0,0.181818181818182,0.0909090909090909,0,0,0,0
