qu0,qu0025,qu005,qu095,qu0975,qu1,time
0.762037638621556,1.00131476881601,1.05123451189055,2.61933112400942,3.68779759462582,7.38885164437479,0
0.808495797962827,1.21473627068745,1.31711949930785,6.00407242674733,6.10907126003212,8.15686010030484,0.508474576271186
0.982324404880429,5.23246545798958,5.44128644401381,6.65764394324629,6.7560184455871,8.44343805737832,1.01694915254237
1.29216100180229,5.8440304025185,5.97262130072875,7.00291635969123,7.10344513684029,8.64110963823735,1.52542372881356
2.20155467918335,6.05913049341004,6.18073112227973,7.22052396608252,7.32209917250654,8.88791342734818,2.03389830508475
2.16088350170833,6.14767779258234,6.28588189489514,7.37149653320898,7.47225426677041,8.90819319581922,2.54237288135593
2.39346444096616,6.18979231075965,6.33723771925417,7.48011568824997,7.58199706894479,9.07821088388958,3.05084745762712
2.38746679090508,6.20650700047301,6.3632720115934,7.56213280164742,7.6631121760769,9.2921143079836,3.5593220338983
2.46442887708233,6.20697491594558,6.37249789415221,7.62242492334782,7.72485339514297,9.32606058538567,4.06779661016949
2.15942699875667,6.20026931634633,6.3697596563993,7.66854730579669,7.77431212693787,9.30917753999688,4.57627118644068
2.37315989562955,6.19218138618771,6.36335410114968,7.70464868701323,7.80959134049206,9.48841187500247,5.08474576271186
2.46513027389964,6.17595033389424,6.35282098011141,7.73111762968762,7.83875135224621,9.56908954383432,5.59322033898305
2.47345626143305,6.15986983698278,6.33533283738342,7.75026255612294,7.86135596946256,9.63804361060695,6.10169491525424
2.37913369766744,6.14315875179199,6.31990521871767,7.76594589963114,7.87770150695188,9.67909049998099,6.61016949152542
2.41528561883989,6.12283623253709,6.30245890843151,7.77580622484807,7.88949793665332,9.84309362756874,7.11864406779661
2.79996347182103,6.10481650736995,6.28602608811236,7.78252717579628,7.89818451307201,9.76112393436342,7.6271186440678
2.79551430604488,6.08375051027363,6.26645390577236,7.78579041597895,7.90175580819046,9.85378894283408,8.13559322033898
2.54218898165582,6.06421768441532,6.24728231469944,7.78528350553761,7.90367041158625,9.82370091206243,8.64406779661017
2.47047659618195,6.04353069937082,6.22752663614794,7.78483721239644,7.90318849198888,9.8410500032735,9.15254237288136
