mu1,mu2,mu3,tau1,tau2,tau3,xi1
-0.7,2.3,-0.9,4.0,10.0,4.0,-1.2039728043259361
-0.5645320254750791,1.8666309046916332,-0.7144132267859411,2.0507332726720042,5.60366200099914,2.0031910913406636,-1.2039728043259361
-1.0080737922866483,2.101668742095778,-0.43016657154217003,0.9662334702596748,3.6297696908228176,1.8598670396101216,-1.2039728043259361
-1.2476690379617377,2.021529220302613,-0.4001723081223931,0.8766910725808926,3.891268519510269,1.8500061387527744,0.09005881913418712
-1.1074552412780185,2.082245658931007,-0.3117669839443067,1.2416112381557443,2.812745474737356,1.9153708170506734,0.09005881913418712
-1.1686976657701869,2.1258356620670575,-0.33863070183935934,0.7161216850968535,3.991951750591095,1.5737366728739264,0.09005881913418712
-1.6539075485607864,2.140466916588211,-0.34726162018869516,0.819529448256732,3.3077579779550983,1.0858841438660434,0.09005881913418712
-1.7384366363579018,1.9346919274846412,-0.12503391533302938,0.9717720084775249,3.5076345147226395,1.1640222282049477,0.09005881913418712
-1.2583434969803151,2.0144623289777144,-0.5272689877500253,1.1189735437985404,3.800799141579455,2.219626024094932,0.09005881913418712
-1.7833325557167143,2.252825679003006,-0.5268571075041272,1.13936503506454,2.463745386096664,1.5211101264286162,0.09005881913418712
-1.3961374274881715,2.1512679705560243,-0.2621568994095685,2.4984491206198496,2.2862469597885102,2.8725228330181904,0.09005881913418712
-1.504072009444003,2.5838207464152942,-0.5576785777720586,1.7685619198982179,3.0379564959378333,1.884458678700229,0.09005881913418712
-1.6089891037628725,2.2264392497896446,-0.6669651137375178,2.6347770565890176,2.7484339404988876,1.5418306482205626,-1.4637426509667795
-1.8264982194145816,2.315369642066153,-0.3052763761118038,1.6493870080788096,3.5510621288164916,1.571351173351119,-1.4637426509667795
-1.8726550998320808,2.0875516491777484,-0.2263925614757167,1.4577558467381806,3.1370686268823684,2.0544909369597635,-1.1907533143456508
-1.7444791495527197,2.1699838198940693,-0.3186135397168327,1.4971966995710038,5.16661760553723,3.2745236582819675,-1.1907533143456508
-1.6719078485456023,2.5172745221143304,-0.5840487489130789,1.5651328096777226,3.2114660483779662,3.244741184085079,-1.1907533143456508
-1.6664332580050891,2.464547751046091,-0.5099575783161228,1.8941778336977726,2.1432107343664617,4.193473867330864,-1.1907533143456508
-1.9441953588910361,2.4920118666630984,-0.21453105932828048,1.726812491790857,3.2461728921119444,3.44457740165732,-1.1907533143456508
-1.5547416181836398,2.203884672507406,-0.30602855906466603,1.9780379589022876,2.2239315511011224,5.696622803411614,-1.1907533143456508
-1.7576162288687716,2.8021994561166017,-0.2574303230412593,0.9067081387578632,2.7944801982145537,4.10959032942367,-1.379595580193386
-1.6388265103729382,2.3704743061194966,-0.12175676803341126,0.9365602588737307,1.5684765756826518,3.0256127438623555,-1.379595580193386
-1.4835857752005535,2.4526724773382,-0.4266407485932436,1.3577721766879902,3.534521788444749,2.223899190546195,-1.379595580193386
-1.4111228724051936,2.737545143674001,-0.32058567604420396,1.3377143727628542,1.4400145457734874,4.471944218711202,-1.379595580193386
-1.7450325400522964,2.316881559585717,-0.37249482274161466,1.3646892308321588,4.001760534791503,3.240380143148373,-1.379595580193386
-1.577208174072807,2.281463517122405,-0.14129097564278686,0.5419322924935055,2.585142983114065,7.411788404690297,-1.379595580193386
-1.493201997163827,2.4821226907886036,-0.08716285504070143,1.1853636012989417,2.3562988421000948,4.720765353378532,-1.379595580193386
-1.7534089711570846,2.5361292334120775,-0.2512609298318634,1.210021569735854,2.6746042819126625,5.91536520578635,-1.379595580193386
-1.7569182238453536,2.5709033942079715,-0.02440721511043287,1.3070518885257683,2.960855516643028,6.415359222759376,-1.379595580193386
-1.6464898563138588,2.5585358638808664,-0.22980276219003398,1.5326205929244436,2.804811503717651,5.479821735967491,-1.379595580193386
-1.3608883554773128,2.6974180990392482,-0.10082863056622067,1.0620769599932949,2.565930976603794,4.176290478470769,-1.379595580193386
-1.8982523303725216,2.3334548884957025,-0.1398879413777122,0.8802773771841259,2.871961149473878,6.6882527530200155,-1.379595580193386
-1.6202248039934626,2.5818265112150303,-0.015400706443928516,0.9165213979505379,2.248826647662789,4.632224161936866,-1.379595580193386
-1.5989482362051077,2.2319279702362818,-0.16053827260691736,1.2989345058938726,1.8905579736854337,4.892369482656399,-1.379595580193386
-1.3862247346671857,2.192906924643872,-0.16597804172555317,0.9902583259540104,3.014845010055326,3.9918255696887823,-1.379595580193386
-1.173112906586337,2.2907071377064496,-0.19770302394324515,1.3531050992805969,2.8026527927226748,3.1757648201005955,-1.379595580193386
-1.4356007908947395,2.313572636153891,-0.3220534613263852,0.9383786696426357,2.5367981631472865,5.667639654396523,-1.379595580193386
