time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10
0,1.69442002450792,2.25703378161046,1.85762748513294,1.4702840969009,1.99556594457984,2.1340007638782,2.27437398488759,1.78691796340883,2.22593877490322,1.85569584050744
0.508474576271186,5.13976961311782,2.2631545507481,2.51795107673947,5.02197981225854,4.73216245557734,2.14512329348443,6.03096211311837,3.39432354451006,5.04067816268162,1.68056121298225
1.01694915254237,5.79122904687536,6.1880342851216,5.00994002598522,5.89735310494862,5.31661803269156,4.74680379715967,6.89154970414395,5.20248327423387,5.98287479195673,4.51202170200939
1.52542372881356,6.22923020392733,6.90828118878398,5.62369561821608,6.15605858534607,5.54334591939583,5.32319562788296,7.35128746787672,5.60977235872975,6.28029207363979,5.04649914696424
2.03389830508475,6.46175179042779,7.21766766372134,5.96134877799617,6.37800760672286,5.57660031500479,5.73776955889004,7.55165898596583,5.80167404606832,6.44455258947473,5.37270705686011
2.54237288135593,6.54386106530086,7.39037725521734,6.16205362640564,6.59689603180076,5.68306236175843,5.86401457139863,7.64318056108881,5.97424431202633,6.52175144295447,5.6145942225042
3.05084745762712,6.68268143389469,7.55966856382699,6.27744048695755,6.6957253304476,5.73942455634862,5.93643943416921,7.68734631272797,6.05410770579307,6.58499516841366,5.65107734670102
3.5593220338983,6.66422196694733,7.63047298162699,6.39321289683912,6.71658970401207,5.70917843487341,6.02645882802457,7.86643983954598,6.17890866076553,6.59747007312612,5.79112932460366
4.06779661016949,6.6906012994018,7.73176021058311,6.44684563330073,6.79883822898254,5.72043257964626,6.04562521064355,7.84152181021548,6.28234928162961,6.57186631229647,5.89957686416843
4.57627118644068,6.70528304945429,7.79427962902169,6.44805279683298,6.8895278008487,5.79757446603005,6.08100086671485,7.96828796115516,6.28427547684347,6.6041151872116,5.94483472633374
5.08474576271186,6.77990599617448,7.86880928118535,6.49535752996143,6.923908845074,5.77042695471785,6.11095441231244,7.89995496868866,6.34608105633388,6.56401590743998,5.97689300264038
5.59322033898305,6.70072315873135,7.85623484222328,6.5277773661756,6.97006992592829,5.69414336521677,6.08606226984582,7.87857371817424,6.32810363246521,6.56613934302169,5.96625092709228
6.10169491525424,6.769416853787,7.88438357653205,6.51450793593223,6.92502187009555,5.75035088323184,6.11952506293942,7.91942118689147,6.32411469528602,6.564724386206,6.00551700417928
6.61016949152542,6.76601518475955,7.94806856275438,6.4972595097652,7.01037562184778,5.68674622247314,6.08611431336677,7.96562099502336,6.34555407894101,6.48141054489943,6.01550716733385
7.11864406779661,6.75690674579963,7.9754455145241,6.52041330688073,6.97268940010144,5.60558676299926,6.0252168601681,7.87310854487189,6.23294605257203,6.45516366820218,6.05540467856202
7.6271186440678,6.73044682179396,7.91249757537582,6.50629751819926,6.94828266898353,5.65996603044593,6.0255571085304,7.89670491670141,6.27933125366224,6.41045118135427,6.04973527385298
8.13559322033898,6.76430011640661,7.92646282027412,6.48660468321368,6.94046111950952,5.61446436551563,6.00242596007431,7.92700445305556,6.35917864889361,6.39105998004832,6.097672513119
8.64406779661017,6.64995994621844,7.93050476224704,6.49714401822513,7.01126323335432,5.58898193398451,6.04437941318321,7.94691977779664,6.2734344680174,6.36394145950364,5.95334376674568
