c1,c2,c3,c4,c5,c6,c7,c8,id,gibbs_cycle
-0.594532959863355,-2.8943274595755,0.322768252343339,-0.0761731341359521,5.8467057018866,-0.173842824704922,1.75218480145881,-2.02749369646398,1,1
0.772375375277251,-2.37508022814472,1.14449595093965,0.681158483150065,5.09219529800585,2.09543021346813,-0.362797564049849,-1.93899741541388,1,2
-0.806420319555299,-4.52087275661596,0.679563276202495,1.73805595337376,4.72571403130503,1.6944747793934,2.1546404221906,-2.23673541051747,1,3
-2.9860667612122,-1.41290987183905,-0.0414015352324018,-0.597280427733257,5.60691086087553,0.446564289814612,1.08883992556583,-1.93985121615297,1,4
-0.503460633529718,-3.95523807009889,-2.24116167226301,1.25030191551923,6.93356031857721,1.6435586649435,1.90741680795049,-0.636137088689865,1,5
-1.48971607200222,-1.01067949445371,0.470098408188427,0.526672708686646,5.10678104828029,1.59472635946357,2.31699229016838,-0.940662259933264,1,6
-1.64007489281645,-2.20388990721041,2.04301905368843,0.385076840011136,5.5869052875235,-1.73019420870501,1.85954621682247,-3.57056821298917,1,7
-0.128729986698769,-6.18302728467656,0.242345592416686,0.863766227758099,4.84073743124281,0.790942008999584,3.09143534217587,-1.27187216225397,1,8
0.56620730842105,-3.03609430770138,0.505338229218925,2.62154858122111,7.36905631355598,-0.0603738352099463,1.52247911617536,-3.39135949374458,1,9
-1.3266562729064,-3.36739977758963,1.41072206747091,1.1767584150235,3.28062857039383,1.54959453855963,2.04899178356994,-2.66055204542019,1,10
-0.558979317480808,-5.03213103207605,-0.265882701598139,1.61532307092892,5.44919974366369,1.20484847086624,4.07233139605568,-2.48867125914423,1,11
-1.39237045537405,-2.31518240966387,0.16189087083379,1.01934376126612,6.02857683977339,0.4731381912553,1.30493785840166,-1.09037864405553,1,12
0.452588583489418,-1.990858411218,0.922269871494546,1.30002469095491,4.69432109773028,1.49789510961579,2.24721589305912,-1.70080521642502,1,13
-1.47464444888914,-2.47060647051696,-0.279642534848296,0.386148144499269,3.65012828775521,2.96883257296713,1.66900562645352,-2.41083381247994,1,14
-0.855146673208087,-4.84003478776888,0.325349924247114,-0.127915392282921,4.80401539336921,1.97881512549505,3.71607217452915,-1.75969306394641,1,15
-0.126632290764515,-4.24257017050516,-0.252952420563444,1.12437079239816,6.41138795161359,0.956590951659487,2.24366333170823,-2.60417008320412,1,16
0.767946085958993,-2.75574153740861,1.15091931963952,0.116789260766003,6.2154168517088,0.930602225233934,0.981476292230576,-2.85057638671198,1,17
-1.55483285266529,-3.94679629506548,0.12118404820031,0.955639466198203,5.6013536343728,0.87773584717328,1.29164660485676,-2.57466183928574,1,18
-2.47141317806904,-2.60913635487624,-0.0465126722399817,-0.330200686556166,6.08288554752949,0.0299783354049952,1.29899338669822,-2.27634736408486,1,19
-2.18308848510772,-2.23360591717406,-1.47932786505816,-0.832258345594575,5.03828989325838,2.0644711463851,-0.301170378943616,-2.62692331193615,1,20
-1.28284909551981,-1.57617298587226,-0.342610008426059,1.42067513828214,6.03864189188492,1.17140453240314,2.0737773622322,-3.7033701759806,1,21
-0.197578100492712,-1.96541726127419,1.4991948424257,0.162200882928845,5.06776784625681,2.00936892547678,-0.208788887729228,-2.93731277212066,1,22
0.955973549235443,-2.56578894096076,2.04366845673722,1.31918787374717,4.8390004859289,1.42160407862415,2.42930163543008,-2.79880236227805,1,23
