time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20
0,2.0471284968537,2.04402880147933,2.04758083949284,2.05975942425525,2.14734259195044,2.07646284571733,2.0942509908765,2.15918815676122,3.03929227106558,1.97633050998042,2.04488184844717,2.14832917571764,2.07882633819929,2.14306023257643,2.02945642605174,2.09184149835242,2.0809547391028,2.07666812433442,2.05076858385976,2.0818956615078
0.508474576271186,6.15537372871186,4.7053044685352,4.87933808458271,4.76072532485771,3.54612775409877,3.57019913672685,5.32754123484019,2.0800735319019,5.42309293357612,3.55085622370683,5.21944129911818,2.07392285849015,4.89288420641001,4.90437165694546,3.32400294470425,5.28432922738955,5.71838161007522,5.38922543674177,3.78042654721818,4.27210107200284
1.01694915254237,6.68674715040953,5.4015018713151,5.98080486089015,5.55911736953024,5.7281968311532,5.91767201089305,6.00349593484743,3.89906516091024,5.7819917456529,5.81318596967632,6.29567473921759,5.66413871585947,6.09295839081452,6.13326597552524,5.18475307060158,6.08338603060867,6.41532666818493,6.20417791496625,6.00848250747167,5.33113902093381
1.52542372881356,6.99747914710464,5.62938283886046,6.37180542741977,5.80002489780513,6.22454915619401,6.45020195563526,6.35990022918228,5.79219430093919,5.93827561525419,6.35565945753188,6.68257960887744,6.44757447322283,6.4634286428268,6.57944534482214,5.74452911024235,6.3486747221932,6.5209138425006,6.60020493775381,6.4666543334837,5.8652297237202
2.03389830508475,7.07409727299625,5.85468173382882,6.58446455426011,6.06038592383667,6.51836288040792,6.71265250571464,6.57423561914128,6.33516414847424,6.01293605190093,6.6929194760702,7.01126121337376,6.72448736384729,6.72622505716404,6.86898174808523,5.8930852931736,6.55282099057052,6.76809390284041,6.79138446484298,6.73080107696494,6.07767307801012
2.54237288135593,7.21873410601443,5.96510723471656,6.67361900926287,6.25543152004298,6.54890729587315,6.90410440913838,6.65774439686748,6.62318417121056,6.12410164713923,6.82618985907644,7.11582244346434,6.89217288866756,6.86404120628374,6.98810727055324,6.04279523277111,6.61143672324027,6.78286643836277,6.87375224464984,6.83456370093803,6.25904805332095
3.05084745762712,7.25969534938588,6.03127671431478,6.80150945187579,6.33380324781304,6.67329780370058,6.9859259575175,6.79845566332356,6.89195959433349,6.15988270344841,6.87660008222851,7.22916247039426,7.04475705415889,6.93211390169544,7.05646189234842,6.07715833773216,6.65963047121412,6.89670060133759,6.9481095953129,6.84528692382033,6.38641743312013
3.5593220338983,7.19334202806892,6.12591311125931,6.95073735105947,6.37386160270828,6.60643002880089,7.05336188127361,6.90426826435059,7.01805011386428,6.13087874798479,7.09161418913796,7.31693449683798,7.16779438698892,6.967244215191,7.05795036773205,6.11531024800265,6.66090034805517,6.95968120551814,6.9514320971433,6.89161737952897,6.50074751567253
4.06779661016949,7.22466841558669,6.0800416086514,7.00704539114251,6.43220676668664,6.68812421035561,7.06706134073018,6.92746406033017,7.1787326714626,6.13663974942992,7.13976197519016,7.36574797507021,7.27519507786679,6.96006544955171,7.14060081720248,6.09949304402778,6.71508851299804,6.92194675769929,6.97028245176744,6.92216891416289,6.48939999152936
4.57627118644068,7.26543662586898,6.11960490108535,6.95132562987798,6.49467429181076,6.67252203433483,7.06448723342964,6.87794794922402,7.28738252365746,6.17892741381629,7.1462000605749,7.38189209690325,7.24247875341632,6.91550528491111,7.06483508157322,6.20656126411877,6.74710180981179,6.91314215689368,6.98142436603997,6.93240373930197,6.49604795267103
5.08474576271186,7.24806879042127,6.0764710974317,7.04343754842579,6.451125229732,6.65580253592861,7.04319134570512,6.97487972936161,7.32792216306561,6.10046300332623,7.16968086313304,7.44454525756255,7.33055966802475,6.90760081889383,7.02555052617895,6.17685141382497,6.79069607064617,6.94883663579408,6.9983794923918,6.92229648341169,6.52251875044093
